role_in_project,generation,game_id,platform_id,release_id,dump_id,locale,source_filename,size_bytes,crc32,md5,sha1,sha256,canonical_coordinate
SOURCE,GEN-04,DIAMOND,NDS-NTR,ADAE-HV5,DUMP-SHA256-E29BC6EBE431D7A6,US-EN,Pokemon_Diamond_USA_NDS-LGC.nds,67108864,84427823,02a1af2a677d101394b1d99164a8c249,a46233d8b79a69ea87aa295a0efad5237d02841e,e29bc6ebe431d7a6b238267b6b1521fec4a3bc14f2fa348798062f870c738454,GEN-04/DIAMOND/RELEASES/NDS-NTR/CART/ADAE-HV5/DUMPS/DUMP-SHA256-E29BC6EBE431D7A6
SOURCE,GEN-04,PEARL,NDS-NTR,APAE-HV5,DUMP-SHA256-2DCC471033D1757E,US-EN,Pokemon_Pearl_USA_NDS-LGC.nds,67108864,e2d87ebf,e5da92c8cfabedd0d037ff33a2f2b6ba,99083bf15ec7c6b81b4ba241ee10abd9e80999ac,2dcc471033d1757ee572415f5773a77af67b350ad59e2aeb3fc28c1402c3a84c,GEN-04/PEARL/RELEASES/NDS-NTR/CART/APAE-HV5/DUMPS/DUMP-SHA256-2DCC471033D1757E
SOURCE,GEN-04,PLATINUM,NDS-NTR,CPUK-HV0,DUMP-SHA256-51050F65776F402F,KR-KO,포켓몬스터Pt 기라티나.nds,134217728,26f01598,e28b4ba15f1810ce26087a66cbb411ff,f811d9c7ab5262f593012da794c2fa81dbcdbcc1,51050f65776f402f86b8b2b2d3b84ab5bbe80dbec75129c86f8bd9b447f11d7b,GEN-04/PLATINUM/RELEASES/NDS-NTR/CART/CPUK-HV0/DUMPS/DUMP-SHA256-51050F65776F402F
SOURCE,GEN-04,HEARTGOLD,NDS-NTR,IPKK-HV0,DUMP-SHA256-659F20CA1D4F43B8,KR-KO,포켓몬스터 하트골드.nds,134217728,650745ad,81de94bae7a9033fe077cc885addcfe4,5834fb3a2d751c48501d47d6a56898d7af6ccf9e,659f20ca1d4f43b8b675d3c47217bb875a4f14c62438b08fa42f60467e2bed43,GEN-04/HEARTGOLD/RELEASES/NDS-NTR/CART/IPKK-HV0/DUMPS/DUMP-SHA256-659F20CA1D4F43B8
SOURCE,GEN-04,SOULSILVER,NDS-NTR,IPGK-HV0,DUMP-SHA256-8E1C82D2F718FA40,KR-KO,포켓몬스터 소울실버.nds,134217728,ce5cb206,4e36e0c8c693d7cf52753f8601db5bbf,0330e6449306606114a92bdbb3f9d3d51d392b96,8e1c82d2f718fa404f0b13df1666c70cdfaa75cb67e0adcbdcfb6c002f4d8b55,GEN-04/SOULSILVER/RELEASES/NDS-NTR/CART/IPGK-HV0/DUMPS/DUMP-SHA256-8E1C82D2F718FA40
TARGET,GEN-03,RUBY,GBA,AXVJ-HV0,DUMP-SHA256-E911CAA1FFBF8704,JP-JA,Pocket Monsters - Ruby (Japan).gba,8388608,cee9471a,27c9f37193977828f9808f3f76ff8c76,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,e911caa1ffbf8704cd45bbe064ade40e24efa50dfdce82adf4b2899b5f733852,GEN-03/RUBY/RELEASES/GBA/CART/AXVJ-HV0/DUMPS/DUMP-SHA256-E911CAA1FFBF8704
TARGET,GEN-03,RUBY,GBA,AXVE-HV2,DUMP-SHA256-0FDD36E92B75BED6,US-EU-EN,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",16777216,aeac73e6,3e1b2065b3837c14ffbd03fe205fdfd7,5b64eacf892920518db4ec664e62a086dd5f5bc8,0fdd36e92b75bed65d09df4635ab0b707b288c2bf1dc4c6e7a4a4f0eebe9d64c,GEN-03/RUBY/RELEASES/GBA/CART/AXVE-HV2/DUMPS/DUMP-SHA256-0FDD36E92B75BED6
TARGET,GEN-03,SAPPHIRE,GBA,AXPJ-HV0,DUMP-SHA256-6A5FF7656531AB41,JP-JA,Pocket Monsters - Sapphire (Japan).gba,8388608,fd1eeb78,5323f95f70f5d4f21bed6ec000332bda,3233342c2f3087e6ffe6c1791cd5867db07df842,6a5ff7656531ab41d1ea9cd8f2d045ab6228405b43f3ee09ea3ff5077c0f60c9,GEN-03/SAPPHIRE/RELEASES/GBA/CART/AXPJ-HV0/DUMPS/DUMP-SHA256-6A5FF7656531AB41
TARGET,GEN-03,SAPPHIRE,GBA,AXPE-HV2,DUMP-SHA256-02CA41513580A8B7,US-EU-EN,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",16777216,9cc4410e,9bc2b765ca6997175fac51e6cdc29089,89b45fb172e6b55d51fc0e61989775187f6fe63c,02ca41513580a8b780989dee428df747b52a0b1a55bec617886b4059eb1152fb,GEN-03/SAPPHIRE/RELEASES/GBA/CART/AXPE-HV2/DUMPS/DUMP-SHA256-02CA41513580A8B7
TARGET,GEN-03,EMERALD,GBA,BPEJ-HV0,DUMP-SHA256-33F5610B9186B4AD,JP-JA,Pocket Monsters - Emerald (Japan).gba,16777216,4881f3f8,92eecf93f1ab828bdf2a83daddacf3e5,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,GEN-03/EMERALD/RELEASES/GBA/CART/BPEJ-HV0/DUMPS/DUMP-SHA256-33F5610B9186B4AD
TARGET,GEN-03,EMERALD,GBA,BPEE-HV0,DUMP-SHA256-A9DEC84DFE7F62AB,US-EU-EN,"Pokemon - Emerald Version (USA, Europe).gba",16777216,1f1c08fb,605b89b67018abcea91e693a4dd25be3,f3ae088181bf583e55daf962a92bb46f4f1d07b7,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,GEN-03/EMERALD/RELEASES/GBA/CART/BPEE-HV0/DUMPS/DUMP-SHA256-A9DEC84DFE7F62AB
TARGET,GEN-03,FIRERED,GBA,BPRJ-HV1,DUMP-SHA256-CEC5FC4DBE38CD80,JP-JA,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,16777216,bb640df7,ff25067b591ba324cd44689a9ba8aa48,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,cec5fc4dbe38cd8026bd6664a1a041d9dc91e8d4249bab04e7bde70c3cdf4e06,GEN-03/FIRERED/RELEASES/GBA/CART/BPRJ-HV1/DUMPS/DUMP-SHA256-CEC5FC4DBE38CD80
