category,index_zero_based,index_one_based,bank_hex,bank_offset_hex,cpu_address_hex,file_offset_hex,storage,raw_length,raw_hex,fixed_suffix_hex,decoded_text,undefined_code_count
ITEM_NAMES,0,1,0x6C,0x0000,0x4000,0x1B0000,VARIABLE,8,04 46 06 4a 09 9d 05 1c,,마스터볼,0
ITEM_NAMES,1,2,0x6C,0x0009,0x4009,0x1B0009,VARIABLE,8,0a 6f 07 9c 0a 0b 05 1c,,하이퍼볼,0
ITEM_NAMES,2,3,0x6C,0x0012,0x4012,0x1B0012,VARIABLE,8,04 dd 08 36 01 01 04 17,,반짝가루,0
ITEM_NAMES,3,4,0x6C,0x001B,0x401B,0x1B001B,VARIABLE,6,06 26 0a 0b 05 1c,,수퍼볼,0
ITEM_NAMES,4,5,0x6C,0x0022,0x4022,0x1B0022,VARIABLE,8,04 93 06 4a 09 9d 05 1c,,몬스터볼,0
ITEM_NAMES,5,6,0x6C,0x002B,0x402B,0x1B002B,VARIABLE,2,0b 67,,?,0
ITEM_NAMES,6,7,0x6C,0x002E,0x402E,0x1B002E,VARIABLE,6,07 aa 07 cc 01 25,,자전거,0
ITEM_NAMES,7,8,0x6C,0x0035,0x4035,0x1B0035,VARIABLE,9,02 de 04 62 07 9c 7f 03 19,,달맞이 돌,0
ITEM_NAMES,8,9,0x6C,0x003F,0x403F,0x1B003F,VARIABLE,6,0a 78 03 16 07 d6,,해독제,0
ITEM_NAMES,9,10,0x6C,0x0046,0x4046,0x1B0046,VARIABLE,11,0a ad 05 c3 7f 09 01 04 11 07 d6,,화상 치료제,0
ITEM_NAMES,10,11,0x6C,0x0052,0x4052,0x1B0052,VARIABLE,15,06 f3 07 8d 05 c3 09 92 7f 09 01 04 11 07 d6,,얼음상태 치료제,0
ITEM_NAMES,11,12,0x6C,0x0062,0x4062,0x1B0062,VARIABLE,9,07 b1 01 ca 02 c2 7f 06 e0,,잠깨는 약,0
ITEM_NAMES,12,13,0x6C,0x006C,0x406C,0x1B006C,VARIABLE,11,04 46 05 61 7f 09 01 04 11 07 d6,,마비 치료제,0
ITEM_NAMES,13,14,0x6C,0x0078,0x4078,0x1B0078,VARIABLE,6,0a b8 05 19 06 e0,,회복약,0
ITEM_NAMES,14,15,0x6C,0x007F,0x407F,0x1B007F,VARIABLE,9,0a 3e 7f 0a b8 05 19 06 e0,,풀 회복약,0
ITEM_NAMES,15,16,0x6C,0x0089,0x4089,0x1B0089,VARIABLE,11,01 4d 01 ae 7f 05 c3 08 b3 06 e0,,고급 상처약,0
ITEM_NAMES,16,17,0x6C,0x0095,0x4095,0x1B0095,VARIABLE,11,07 f1 07 8a 7f 05 c3 08 b3 06 e0,,좋은 상처약,0
ITEM_NAMES,17,18,0x6C,0x00A1,0x40A1,0x1B00A1,VARIABLE,6,05 c3 08 b3 06 e0,,상처약,0
ITEM_NAMES,18,19,0x6C,0x00A8,0x40A8,0x1B00A8,VARIABLE,13,03 1f 01 8c 09 8b 08 e2 7f 03 fe 0a 61,,동굴탈출 로프,0
ITEM_NAMES,19,20,0x6C,0x00B6,0x40B6,0x1B00B6,VARIABLE,16,04 fa 03 e9 0a b8 0a 67 06 4a 0a 61 03 e9 07 9c,,벌레회피스프레이,0
ITEM_NAMES,20,21,0x6C,0x00C7,0x40C7,0x1B00C7,VARIABLE,7,8f 8f 7f 04 66 06 4a,,PP 맥스,0
ITEM_NAMES,21,22,0x6C,0x00CF,0x40CF,0x1B00CF,VARIABLE,9,05 32 01 f9 07 97 7f 03 19,,불꽃의 돌,0
ITEM_NAMES,22,23,0x6C,0x00D9,0x40D9,0x1B00D9,VARIABLE,9,08 b5 03 35 07 97 7f 03 19,,천둥의 돌,0
ITEM_NAMES,23,24,0x6C,0x00E3,0x40E3,0x1B00E3,VARIABLE,7,04 b0 07 97 7f 03 19,,물의 돌,0
ITEM_NAMES,24,25,0x6C,0x00EB,0x40EB,0x1B00EB,VARIABLE,2,0b 67,,?,0
ITEM_NAMES,25,26,0x6C,0x00EE,0x40EE,0x1B00EE,VARIABLE,7,04 66 06 4a 7f 06 f7,,맥스 업,0
ITEM_NAMES,26,27,0x6C,0x00F6,0x40F6,0x1B00F6,VARIABLE,6,09 88 07 4c 04 40,,타우린,0
ITEM_NAMES,27,28,0x6C,0x00FD,0x40FD,0x1B00FD,VARIABLE,6,05 b7 0a 27 02 d1,,사포닌,0
ITEM_NAMES,28,29,0x6C,0x0104,0x4104,0x1B0104,VARIABLE,10,06 cb 09 0e 03 fe 07 9c 03 45,,알칼로이드,0
ITEM_NAMES,29,30,0x6C,0x010F,0x410F,0x1B010F,VARIABLE,9,03 e0 09 80 7f 0a 0d 09 01,,럭키 펀치,0
ITEM_NAMES,30,31,0x6C,0x0119,0x4119,0x1B0119,VARIABLE,10,04 3e 05 18 0a 63 03 c3 05 63,,리보플라빈,0
ITEM_NAMES,31,32,0x6C,0x0124,0x4124,0x1B0124,VARIABLE,11,07 9c 05 c3 0a 71 7f 05 b7 09 91,,이상한 사탕,0
ITEM_NAMES,32,33,0x6C,0x0130,0x4130,0x1B0130,VARIABLE,10,07 af 0b 68 04 62 0a f7 01 b2,,잘-맞히기,0
ITEM_NAMES,33,34,0x6C,0x013B,0x413B,0x1B013B,VARIABLE,9,07 a9 05 b7 01 9d 7f 03 19,,잎사귀 돌,0
ITEM_NAMES,34,35,0x6C,0x0145,0x4145,0x1B0145,VARIABLE,11,01 ad 06 03 7f 09 f4 07 4c 02 f5,,금속 파우더,0
ITEM_NAMES,35,36,0x6C,0x0151,0x4151,0x1B0151,VARIABLE,6,01 ad 01 88 06 4d,,금구슬,0
ITEM_NAMES,36,37,0x6C,0x0158,0x4158,0x1B0158,VARIABLE,8,05 af 05 af 07 9e 0a 9c,,삐삐인형,0
ITEM_NAMES,37,38,0x6C,0x0161,0x4161,0x1B0161,VARIABLE,10,04 48 05 14 09 bb 09 01 07 d6,,만병통치제,0
ITEM_NAMES,38,39,0x6C,0x016C,0x416C,0x1B016C,VARIABLE,11,01 b2 03 f2 07 97 7f 07 e6 01 02,,기력의 조각,0
ITEM_NAMES,39,40,0x6C,0x0178,0x4178,0x1B0178,VARIABLE,13,01 b2 03 f2 07 97 7f 03 02 06 ee 04 3e,,기력의 덩어리,0
ITEM_NAMES,40,41,0x6C,0x0186,0x4186,0x1B0186,VARIABLE,11,07 9c 0a 15 09 de 7f 01 01 03 45,,이펙트 가드,0
ITEM_NAMES,41,42,0x6C,0x0192,0x4192,0x1B0192,VARIABLE,13,06 67 04 f6 7f 06 4a 0a 61 03 e9 07 9c,,실버 스프레이,0
ITEM_NAMES,42,43,0x6C,0x01A0,0x41A0,0x1B01A0,VARIABLE,13,01 61 03 45 7f 06 4a 0a 61 03 e9 07 9c,,골드 스프레이,0
ITEM_NAMES,43,44,0x6C,0x01AE,0x41AE,0x1B01AE,VARIABLE,13,09 79 04 3e 09 ec 09 23 7f 09 1f 09 9d,,크리티컬 커터,0
ITEM_NAMES,44,45,0x6C,0x01BC,0x41BC,0x1B01BC,VARIABLE,2,0b 67,,?,0
ITEM_NAMES,45,46,0x6C,0x01BF,0x41BF,0x1B01BF,VARIABLE,9,04 60 07 a6 02 c2 7f 04 b0,,맛있는 물,0
ITEM_NAMES,46,47,0x6C,0x01C9,0x41C9,0x1B01C9,VARIABLE,13,04 cc 02 77 03 c6 7f 05 b7 07 9c 02 d9,,미네랄 사이다,0
ITEM_NAMES,47,48,0x6C,0x01D7,0x41D7,0x1B01D7,VARIABLE,11,0a c4 04 33 08 f7 7f 04 d0 09 79,,후르츠 밀크,0
ITEM_NAMES,48,49,0x6C,0x01E3,0x41E3,0x1B01E3,VARIABLE,10,0a 63 03 df 06 4a 09 f4 07 66,,플러스파워,0
ITEM_NAMES,49,50,0x6C,0x01EE,0x41EE,0x1B01EE,VARIABLE,2,0b 67,,?,0
ITEM_NAMES,50,51,0x6C,0x01F1,0x41F1,0x1B01F1,VARIABLE,9,03 60 0a 16 03 45 7f 06 f7,,디펜드 업,0
ITEM_NAMES,51,52,0x6C,0x01FB,0x41FB,0x1B01FB,VARIABLE,9,06 4a 0a 67 03 45 7f 06 f7,,스피드 업,0
ITEM_NAMES,52,53,0x6C,0x0205,0x4205,0x1B0205,VARIABLE,9,06 4a 0a 14 05 f8 7f 06 f7,,스페셜 업,0
ITEM_NAMES,53,54,0x6C,0x020F,0x420F,0x1B020F,VARIABLE,11,03 1f 07 cc 7f 09 29 07 9c 06 4a,,동전 케이스,0
ITEM_NAMES,54,55,0x6C,0x021B,0x421B,0x1B021B,VARIABLE,11,02 d9 07 4c 08 31 7f 04 73 06 65,,다우징 머신,0
ITEM_NAMES,55,56,0x6C,0x0227,0x4227,0x1B0227,VARIABLE,2,0b 67,,?,0
ITEM_NAMES,56,57,0x6C,0x022A,0x422A,0x1B022A,VARIABLE,8,0a 70 06 60 07 b5 09 01,,학습장치,0
ITEM_NAMES,57,58,0x6C,0x0233,0x4233,0x1B0233,VARIABLE,11,02 40 07 8a 7f 02 3c 06 6b 02 eb,,낡은 낚싯대,0
ITEM_NAMES,58,59,0x6C,0x023F,0x423F,0x1B023F,VARIABLE,11,07 f1 07 8a 7f 02 3c 06 6b 02 eb,,좋은 낚싯대,0
ITEM_NAMES,59,60,0x6C,0x024B,0x424B,0x1B024B,VARIABLE,11,07 8a 05 6b 7f 02 3a 04 b5 07 a9,,은빛 나뭇잎,0
ITEM_NAMES,60,61,0x6C,0x0257,0x4257,0x1B0257,VARIABLE,13,02 eb 02 dc 0a 71 7f 02 3c 06 6b 02 eb,,대단한 낚싯대,0
ITEM_NAMES,61,62,0x6C,0x0265,0x4265,0x1B0265,VARIABLE,9,0a 27 07 9e 09 de 7f 06 f7,,포인트 업,0
ITEM_NAMES,62,63,0x6C,0x026F,0x426F,0x1B026F,VARIABLE,9,8f 8f 7f 07 01 07 9c 03 45,,PP 에이드,0
ITEM_NAMES,63,64,0x6C,0x0279,0x4279,0x1B0279,VARIABLE,7,8f 8f 7f 0a b8 05 19,,PP 회복,0
ITEM_NAMES,64,65,0x6C,0x0281,0x4281,0x1B0281,VARIABLE,9,8f 8f 7f 07 01 07 9c 02 f5,,PP 에이더,0
ITEM_NAMES,65,66,0x6C,0x028B,0x428B,0x1B028B,VARIABLE,9,05 71 01 03 7f 05 61 02 c3,,빨간 비늘,0
ITEM_NAMES,66,67,0x6C,0x0295,0x4295,0x1B0295,VARIABLE,9,05 61 07 cc 7f 06 65 06 e0,,비전 신약,0
ITEM_NAMES,67,68,0x6C,0x029F,0x429F,0x1B029F,VARIABLE,9,06 62 05 e1 7f 09 ec 09 2f,,승선 티켓,0
ITEM_NAMES,68,69,0x6C,0x02A9,0x42A9,0x1B02A9,VARIABLE,9,07 9c 05 c3 0a 71 7f 06 cb,,이상한 알,0
ITEM_NAMES,69,70,0x6C,0x02B3,0x42B3,0x1B02B3,VARIABLE,13,09 79 04 3e 06 4a 09 8b 7f 04 e6 07 4f,,크리스탈 방울,0
ITEM_NAMES,70,71,0x6C,0x02C1,0x42C1,0x1B02C1,VARIABLE,9,07 8a 05 6b 7f 02 3f 01 13,,은빛 날개,0
ITEM_NAMES,71,72,0x6C,0x02CB,0x42CB,0x1B02CB,VARIABLE,9,09 e0 09 e0 7f 04 d0 09 79,,튼튼 밀크,0
ITEM_NAMES,72,73,0x6C,0x02D5,0x42D5,0x1B02D5,VARIABLE,13,05 e1 07 d6 01 68 01 3d 7f 06 05 09 b9,,선제공격 손톱,0
ITEM_NAMES,73,74,0x6C,0x02E3,0x42E3,0x1B02E3,VARIABLE,8,0a 78 03 16 07 0d 04 65,,해독열매,0
