version,slot_index_zero_based,move_id_if_real,slot_kind,pointer_bank_hex,pointer_cpu_address_hex,pointer_file_offset_hex,pointer_raw_hex,target_cpu_address_hex,target_bank_offset_hex,target_file_offset_hex,verified
KOREAN_GOLD,0,1,MOVE_DESCRIPTION,0x6D,0x4000,0x1B4000,02 42,0x4202,0x0202,0x1B4202,True
KOREAN_GOLD,1,2,MOVE_DESCRIPTION,0x6D,0x4002,0x1B4002,2b 42,0x422B,0x022B,0x1B422B,True
KOREAN_GOLD,2,3,MOVE_DESCRIPTION,0x6D,0x4004,0x1B4004,4f 42,0x424F,0x024F,0x1B424F,True
KOREAN_GOLD,3,4,MOVE_DESCRIPTION,0x6D,0x4006,0x1B4006,79 42,0x4279,0x0279,0x1B4279,True
KOREAN_GOLD,4,5,MOVE_DESCRIPTION,0x6D,0x4008,0x1B4008,a8 42,0x42A8,0x02A8,0x1B42A8,True
KOREAN_GOLD,5,6,MOVE_DESCRIPTION,0x6D,0x400A,0x1B400A,d1 42,0x42D1,0x02D1,0x1B42D1,True
KOREAN_GOLD,6,7,MOVE_DESCRIPTION,0x6D,0x400C,0x1B400C,06 43,0x4306,0x0306,0x1B4306,True
KOREAN_GOLD,7,8,MOVE_DESCRIPTION,0x6D,0x400E,0x1B400E,40 43,0x4340,0x0340,0x1B4340,True
KOREAN_GOLD,8,9,MOVE_DESCRIPTION,0x6D,0x4010,0x1B4010,6b 43,0x436B,0x036B,0x1B436B,True
KOREAN_GOLD,9,10,MOVE_DESCRIPTION,0x6D,0x4012,0x1B4012,9a 43,0x439A,0x039A,0x1B439A,True
KOREAN_GOLD,10,11,MOVE_DESCRIPTION,0x6D,0x4014,0x1B4014,c4 43,0x43C4,0x03C4,0x1B43C4,True
KOREAN_GOLD,11,12,MOVE_DESCRIPTION,0x6D,0x4016,0x1B4016,ec 43,0x43EC,0x03EC,0x1B43EC,True
KOREAN_GOLD,12,13,MOVE_DESCRIPTION,0x6D,0x4018,0x1B4018,24 44,0x4424,0x0424,0x1B4424,True
