version,slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,item_name_gs_korean,is_placeholder_name,engine_description_source,bank_hex,description_cpu_address_hex,description_file_offset_hex,shared_pointer_reference_count,description,next_count,description_raw_hex,description_record_raw_hex
KOREAN_GOLD,0,1,0x01,ITEM_ID,마스터볼,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x4200,0x1B8200,1,포켓몬을 반드시 잡을 수 있는<NEXT>최고의 볼,1,0a 27 09 2f 04 93 07 8b 7f 04 dd 03 45 06 63 7f 07 b2 07 8b 7f 06 26 7f 07 a6 02 c2 59 08 d6 01 4d 07 97 7f 05 1c,0a 27 09 2f 04 93 07 8b 7f 04 dd 03 45 06 63 7f 07 b2 07 8b 7f 06 26 7f 07 a6 02 c2 59 08 d6 01 4d 07 97 7f 05 1c 50
KOREAN_GOLD,1,2,0x02,ITEM_ID,하이퍼볼,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x4227,0x1B8227,1,높은 확률로 포켓몬을<NEXT>잡을 수 있는 볼,1,02 94 07 8a 7f 0a ae 04 2c 03 fe 7f 0a 27 09 2f 04 93 07 8b 59 07 b2 07 8b 7f 06 26 7f 07 a6 02 c2 7f 05 1c,02 94 07 8a 7f 0a ae 04 2c 03 fe 7f 0a 27 09 2f 04 93 07 8b 59 07 b2 07 8b 7f 06 26 7f 07 a6 02 c2 7f 05 1c 50
KOREAN_GOLD,2,3,0x03,ITEM_ID,반짝가루,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x424C,0x1B824C,1,지니게하면 강한 빛을 발산해서<NEXT>상대의 명중률을 낮춘다,1,08 26 02 cf 01 34 0a 6f 04 89 7f 01 0d 0a 71 7f 05 6b 07 8b 7f 04 df 05 ba 0a 78 05 dd 59 05 c3 02 eb 07 97 7f 04 8d 08 0f 04 2c 07 8b 7f 02 47 08 e1 02 d9,08 26 02 cf 01 34 0a 6f 04 89 7f 01 0d 0a 71 7f 05 6b 07 8b 7f 04 df 05 ba 0a 78 05 dd 59 05 c3 02 eb 07 97 7f 04 8d 08 0f 04 2c 07 8b 7f 02 47 08 e1 02 d9 50
KOREAN_GOLD,3,4,0x04,ITEM_ID,수퍼볼,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x4281,0x1B8281,1,포켓몬을 잡기 위한 도구<NEXT>몬스터볼보다 고성능이다,1,0a 27 09 2f 04 93 07 8b 7f 07 b2 01 b2 7f 07 77 0a 71 7f 03 15 01 88 59 04 93 06 4a 09 9d 05 1c 05 18 02 d9 7f 01 4d 05 ea 02 c9 07 9c 02 d9,0a 27 09 2f 04 93 07 8b 7f 07 b2 01 b2 7f 07 77 0a 71 7f 03 15 01 88 59 04 93 06 4a 09 9d 05 1c 05 18 02 d9 7f 01 4d 05 ea 02 c9 07 9c 02 d9 50
KOREAN_GOLD,4,5,0x05,ITEM_ID,몬스터볼,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x42B1,0x1B82B1,1,포켓몬을 잡기 위한 도구,0,0a 27 09 2f 04 93 07 8b 7f 07 b2 01 b2 7f 07 77 0a 71 7f 03 15 01 88,0a 27 09 2f 04 93 07 8b 7f 07 b2 01 b2 7f 07 77 0a 71 7f 03 15 01 88 50
KOREAN_GOLD,5,6,0x06,ITEM_ID,?,True,ITEM_DESCRIPTION_BANK_6E,0x6E,0x42C9,0x1B82C9,1,?,0,0b 67,0b 67 50
KOREAN_GOLD,6,7,0x07,ITEM_ID,자전거,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x42CC,0x1B82CC,1,2배의 빠르기로 이동할 수 있는<NEXT>접이식 자전거,1,f8 04 e8 07 97 7f 05 6c 04 33 01 b2 03 fe 7f 07 9c 03 1f 0a 72 7f 06 26 7f 07 a6 02 c2 59 07 d2 07 9c 06 64 7f 07 aa 07 cc 01 25,f8 04 e8 07 97 7f 05 6c 04 33 01 b2 03 fe 7f 07 9c 03 1f 0a 72 7f 06 26 7f 07 a6 02 c2 59 07 d2 07 9c 06 64 7f 07 aa 07 cc 01 25 50
KOREAN_GOLD,7,8,0x08,ITEM_ID,달맞이 돌,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x42F8,0x1B82F8,1,특정 포켓몬을 진화시킨다,0,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9,09 df 07 d4 7f 0a 27 09 2f 04 93 07 8b 7f 08 28 0a ad 06 63 09 82 02 d9 50
KOREAN_GOLD,8,9,0x09,ITEM_ID,해독제,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x4311,0x1B8311,1,중독상태를 치료하여 회복시킨다,0,08 0f 03 16 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9,08 0f 03 16 05 c3 09 92 04 36 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9 50
KOREAN_GOLD,9,10,0x0A,ITEM_ID,화상 치료제,False,ITEM_DESCRIPTION_BANK_6E,0x6E,0x4330,0x1B8330,1,화상을 치료하여 회복시킨다,0,0a ad 05 c3 07 8b 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9,0a ad 05 c3 07 8b 7f 09 01 04 11 0a 6f 07 09 7f 0a b8 05 19 06 63 09 82 02 d9 50
