slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,pret_gen2_english_label,original_gs_korean,latest_korean,final_korean,name_changed,change_category,verification_status,source_agreement,canonical_identifier,canonical_english,pokeapi_korean,pkhex_korean,pkhex_item_index,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,latest_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,original_gs_korean_description,description_cpu_address_hex
0,1,0x01,NAMED_ITEM,MASTER BALL,마스터볼,마스터볼,마스터볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,master-ball,Master Ball,마스터볼,마스터볼,1,8,8,0,04 46 06 4a 09 9d 05 1c,0x6C,0x4000,0x1B0000,04 46 06 4a 09 9d 05 1c,포켓몬을 반드시 잡을 수 있는<NEXT>최고의 볼,0x4200
1,2,0x02,NAMED_ITEM,ULTRA BALL,하이퍼볼,하이퍼볼,하이퍼볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,ultra-ball,Ultra Ball,하이퍼볼,하이퍼볼,2,8,8,0,0a 6f 07 9c 0a 0b 05 1c,0x6C,0x4009,0x1B0009,0a 6f 07 9c 0a 0b 05 1c,높은 확률로 포켓몬을<NEXT>잡을 수 있는 볼,0x4227
2,3,0x03,NAMED_ITEM,BRIGHTPOWDER,반짝가루,반짝가루,반짝가루,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,bright-powder,Bright Powder,반짝가루,반짝가루,213,8,8,0,04 dd 08 36 01 01 04 17,0x6C,0x4012,0x1B0012,04 dd 08 36 01 01 04 17,지니게하면 강한 빛을 발산해서<NEXT>상대의 명중률을 낮춘다,0x424C
3,4,0x04,NAMED_ITEM,GREAT BALL,수퍼볼,슈퍼볼,슈퍼볼,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,great-ball,Great Ball,슈퍼볼,슈퍼볼,3,6,6,0,06 44 0a 0b 05 1c,0x6C,0x401B,0x1B001B,06 26 0a 0b 05 1c,포켓몬을 잡기 위한 도구<NEXT>몬스터볼보다 고성능이다,0x4281
4,5,0x05,NAMED_ITEM,# BALL,몬스터볼,몬스터볼,몬스터볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,poke-ball,Poké Ball,몬스터볼,몬스터볼,4,8,8,0,04 93 06 4a 09 9d 05 1c,0x6C,0x4022,0x1B0022,04 93 06 4a 09 9d 05 1c,포켓몬을 잡기 위한 도구,0x42B1
5,6,0x06,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x402B,0x1B002B,0b 67,?,0x42C9
6,7,0x07,NAMED_ITEM,BICYCLE,자전거,자전거,자전거,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,bicycle,Bicycle,자전거,자전거,450,6,6,0,07 aa 07 cc 01 25,0x6C,0x402E,0x1B002E,07 aa 07 cc 01 25,2배의 빠르기로 이동할 수 있는<NEXT>접이식 자전거,0x42CC
7,8,0x08,NAMED_ITEM,MOON STONE,달맞이 돌,달의돌,달의돌,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,moon-stone,Moon Stone,달의돌,달의돌,81,9,6,-3,02 de 07 97 03 19,0x6C,0x4035,0x1B0035,02 de 04 62 07 9c 7f 03 19,특정 포켓몬을 진화시킨다,0x42F8
8,9,0x09,NAMED_ITEM,ANTIDOTE,해독제,해독제,해독제,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,antidote,Antidote,해독제,해독제,18,6,6,0,0a 78 03 16 07 d6,0x6C,0x403F,0x1B003F,0a 78 03 16 07 d6,중독상태를 치료하여 회복시킨다,0x4311
9,10,0x0A,NAMED_ITEM,BURN HEAL,화상 치료제,화상치료제,화상치료제,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,burn-heal,Burn Heal,화상치료제,화상치료제,19,11,10,-1,0a ad 05 c3 09 01 04 11 07 d6,0x6C,0x4046,0x1B0046,0a ad 05 c3 7f 09 01 04 11 07 d6,화상을 치료하여 회복시킨다,0x4330
