file_offset_hex,containing_bank_hex,candidate_target_bank_hex,candidate_target_address_hex
0x000C79,0x00,0x7A,0x49E0
0x000E05,0x00,0x78,0x7BD7
0x000E0B,0x00,0x7A,0x4AEA
0x000E49,0x00,0x78,0x7BD7
0x000E4F,0x00,0x7A,0x4FEA
0x000E72,0x00,0x7A,0x790E
0x001114,0x00,0x69,0x7611
0x0011EF,0x00,0x7A,0x560F
0x0012D1,0x00,0x68,0x7713
0x0012F4,0x00,0x69,0x6FCD
0x001302,0x00,0x69,0x6FCD
0x001422,0x00,0x69,0x6FCD
0x00143F,0x00,0x69,0x6B11
0x001A6C,0x00,0x7A,0x5F53
0x001BFE,0x00,0x68,0x4479
0x001BFF,0x00,0x79,0x4D44
0x001FEC,0x00,0x7A,0x45EA
0x00256C,0x00,0x7A,0x53EA
0x00270B,0x00,0x68,0x4FD1
0x002712,0x00,0x69,0x6FD1
0x00271E,0x00,0x6C,0x57D1
0x002749,0x00,0x78,0x57D1
0x00274D,0x00,0x79,0x47D1
0x00284A,0x00,0x78,0x79D7
0x002963,0x00,0x7A,0x7B22
0x002DFB,0x00,0x79,0x64FE
0x002E16,0x00,0x79,0x7FE6
0x0035C3,0x00,0x6C,0x4C4A
0x0035C6,0x00,0x6C,0x564A
0x0035CC,0x00,0x6C,0x4000
0x0035D3,0x00,0x7A,0x6CDF
0x0035D5,0x00,0x6C,0x49A1
