version,slot_index_zero_based,item_id_decimal,item_id_hex,pointer_cpu_address_hex,pointer_file_offset_hex,pointer_raw_hex,target_cpu_address_hex,target_bank_offset_hex,target_file_offset_hex,target_reference_count,verified_record_boundary
KOREAN_GOLD,0,1,0x01,0x4000,0x1B8000,00 42,0x4200,0x0200,0x1B8200,1,True
KOREAN_GOLD,1,2,0x02,0x4002,0x1B8002,27 42,0x4227,0x0227,0x1B8227,1,True
KOREAN_GOLD,2,3,0x03,0x4004,0x1B8004,4c 42,0x424C,0x024C,0x1B824C,1,True
KOREAN_GOLD,3,4,0x04,0x4006,0x1B8006,81 42,0x4281,0x0281,0x1B8281,1,True
KOREAN_GOLD,4,5,0x05,0x4008,0x1B8008,b1 42,0x42B1,0x02B1,0x1B82B1,1,True
KOREAN_GOLD,5,6,0x06,0x400A,0x1B800A,c9 42,0x42C9,0x02C9,0x1B82C9,1,True
KOREAN_GOLD,6,7,0x07,0x400C,0x1B800C,cc 42,0x42CC,0x02CC,0x1B82CC,1,True
KOREAN_GOLD,7,8,0x08,0x400E,0x1B800E,f8 42,0x42F8,0x02F8,0x1B82F8,1,True
KOREAN_GOLD,8,9,0x09,0x4010,0x1B8010,11 43,0x4311,0x0311,0x1B8311,1,True
KOREAN_GOLD,9,10,0x0A,0x4012,0x1B8012,30 43,0x4330,0x0330,0x1B8330,1,True
KOREAN_GOLD,10,11,0x0B,0x4014,0x1B8014,4b 43,0x434B,0x034B,0x1B834B,1,True
KOREAN_GOLD,11,12,0x0C,0x4016,0x1B8016,6a 43,0x436A,0x036A,0x1B836A,1,True
KOREAN_GOLD,12,13,0x0D,0x4018,0x1B8018,89 43,0x4389,0x0389,0x1B8389,1,True
KOREAN_GOLD,13,14,0x0E,0x401A,0x1B801A,a8 43,0x43A8,0x03A8,0x1B83A8,1,True
KOREAN_GOLD,14,15,0x0F,0x401C,0x1B801C,d0 43,0x43D0,0x03D0,0x1B83D0,1,True
KOREAN_GOLD,15,16,0x10,0x401E,0x1B801E,e7 43,0x43E7,0x03E7,0x1B83E7,1,True
KOREAN_GOLD,16,17,0x11,0x4020,0x1B8020,fd 43,0x43FD,0x03FD,0x1B83FD,1,True
