release_id,bank_dec,bank_hex,offset_start,offset_end_exclusive,sha256,non_ff_bytes,non_00_bytes,unique_byte_values
JP-JA-HV0,0,0x00,0x000000,0x004000,49a72079d41f4b598508e3e59eedf7bebc59a0cc4b87641f788acadfbcc36bf4,16214,15999,256
JP-JA-HV0,1,0x01,0x004000,0x008000,4aaf7e5b8a0725e88d83683d27f194b656e3aa0cd996b226a4fe5d340af1b0af,16303,15797,256
JP-JA-HV0,2,0x02,0x008000,0x00C000,4583375c15a049e1367b6b502de6781688da83768fc9c33b44f3868b5930c6c8,16129,15998,254
JP-JA-HV0,3,0x03,0x00C000,0x010000,3e11166cdb5ac79215578855b24d48a69ab35fff98c918d80fb1903569f92021,16130,15986,256
JP-JA-HV0,4,0x04,0x010000,0x014000,4ab0bef09929b94c5df46d712984e74e16826db4cf656d2c01f285aeea0e7e5c,16083,14223,256
JP-JA-HV0,5,0x05,0x014000,0x018000,e6da555ad7b88ef43927abb41c774e5778e2938eb72dab5be4e54672e9482b22,16205,15584,256
JP-JA-HV0,6,0x06,0x018000,0x01C000,a04bb73fa3a1701dc824c05a9549aa1120e0d54813c5ca71ea3cebc0f68d541b,16227,16016,256
JP-JA-HV0,7,0x07,0x01C000,0x020000,5b15dc20b5cce2e63189092faf45ddd5ef9455b2d9d60bb0cc56658f516972de,16156,16011,253
JP-JA-HV0,8,0x08,0x020000,0x024000,4a6e6cb3efd745bee62225df9ebeb67fc6dd8a241b7e774a12b58e8afb2eac94,16100,16071,256
JP-JA-HV0,9,0x09,0x024000,0x028000,aa558c1a08c8d8857c74bbfb2af68d659351a0a72f0752a02be8ad077c52acb7,16125,16356,256
JP-JA-HV0,10,0x0A,0x028000,0x02C000,c9a5c018aceadf4a5a44358847d47de5bdcde38a9ff3871e390651774e7c70b7,16070,16343,256
JP-JA-HV0,11,0x0B,0x02C000,0x030000,2ad5e1ec5e4aeb70dfa0e1bf3d46640164177b612991231af1fe9ee78e9b59e2,16014,16160,256
JP-JA-HV0,12,0x0C,0x030000,0x034000,54e7bc733afce3b4a5f24e634d70e247ac93674f82daa13ff34fe95128ea4bd0,16078,16353,256
JP-JA-HV0,13,0x0D,0x034000,0x038000,5346501cd6bfa430978376ddc7b727b3267294813b71bdc8637703ec8004d94a,15943,16084,256
JP-JA-HV0,14,0x0E,0x038000,0x03C000,527cce29cab0b0c4a38e1112962979f19b215ca22af87551656c4fe5442ff8b1,16011,14363,256
JP-JA-HV0,15,0x0F,0x03C000,0x040000,1f5858d3d72e486b8e3b57abb41e9e42a3e92f772b28cf475b3eefe253c45b28,16319,16089,255
JP-JA-HV0,16,0x10,0x040000,0x044000,4bb39f14e857177522e2b061218fd7ccfa3c7e6356066e4b449c448a7b045704,15956,14911,256
JP-JA-HV0,17,0x11,0x044000,0x048000,136665c8411daf7696112d4e4f6665234c14c0e254831473d5c5d0ad67628bce,16047,16030,256
JP-JA-HV0,18,0x12,0x048000,0x04C000,8f9eb95e2e62b13e0a7c6d7be042d2b5c27f3ac97ca6bc954a8cbaa31f7c4777,16168,15983,255
JP-JA-HV0,19,0x13,0x04C000,0x050000,0806463772ce7c8c6da66705ce5dd43a61215ead15f0160b2085ab9d3573f864,16057,16349,256
JP-JA-HV0,20,0x14,0x050000,0x054000,1da951d1746ea295d477eb63ac67d27b1d08e5438809afcfaed12e6117ec2825,16218,16045,256
JP-JA-HV0,21,0x15,0x054000,0x058000,b2162a5e10eae5cdfdf51559cf2d18065509426f0490b73d0a3630898e025028,16255,15984,256
JP-JA-HV0,22,0x16,0x058000,0x05C000,90698ee1eca80d5192cf2747ac5be5533b053b8b5e608a032386208e305e73dd,16249,15999,256
JP-JA-HV0,23,0x17,0x05C000,0x060000,d7f70ca4e5a91c045b9eecb9f1166481076220a7caeac7be96ea7ed8aa33c4ca,16185,16008,256
JP-JA-HV0,24,0x18,0x060000,0x064000,ef867943c3717bfda4954ff414a787b20e66663c02e0fcbb0f0340f030893621,16197,15999,256
JP-JA-HV0,25,0x19,0x064000,0x068000,5e08f1072eba382ee82d1193a01ad21e4497d7d6cb78c7b73329aeaf9f8d3940,14790,14883,255
JP-JA-HV0,26,0x1A,0x068000,0x06C000,f746f9123ab496af34fd210da8767b376c62282e4ac298f90ee9a4f041d8aec8,15090,15347,256
JP-JA-HV0,27,0x1B,0x06C000,0x070000,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,14574,14964,255
JP-JA-HV0,28,0x1C,0x070000,0x074000,6c1fcb47a5ac834e518a9b07f251db289d166cd9eaef28fd81f89197b28920c3,15989,14171,256
JP-JA-HV0,29,0x1D,0x074000,0x078000,e51ffc2d06cdcbdf43b56f75d59159159f4a1bb983277de4e95b886a22d09f72,16209,16064,256
JP-JA-HV0,30,0x1E,0x078000,0x07C000,d91c8387c055be0820fb7acd20db0e916c8db975650f62c2a0743d83d76b9e3b,15785,14199,256
JP-JA-HV0,31,0x1F,0x07C000,0x080000,6a45a1d44566365cb736a7f3679f6776a7a63b03a9d1196fedcd191b6bf683e4,16098,15980,256
