release_id,bank_dec,bank_hex,offset_start,offset_end_exclusive,sha256,non_ff_bytes,non_00_bytes,unique_byte_values
US-EU-EN-HV0,0,0x00,0x000000,0x004000,4566d6f503d8420529f2c7918465c169b4eb464300cbcfe29a31694e1e3cc6b5,16223,15811,256
US-EU-EN-HV0,1,0x01,0x004000,0x008000,417c4610d394efe72729ed0cf8cfc7f73a17901e143f627474744c371753467e,16299,14899,256
US-EU-EN-HV0,2,0x02,0x008000,0x00C000,6277577a36b5d75d3c1032ae8c1fcf352730177cd3e5f31de4cf7b135b92e7af,16129,15988,254
US-EU-EN-HV0,3,0x03,0x00C000,0x010000,53f6923c31f441ed3a0f2ad7909fe9b3ec7af6346ec065bd2351d34514123e7b,16131,15075,256
US-EU-EN-HV0,4,0x04,0x010000,0x014000,9fe7ea1643645d108ad1b895a5ea8a304cd4d8cf404a33a3fdea0c1209b9e199,16025,12405,256
US-EU-EN-HV0,5,0x05,0x014000,0x018000,61622d4c512aa99f3451d3d6be530fde11a87f8892bdc80d94179f188946e56c,16207,15421,251
US-EU-EN-HV0,6,0x06,0x018000,0x01C000,8a3aeb3f4ba39feb37fff0917af2daeaab473e30f6a552bc202fe375e231036c,16235,9825,252
US-EU-EN-HV0,7,0x07,0x01C000,0x020000,daaa098d7a9ef16b5c970c21b318b5e0134cf2b3f0b5133a30439974c733f00b,16167,11271,256
US-EU-EN-HV0,8,0x08,0x020000,0x024000,5a2a94dd36930c01aa30aefee4035e8396838939130f82289b7845347e8ac046,16099,15916,256
US-EU-EN-HV0,9,0x09,0x024000,0x028000,8f684c599df8ad7617674008c8b7edfc97b01c75314ff738a600679d192544ae,16151,16300,256
US-EU-EN-HV0,10,0x0A,0x028000,0x02C000,52ad1c8b985b336b9e28c6aaa0112e459e789be325e9f0a8379a012abd718e4e,16129,16114,256
US-EU-EN-HV0,11,0x0B,0x02C000,0x030000,ec0912b59d9f95b698ea63193266496fcde06e63ab7b764082cf62512d3f22d0,16053,15746,256
