bank,bytes_different,diff_spans,first_diff,last_diff,identical
00,13109,359,0x000051,0x003FFF,false
01,11803,234,0x004795,0x007FFF,false
02,18,7,0x008A49,0x00BFFF,false
03,366,316,0x00C532,0x00FFFF,false
04,233,199,0x011AFB,0x013FFF,false
05,83,41,0x017C2D,0x017FFF,false
06,348,297,0x018E68,0x01BFFF,false
07,560,469,0x01C222,0x01FFFF,false
08,60,56,0x020004,0x020FEF,false
09,519,32,0x027DCE,0x027FFF,false
0A,14,8,0x02BF92,0x02BFFF,false
0B,13,11,0x02FE80,0x02FFFF,false
0C,32,6,0x033F83,0x033FFE,false
0D,65,58,0x0373AF,0x037FA8,false
0E,79,78,0x039AF2,0x03BFFF,false
0F,15403,333,0x03C04D,0x03FFFF,false
10,135,109,0x040001,0x043FFF,false
11,307,255,0x04410C,0x047FFF,false
12,406,315,0x0480EC,0x04BFFF,false
13,36,33,0x04FD11,0x04FFFF,false
14,379,354,0x050C01,0x053FFF,false
15,313,291,0x055250,0x057FFF,false
16,330,300,0x058D9D,0x05BFFF,false
17,397,343,0x05C0B1,0x05FFFF,false
18,359,305,0x06042D,0x063FFF,false
19,32,1,0x067FE0,0x067FFF,false
1A,2,2,0x06BFF4,0x06BFFF,false
1B,0,0,,,true
1C,203,176,0x070009,0x073FFF,false
1D,425,348,0x074068,0x077FFF,false
1E,132,96,0x078C8C,0x07BFFF,false
1F,7,4,0x07C3F0,0x07FFFF,false
