bank,offset_start,sha1,entropy_bits_per_byte,count_00,count_ff,unique_byte_values
00,0x000000,ea4e846d437aeda413b99a9351058c4078e138e4,7.153623746,368,200,256
01,0x004000,684a549d7dafd4085856ca30473be2864c62b4e8,7.255462884,581,102,256
02,0x008000,b0aa7e34c8e5c4f2c1191ea7f9505704a1bc93c7,6.977056763,380,258,255
03,0x00C000,90955297368490ccadb0b20a6ba6493788147f24,7.354958924,394,267,256
04,0x010000,243f329b7054e3657158ab97fa8519393afb3d34,6.780312549,2173,311,256
05,0x014000,db0b85deeeb98ae32f8e391fdb983dce390b5d39,6.298147047,810,191,255
06,0x018000,c89c789bbf7d34e698156919d598ef7112d3b95c,7.241051620,375,174,256
07,0x01C000,3defa14e68c8957db302a734860f449cb5119374,7.174935770,378,234,256
08,0x020000,4f562b7171ee7900e5fa8500bdf5530ee505fb04,7.060186013,309,287,256
09,0x024000,c78d296a1573526c10af4b42842cb8ea062b02c3,7.807698596,16,299,256
0A,0x028000,0b3bdecdbeb2792a478acbc9c0dfa28a7a1ecf9d,7.840424884,12,284,255
0B,0x02C000,84dc6698c5aec1dabec371204d905f09c87a754b,7.836648304,203,299,256
0C,0x030000,ae4366bcc8d4956a64cd6f6fc019e98af0ca298a,7.819103848,12,338,256
0D,0x034000,623f710d726377b21627ac3c50f3aa2b0e5a210f,7.804545654,250,549,256
0E,0x038000,0980662be6b58f1c63a62b2124273d1f16072b01,7.145709278,2018,373,256
0F,0x03C000,9c9807f0249461f981a1ddc4bd4ceb18350dc7b9,7.065422791,290,70,255
10,0x040000,636d5f380ef191017bf457f0284c5245fb77e262,6.965785063,1259,438,256
11,0x044000,3c6ece3ee092846179085187ddfc1bd8a51b7a5a,7.189089329,361,347,256
12,0x048000,af1896b2f6cef12f4205781681e5aeae190d2fdd,7.116142450,407,221,256
13,0x04C000,c1abe23353d3ea4db69f05b29a3d8f09eae4fdb3,7.835600494,35,326,256
14,0x050000,601d7efd2510eb5763c874428886866dd0ea69ef,7.280831751,341,171,256
15,0x054000,717d98a7614353fc6c94202021eb335c74992120,7.131843536,405,128,255
16,0x058000,b0940397d70235a1192c6a440af6be89c9a55db0,7.151137362,384,133,255
17,0x05C000,9a0d7997c1c885d3b2fc518e5276010648eb6b64,7.093361650,371,193,256
18,0x060000,e6d9783d74055b6b2400872cbc0b138966aeeeb9,7.033718383,382,188,255
19,0x064000,35c5fa205c031e2ea47b43740a33cadc320bffef,6.504074148,1475,1588,253
1A,0x068000,59ed004f46ec877f512faad982d51e8c427d8c19,6.370777797,1043,1293,256
1B,0x06C000,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428405,1420,1810,255
1C,0x070000,02237adf7b392abe694f0a5ad7b435d9fda01ebf,6.879578854,2107,431,256
1D,0x074000,3b7cc2fa3a82a2b76fb9b481bd3a01f7b52fa47f,7.083362332,323,178,256
1E,0x078000,82b68e0ed9c8765fa36645f1ea15f122ca7e7d9a,6.785580062,2200,613,256
1F,0x07C000,ac511d8b454da83f87cc82c3425e56fd62f8aa1f,7.071511893,402,290,255
