bank,start,end_exclusive,size,sha256,changed_bytes_vs_other_revision
00,0x000000,0x004000,16384,979077c1267386064f5a3fa42b7d3a8e668d2df0c3e06c6bae26fdb1247c6be7,13109
01,0x004000,0x008000,16384,c4247538d76f301363728e4a7f89190700432132451f33d89937ece3617c03c9,11803
02,0x008000,0x00C000,16384,533b5a6c7533f6f3f40b5fc1d17ffba84b5b7583cada723fc1e3d42577692c55,18
03,0x00C000,0x010000,16384,dfd68c0a8bc77fb0e16f1d079a38324d9b23623f5c3c7cbfadac8150026683de,366
04,0x010000,0x014000,16384,f77b18e01e1397725a57bc688231a5c52ed8dd628300dfa77764086b92f4c86a,233
05,0x014000,0x018000,16384,dc051279962d56f656e9806f91b4607e9989c2a9cf7839a89e9a9f07816c8d35,83
06,0x018000,0x01C000,16384,2c2edb33e8e53d73c432225f1901aba7298086afd1468a87e51454555d366cf1,348
07,0x01C000,0x020000,16384,3f7b33a64a54438d98db710ffa313171927eda4d30f4c75b17cce22a15e77268,560
08,0x020000,0x024000,16384,946c2e747f7735488c86982d3e6fa15c887240e80b0e84c25858b285d28779a1,60
09,0x024000,0x028000,16384,73b926764a8fab48eee70990edf41cce53b112705bdb3d97014f96a6bfa002bf,519
0A,0x028000,0x02C000,16384,bb56ce96522f1ced9056016e80fe4599a5e829ab181f29ac1009c755c75a2715,14
0B,0x02C000,0x030000,16384,3b8ed6da57fb5894d08a755023d5eb12c70c8d879bba218a10c56d3b73476bf1,13
0C,0x030000,0x034000,16384,4d82057e843087d79f709150091cb8b19e2c902ecd1da390fc7c51e8a4447cc5,32
0D,0x034000,0x038000,16384,6d8d3c6832aff619ddd8bc59d9252d4ebd4b85bd48ac25690f40935d522ceee7,65
0E,0x038000,0x03C000,16384,e123cd79f6387866078e6471c52bd9a088ab3d2be7316214f3d26c520941aba9,79
0F,0x03C000,0x040000,16384,988c890788bdf774f0baed30276f1970185ea85f98c5857dfb707affe967f7ea,15403
10,0x040000,0x044000,16384,1c8b1b57ca1c9e1d1932aa8499b6557fb32845d07d8ddc89576903f1704ce8b8,135
11,0x044000,0x048000,16384,9eed2ef183b200d827c755800be557c8886f0bd5fa438e7b104c83f04d313b4b,307
12,0x048000,0x04C000,16384,ecabb17585af9324b3c66f92f9f1d9cdd7c735d26c8615e44a6f774a611637aa,406
13,0x04C000,0x050000,16384,1c28fca1605d7362b5ca320489d7b56d0e931f4ec66c4445f6a92be2e89e2ba8,36
14,0x050000,0x054000,16384,768a410484a8a94059fe693444f8fbff99026b032fbb3e448e50822ab004f033,379
15,0x054000,0x058000,16384,a3e0bc466c6e1b4a4dee1e8794e27270ddf6aa1b1089ae09553bed60816af4da,313
16,0x058000,0x05C000,16384,66884ce4cbf9e30d7d611598b51c89287de9a03701a339d4a489456baf16934c,330
17,0x05C000,0x060000,16384,013e19b8fc13aab1f0ea4deb897b3df6e4ab2101fb05e14effcbb3eb6c1d3d7a,397
18,0x060000,0x064000,16384,11ae2cc508fb6950a9dc72621ad9eb9c06914c909c7d00f5a1aa8d3eda4a3c60,359
19,0x064000,0x068000,16384,595f12b1ecf57c7e6ae430b9ee5cf256a939ab192ce2baa3d3b30cdb4e4f7619,32
1A,0x068000,0x06C000,16384,fb25a0f866b5b96aa53087b75ff96546f82ba36ddaab0fc2f9869468deb916d3,2
1B,0x06C000,0x070000,16384,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,0
1C,0x070000,0x074000,16384,3a8b03bbb91f27f63768d1a2d466cafba4df59613d4c38852b4c177a435142a8,203
1D,0x074000,0x078000,16384,1122f5f5833e1473d2cd5c5d2fff68f250b8c069a08e3977ae4c7c7c91a5da63,425
1E,0x078000,0x07C000,16384,7e919b57c4e8fad1fe14dc0315522fd91c6eb8845eedc13c37146a85183217ca,132
1F,0x07C000,0x080000,16384,9038582544e60af0b53deef13d3994a98019551b0fd89065f7db6f139fe2a2c9,7
