bank,start,end_exclusive,size,sha256,changed_bytes_vs_other_revision
00,0x000000,0x004000,16384,8a76064d73a67d28ee674f93ed1c7d897615eaaec81ea2a30da5a9b0f11f4c79,13109
01,0x004000,0x008000,16384,733b3b90429cc2366000c4da111618317281666291cab5368fdbe0ba3db4d00d,11803
02,0x008000,0x00C000,16384,f7800640200368d660701f1b43689f2bb92d3335f27f112935a324c15bfa4f42,18
03,0x00C000,0x010000,16384,5172ddc07d8459603df0086fe5b121b4313daa87478d590840e1ea53efe1ad07,366
04,0x010000,0x014000,16384,1e93ad1cd0934d00f486996f7703e3d46883241ab3ca82cafcd44a129f5eff46,233
05,0x014000,0x018000,16384,5fb6466d542055cdcf9f4e9e829a61ae92841ed2831d13d50d7d147bdb9b1e3c,83
06,0x018000,0x01C000,16384,61674fd3246d2990ecbf2a17a895d30362b5bad7efd39d7023e146d402cb16aa,348
07,0x01C000,0x020000,16384,dc9359cea78181f434660f396be5e0ced9ab083a65a4d8769af26c837b497c85,560
08,0x020000,0x024000,16384,a8be2124fb91a90310a7b852020dbffa6d54c5ada7e8ef7d0e6dc200e12dbfbe,60
09,0x024000,0x028000,16384,92f26eab1015a9579e43f48803fd418ee4798b7f92d5218e7b48e1e762b5cfc8,519
0A,0x028000,0x02C000,16384,2db55460431594ee855e9603102f13c31faae88c1f043dce03ac30f5b90573ca,14
0B,0x02C000,0x030000,16384,c5fb1d70772169363d8a66541a1e38cdb70a7ca3da6ff1f7a0007c76328b240f,13
0C,0x030000,0x034000,16384,929ac90ea76ad841d288fc4648596559d5c0839ddf42707b4485815bb7cd8d96,32
0D,0x034000,0x038000,16384,1cf6ec7003245e91e6a2f46a24c430df19491020f6bfaee4de64a4fd42426c2f,65
0E,0x038000,0x03C000,16384,522698c4367cdc4d239446e686192d0274cf5c13d5502a9a0718e0e51083da13,79
0F,0x03C000,0x040000,16384,de0efb0a0221227d5527fb56d1753c40a22e08d238ba8e5581c8958bfcb7c8a6,15403
10,0x040000,0x044000,16384,502dbc723396017316a081b172b1fb2b9b5557abb95c2baf2726f44206caca56,135
11,0x044000,0x048000,16384,0c9ec263f051e4ee94fba3ff0d19e98a17840aea638ad209cecbd372a1a7a934,307
12,0x048000,0x04C000,16384,1965e392b9ed784402b2304d0570d187a5bc36fbb8390c4a6147f058189fe4e2,406
13,0x04C000,0x050000,16384,932b8d92b072f450dbb5e8dc4855220f9a05b27332f4d6d1c91e11ca856c6869,36
14,0x050000,0x054000,16384,a251e9451f378dd754f181dcaa3750ef300189dbaf1a7c229ee6f33c85d52b99,379
15,0x054000,0x058000,16384,2062c3c8e34fee51714f5f972d4ecf84b97a23f66a5210ad55bc978c445d068b,313
16,0x058000,0x05C000,16384,2b1bcc7bcfd7f56698b9f6503360d056922adb2e0ab2cf66aafc886f4cfffd53,330
17,0x05C000,0x060000,16384,68e54137caea1030df088a28d9e4f785e2f14c8a60e09ce0d8790da471c67af9,397
18,0x060000,0x064000,16384,fccda21285bc732fb2a4b0c5b8b3ac77ab4022cd7060edf887e8015343515300,359
19,0x064000,0x068000,16384,d03c7a0645db4318562a3de2448ce3ebcf452609ccb06bace97c9879f64a5856,32
1A,0x068000,0x06C000,16384,119217cfeb2a38c8660bc7748e7b38cee68a86d34677d0dbc05293b003d981f7,2
1B,0x06C000,0x070000,16384,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e,0
1C,0x070000,0x074000,16384,12d4d346459554b142530490bf033bc963c326a6c74707020b1d1af67df38760,203
1D,0x074000,0x078000,16384,fd3d05338382f18686eb270f6a6012bb1cb4e9be67f6b0083810d04790e31f0b,425
1E,0x078000,0x07C000,16384,bdbc0d8e76ce30b2ac82cb4f989379b98a24bc95c6e6566880a842bf4addd637,132
1F,0x07C000,0x080000,16384,e7808a019a81954f64389f2f29c4c6b77fc663b1428dcb55a79db66c66dfeca2,7
