game,release_a,release_b,size_a,size_b,equal_bytes_overlap,overlap_bytes,equal_bank_sha256,banks_compared
RED,JP-JA-HV0,JP-JA-HV1,524288,524288,478121,524288,1,32
RED,JP-JA-HV0,US-EU-EN-HV0,524288,1048576,81871,524288,1,32
RED,JP-JA-HV1,US-EU-EN-HV0,524288,1048576,81832,524288,1,32
GREEN,JP-JA-HV0,JP-JA-HV1,524288,524288,478120,524288,1,32
BLUE,JP-JA-HV0,US-EU-EN-HV0,524288,1048576,228860,524288,1,32
YELLOW,JP-JA-HV0,JP-JA-HV1,1048576,1048576,740908,1048576,3,64
YELLOW,JP-JA-HV0,JP-JA-HV2,1048576,1048576,740893,1048576,3,64
YELLOW,JP-JA-HV0,JP-JA-HV3,1048576,1048576,728429,1048576,3,64
YELLOW,JP-JA-HV0,US-EU-EN-HV0,1048576,1048576,435902,1048576,2,64
YELLOW,JP-JA-HV1,JP-JA-HV2,1048576,1048576,1009091,1048576,4,64
YELLOW,JP-JA-HV1,JP-JA-HV3,1048576,1048576,800738,1048576,3,64
YELLOW,JP-JA-HV1,US-EU-EN-HV0,1048576,1048576,453560,1048576,2,64
YELLOW,JP-JA-HV2,JP-JA-HV3,1048576,1048576,803038,1048576,3,64
YELLOW,JP-JA-HV2,US-EU-EN-HV0,1048576,1048576,454461,1048576,2,64
YELLOW,JP-JA-HV3,US-EU-EN-HV0,1048576,1048576,541059,1048576,16,64
