bank,EN,FR,DE,IT,ES,JP0A,JPB,JPC,JPD
00,A,B,C,D,E,F,G,H,I
01,A,B,C,D,E,F,G,H,I
02,A,B,C,D,E,F,G,H,I
03,A,B,C,D,E,F,G,H,I
04,A,B,C,D,E,F,G,H,I
05,A,B,C,D,E,F,G,H,I
06,A,B,C,D,E,F,G,H,I
07,A,B,C,D,E,F,G,H,I
08,A,B,C,D,E,F,G,H,I
09,A,B,C,D,E,F,G,H,I
0A,A,B,C,D,E,F,G,H,I
0B,A,B,C,D,E,F,G,H,I
0C,A,A,A,A,A,B,C,D,A
0D,A,B,C,D,E,F,G,H,I
0E,A,B,C,D,E,F,G,H,I
0F,A,B,C,D,E,F,G,H,I
10,A,B,C,D,E,F,G,H,I
11,A,B,C,D,E,F,G,H,I
12,A,B,C,D,E,F,G,H,I
13,A,B,C,D,E,F,G,H,I
14,A,B,C,D,E,F,G,H,I
15,A,B,C,D,E,F,G,H,I
16,A,B,C,D,E,F,G,H,I
17,A,B,C,D,E,F,G,H,I
18,A,B,C,D,E,F,G,H,I
19,A,B,C,D,E,F,F,F,F
1A,A,A,A,A,A,B,C,D,E
1B,A,A,A,A,A,A,A,A,A
1C,A,B,C,D,E,F,G,H,I
1D,A,B,C,D,E,F,G,H,I
1E,A,B,C,D,E,F,G,H,I
1F,A,B,C,A,D,E,F,G,H
20,A,B,C,D,E,F,G,H,I
21,A,A,A,A,A,B,C,D,A
22,A,A,A,A,A,B,C,D,A
23,A,A,A,A,A,B,C,D,A
24,A,A,A,A,A,B,C,D,A
25,A,A,A,A,A,B,C,D,A
26,A,B,C,D,E,F,G,H,I
27,A,B,C,D,E,F,G,H,I
28,A,B,C,D,E,F,G,H,I
29,A,B,C,D,E,F,G,H,I
2A,A,B,C,D,E,F,G,H,I
2B,A,B,C,D,E,F,G,H,I
2C,A,B,C,D,E,F,G,H,I
2D,A,B,C,D,E,F,G,H,I
2E,A,B,C,D,E,F,G,H,I
2F,A,B,C,D,E,F,G,H,I
30,A,B,C,D,E,F,G,H,I
31,A,A,A,A,A,B,C,D,A
32,A,A,A,A,A,A,A,A,A
33,A,A,A,A,A,B,C,C,A
34,A,A,A,A,A,B,C,D,A
35,A,A,A,A,A,B,C,D,A
36,A,A,A,A,A,B,C,D,A
37,A,A,A,A,A,B,C,D,A
38,A,A,A,A,A,B,C,D,A
39,A,A,A,A,A,B,C,D,A
3A,A,B,C,D,E,F,G,H,I
3B,A,B,C,D,E,F,G,H,I
3C,A,B,C,D,E,F,G,H,I
3D,A,B,C,D,E,F,G,H,I
3E,A,B,C,D,E,F,G,H,I
3F,A,B,C,D,E,F,G,H,I
