bank,offset_hex,size_bytes,sha1,crc32
0,0x000000,16384,906e353c3613b0e140a72506a52c226d8d63dbc6,00317A97
1,0x004000,16384,433e10c3c846cae709538069108da188a61e38d5,1D53441B
2,0x008000,16384,687495006c18ee8155728a088d56b358fc753d22,C5C57F10
3,0x00C000,16384,22a71bb04cdbbe3fe1f20c1cad7fa0335fd4d83d,C51CC528
4,0x010000,16384,261683df9b30c156e439eba3571ac88d4f41ee3a,A544FAD1
5,0x014000,16384,d130dd6f39515afaac350c29f23ef3f4f0ac2833,671A47B6
6,0x018000,16384,7b4fccb4ae71a46fce526280574c6ef0f33a4ffb,753B3CBB
7,0x01C000,16384,f5ca65f4856c3cd555c9fcfffb7f95b0caf7b4a3,0E491804
8,0x020000,16384,5c5de6dd3031103ebdb373bd13fa62d16ba50a85,D9360DBC
9,0x024000,16384,b190065807fadf0b9eec779d32791eafd27abc70,AB3C2E7D
10,0x028000,16384,86f36085602d556792fbf92d994b0c565042676e,662D9A91
11,0x02C000,16384,99a732c2aac15a5f9f1a0ba6f2b56e3d66bfbf08,83F972E4
12,0x030000,16384,dcf5777c6f8295847a8ff24f2512aa4376d83152,1053FA0F
13,0x034000,16384,626b094de5c009f0ba5c9af4a70fbe119b972c32,96477EAB
14,0x038000,16384,e4ea53d9d437f5387e64b3bf9f913feee09ae0ee,7A1AC487
15,0x03C000,16384,3f7d43146a548c70baa1a038341bf09874cf9386,4686CB9D
16,0x040000,16384,d032fb0288b6e66060e0fe70d984ec25a6301613,E8DF481F
17,0x044000,16384,9159031a3d91eba75150191d408ae34cf734fdb6,68A1C646
18,0x048000,16384,450b61d85425b333788c012549308bf87907fd15,87C2E26B
19,0x04C000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
20,0x050000,16384,612c2127ae541e0aa468673ddb02df780ac6b41f,29933C53
21,0x054000,16384,ee6e486a033daebeb3117079a6be90e67a3dce0e,72F1722B
22,0x058000,16384,b68c3b267b4b0479714484bf01ed16f9cf0d0fab,36B5CDF8
23,0x05C000,16384,9e84eca2affd15fcb5eb49d6e7b64b07fddbc130,0EA96B2C
24,0x060000,16384,2d70a5fac7fcfc6ba8214a6a2bdb0be87de04501,760BE7D3
25,0x064000,16384,d43e74a33aa9894a86d866aee1ac2d7ae5c262e7,937D993B
26,0x068000,16384,ae989d2fc912108cb751045225c85f9f3c089481,342BFCA8
27,0x06C000,16384,3ddcb39724892fe67a6ec20bdade48ddebfac907,BACF2FF1
28,0x070000,16384,c10c9a85d646945f0430a1f03d15913c35ce934c,8081CD18
29,0x074000,16384,1cc0151417bae5170e3dd12626e4b4086060c84c,27169053
30,0x078000,16384,bf6b1fb6c181276a88248e5192a1134e15acae45,67F712BB
31,0x07C000,16384,191b765e9c2d9966958ee6facdcaae5bc5203404,078799DD
32,0x080000,16384,7b3d0b4b3e29e310735d531bb05f4ca77825ef7d,E5C16732
33,0x084000,16384,b1c01f3c83c0f9fd53834bc9b4e5b7311a448ea6,9C428969
34,0x088000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
35,0x08C000,16384,8d03641e343a76cced2f29568eaf02ea2fe9b1a5,D5F0EC94
36,0x090000,16384,0c19681c7239e792ea851e4a18af071128acb8e1,C0CC5FC1
37,0x094000,16384,ef67f42cd0fe2c8c161a4cf635a91e130966f44e,E4AC23EB
38,0x098000,16384,4cae5ec84b4e1dcd6bf41452198b470b446af4fd,696264EE
39,0x09C000,16384,46c799654a9747174d612bb7d4acfb426bbed4f9,5212688F
40,0x0A0000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
41,0x0A4000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
42,0x0A8000,16384,ab92aa28bb7fa3a0daf96b184a25270814eeedd6,0EB784D9
43,0x0AC000,16384,0b18ffd50dd2d67d531be687004fcd1985fba5ae,2FB4BA4D
