bank_hex,bank_index,offset_start_hex,size_bytes,sha256
00,0,0x000000,16384,0583204f9c5ed148bfff326334a844e487cc54309f73be5cfb45ff5cd9c42322
01,1,0x004000,16384,ed202fd5efb4e702a7e7b22dfcc99e0cc22c6eaa7cb3fad92ecc298dacbe6d85
02,2,0x008000,16384,738732a785122d21a3171e3049432ab316f5c81efe0c50c23a4873634bbdd0ae
03,3,0x00C000,16384,9bf7be60d4e93e8d2798bc9446d39c1343e64535acb1db58710f9c755b905a52
04,4,0x010000,16384,89e0ce654f6e1e605b400a6edfd5c46d54643ee589e41cc7be79fcfe441762a1
05,5,0x014000,16384,5a29589a7d6830c4690bc962511ee0375f047455100991341bd4f76765bf7979
06,6,0x018000,16384,5700c5ecee7d99cb9f82f5219512d88d2800ea4510fda27d40139535a79897c8
07,7,0x01C000,16384,3ff01f0be31579d1c7369e057880fbfe0d0bc7af3bfab93e22762d662f9a3be5
08,8,0x020000,16384,f2fb50323c647a7be1ae6d154772b925f09f01f63b3dbdf0f3135542a7d9d8b8
09,9,0x024000,16384,2faccd7a8b191280cc7ca3cc4079f39851f4b029cadfdb647cf2be146aadd354
0A,10,0x028000,16384,2fc43f227850ce899ae031a93be173f430c15eeb8bc42fadc80e5cacaf0911ca
0B,11,0x02C000,16384,1e1a755a7e300510fc0ce5d15d09a6b047de49c90d815c7181788dbbd1305e96
0C,12,0x030000,16384,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47
0D,13,0x034000,16384,7c36d5d13bc52a70bca0b1882196389f19f617c36ec16bd9ca6ea4b73caa2651
0E,14,0x038000,16384,d71a1e09d9cd038428dd55e2beca350a8149caef05488695b8f72640ecb71942
0F,15,0x03C000,16384,0c6f76651688d76b381d980b95387dbe52a31b07aeb61625daf259c942bb42a8
10,16,0x040000,16384,27f9208987e5dc61dbc062bc96858d2639fa822836cb74e75eec1f3f4b834917
11,17,0x044000,16384,f9c1118d4c234e3e0b7e612c469f763fe36de0fc2d7eb79a6c37874e82646840
12,18,0x048000,16384,cbaae0de4e4a18341c857b07e72194a4e98316578dea2e25b316fae14d41222d
13,19,0x04C000,16384,451dcf6ab45ef4a8708d5d30aa236c748070480bf532df85e769363df97994d6
14,20,0x050000,16384,b2a1ec07d974346c008345c22e188702eb37477406c91af438cd4943ee956756
15,21,0x054000,16384,9108dcfd4958b7b68441670e10e74da1e166065bb91da886aefae728ce1ce282
16,22,0x058000,16384,b7978ff71510d1afefb482feb869280db0f00ede2d7a348d08dd1928b90f1dce
