start,end,release,all_release_same_bytes,all_release_same_pct,aligned_rom_pointer_words,zero_bytes,ff_bytes,entropy_bits_per_byte
0x00000000,0x00000FFF,JPN,2346,57.275391%,37,595,97,6.450026
0x00000000,0x00000FFF,ENG_USA_EUR,2346,57.275391%,28,664,45,6.397282
0x00000000,0x00000FFF,FRA,2346,57.275391%,28,666,46,6.394717
0x00000000,0x00000FFF,DEU,2346,57.275391%,28,664,45,6.394791
0x00000000,0x00000FFF,ITA,2346,57.275391%,28,665,45,6.386872
0x00000000,0x00000FFF,ESP,2346,57.275391%,28,663,48,6.399677
0x00001000,0x00001FFF,JPN,347,8.471680%,30,491,131,6.159172
0x00001000,0x00001FFF,ENG_USA_EUR,347,8.471680%,30,484,134,6.140712
0x00001000,0x00001FFF,FRA,347,8.471680%,30,484,134,6.141051
0x00001000,0x00001FFF,DEU,347,8.471680%,30,484,134,6.141025
0x00001000,0x00001FFF,ITA,347,8.471680%,30,484,134,6.142185
0x00001000,0x00001FFF,ESP,347,8.471680%,30,484,134,6.140235
0x00002000,0x00002FFF,JPN,109,2.661133%,11,330,18,6.462522
0x00002000,0x00002FFF,ENG_USA_EUR,109,2.661133%,10,367,28,6.428726
0x00002000,0x00002FFF,FRA,109,2.661133%,10,367,28,6.430246
0x00002000,0x00002FFF,DEU,109,2.661133%,10,367,28,6.427759
0x00002000,0x00002FFF,ITA,109,2.661133%,10,367,28,6.429389
0x00002000,0x00002FFF,ESP,109,2.661133%,10,367,28,6.429247
0x00003000,0x00003FFF,JPN,116,2.832031%,16,373,38,6.441292
0x00003000,0x00003FFF,ENG_USA_EUR,116,2.832031%,8,335,35,6.505114
0x00003000,0x00003FFF,FRA,116,2.832031%,8,335,35,6.504609
0x00003000,0x00003FFF,DEU,116,2.832031%,8,335,35,6.503052
0x00003000,0x00003FFF,ITA,116,2.832031%,8,335,35,6.503406
0x00003000,0x00003FFF,ESP,116,2.832031%,8,335,35,6.501924
0x00004000,0x00004FFF,JPN,111,2.709961%,11,395,24,6.472428
0x00004000,0x00004FFF,ENG_USA_EUR,111,2.709961%,27,360,22,6.406678
0x00004000,0x00004FFF,FRA,111,2.709961%,27,360,22,6.407033
0x00004000,0x00004FFF,DEU,111,2.709961%,27,360,22,6.408500
0x00004000,0x00004FFF,ITA,111,2.709961%,27,360,23,6.406521
0x00004000,0x00004FFF,ESP,111,2.709961%,27,360,22,6.404750
0x00005000,0x00005FFF,JPN,199,4.858398%,132,445,23,6.447534
0x00005000,0x00005FFF,ENG_USA_EUR,199,4.858398%,110,431,31,6.499537
0x00005000,0x00005FFF,FRA,199,4.858398%,110,431,31,6.494587
0x00005000,0x00005FFF,DEU,199,4.858398%,110,431,31,6.497093
0x00005000,0x00005FFF,ITA,199,4.858398%,110,431,31,6.499911
0x00005000,0x00005FFF,ESP,199,4.858398%,110,431,31,6.488211
0x00006000,0x00006FFF,JPN,197,4.809570%,67,429,19,6.355022
0x00006000,0x00006FFF,ENG_USA_EUR,197,4.809570%,105,442,19,6.306499
0x00006000,0x00006FFF,FRA,197,4.809570%,105,444,20,6.273412
0x00006000,0x00006FFF,DEU,197,4.809570%,105,442,18,6.287993
0x00006000,0x00006FFF,ITA,197,4.809570%,105,442,20,6.289077
0x00006000,0x00006FFF,ESP,197,4.809570%,105,442,19,6.278697
0x00007000,0x00007FFF,JPN,152,3.710938%,8,452,62,6.225963
0x00007000,0x00007FFF,ENG_USA_EUR,152,3.710938%,13,443,45,6.269003
0x00007000,0x00007FFF,FRA,152,3.710938%,13,443,46,6.257141
0x00007000,0x00007FFF,DEU,152,3.710938%,13,443,45,6.248541
0x00007000,0x00007FFF,ITA,152,3.710938%,13,443,47,6.255986
0x00007000,0x00007FFF,ESP,152,3.710938%,13,443,46,6.258331
0x00008000,0x00008FFF,JPN,152,3.710938%,51,478,110,6.178118
0x00008000,0x00008FFF,ENG_USA_EUR,152,3.710938%,36,480,118,6.201215
0x00008000,0x00008FFF,FRA,152,3.710938%,36,480,118,6.196767
0x00008000,0x00008FFF,DEU,152,3.710938%,36,480,117,6.189648
0x00008000,0x00008FFF,ITA,152,3.710938%,36,480,118,6.199868
0x00008000,0x00008FFF,ESP,152,3.710938%,36,480,122,6.191522
0x00009000,0x00009FFF,JPN,198,4.833984%,25,598,59,6.246895
0x00009000,0x00009FFF,ENG_USA_EUR,198,4.833984%,38,550,62,6.259844
0x00009000,0x00009FFF,FRA,198,4.833984%,38,550,62,6.280472
0x00009000,0x00009FFF,DEU,198,4.833984%,38,550,60,6.260425
0x00009000,0x00009FFF,ITA,198,4.833984%,38,550,62,6.276575
0x00009000,0x00009FFF,ESP,198,4.833984%,38,550,63,6.273926
0x0000A000,0x0000AFFF,JPN,196,4.785156%,33,554,82,6.228592
0x0000A000,0x0000AFFF,ENG_USA_EUR,196,4.785156%,15,581,79,6.133660
0x0000A000,0x0000AFFF,FRA,196,4.785156%,15,582,79,6.133423
0x0000A000,0x0000AFFF,DEU,196,4.785156%,15,581,79,6.130295
0x0000A000,0x0000AFFF,ITA,196,4.785156%,15,581,79,6.136474
0x0000A000,0x0000AFFF,ESP,196,4.785156%,15,581,78,6.135969
0x0000B000,0x0000BFFF,JPN,178,4.345703%,23,532,41,6.263929
0x0000B000,0x0000BFFF,ENG_USA_EUR,178,4.345703%,31,554,34,6.296988
0x0000B000,0x0000BFFF,FRA,178,4.345703%,31,553,34,6.297888
0x0000B000,0x0000BFFF,DEU,178,4.345703%,31,554,36,6.296652
0x0000B000,0x0000BFFF,ITA,178,4.345703%,31,553,35,6.298381
0x0000B000,0x0000BFFF,ESP,178,4.345703%,31,553,32,6.292680
0x0000C000,0x0000CFFF,JPN,253,6.176758%,72,566,29,6.311942
0x0000C000,0x0000CFFF,ENG_USA_EUR,253,6.176758%,86,557,32,6.299425
0x0000C000,0x0000CFFF,FRA,253,6.176758%,86,556,32,6.281203
0x0000C000,0x0000CFFF,DEU,253,6.176758%,86,556,35,6.308064
0x0000C000,0x0000CFFF,ITA,253,6.176758%,86,556,32,6.294395
