release_a,release_b,same_bytes,different_bytes,same_pct
JPN,ENG_USA_EUR,5048,60488,7.702637%
JPN,FRA,5043,60493,7.695007%
JPN,DEU,5045,60491,7.698059%
JPN,ITA,5044,60492,7.696533%
JPN,ESP,5048,60488,7.702637%
ENG_USA_EUR,FRA,64613,923,98.591614%
ENG_USA_EUR,DEU,64391,1145,98.252869%
ENG_USA_EUR,ITA,64722,814,98.757935%
ENG_USA_EUR,ESP,64434,1102,98.318481%
FRA,DEU,64421,1115,98.298645%
FRA,ITA,64654,882,98.654175%
FRA,ESP,64630,906,98.617554%
DEU,ITA,64402,1134,98.269653%
DEU,ESP,64413,1123,98.286438%
ITA,ESP,64790,746,98.861694%
