release,word_differences,both_rom_pointer_differences,one_sided_rom_pointer_differences,pointer_delta_decimal,pointer_delta_hex,count
JPN,15853,97,1078,-182128,-0x2C770,4
JPN,15853,97,1078,-152740,-0x254A4,3
JPN,15853,97,1078,2714604,+0x296BEC,3
JPN,15853,97,1078,-194168,-0x2F678,2
JPN,15853,97,1078,-194036,-0x2F5F4,2
JPN,15853,97,1078,-34,-0x22,2
JPN,15853,97,1078,-42,-0x2A,2
JPN,15853,97,1078,-16,-0x10,2
JPN,15853,97,1078,-72,-0x48,2
JPN,15853,97,1078,14,+0xE,2
JPN,15853,97,1078,220,+0xDC,2
JPN,15853,97,1078,-46,-0x2E,2
JPN,15853,97,1078,1102,+0x44E,2
JPN,15853,97,1078,136,+0x88,2
JPN,15853,97,1078,-189100,-0x2E2AC,1
JPN,15853,97,1078,-191160,-0x2EAB8,1
JPN,15853,97,1078,-151352,-0x24F38,1
JPN,15853,97,1078,-1541,-0x605,1
JPN,15853,97,1078,-194839,-0x2F917,1
JPN,15853,97,1078,-195232,-0x2FAA0,1
JPN,15853,97,1078,-158392,-0x26AB8,1
JPN,15853,97,1078,-540,-0x21C,1
JPN,15853,97,1078,-317324,-0x4D78C,1
JPN,15853,97,1078,-1348,-0x544,1
JPN,15853,97,1078,-56,-0x38,1
JPN,15853,97,1078,-104,-0x68,1
JPN,15853,97,1078,-76,-0x4C,1
JPN,15853,97,1078,-36,-0x24,1
JPN,15853,97,1078,-74,-0x4A,1
JPN,15853,97,1078,-672,-0x2A0,1
JPN,15853,97,1078,40,+0x28,1
JPN,15853,97,1078,78,+0x4E,1
JPN,15853,97,1078,150,+0x96,1
JPN,15853,97,1078,-1028,-0x404,1
JPN,15853,97,1078,178,+0xB2,1
JPN,15853,97,1078,262,+0x106,1
JPN,15853,97,1078,242,+0xF2,1
JPN,15853,97,1078,-3031000,-0x2E3FD8,1
JPN,15853,97,1078,-80,-0x50,1
JPN,15853,97,1078,232,+0xE8,1
JPN,15853,97,1078,244,+0xF4,1
JPN,15853,97,1078,42,+0x2A,1
JPN,15853,97,1078,-3030536,-0x2E3E08,1
JPN,15853,97,1078,-150,-0x96,1
JPN,15853,97,1078,48,+0x30,1
JPN,15853,97,1078,-132,-0x84,1
JPN,15853,97,1078,-168,-0xA8,1
JPN,15853,97,1078,84,+0x54,1
JPN,15853,97,1078,76,+0x4C,1
JPN,15853,97,1078,146,+0x92,1
JPN,15853,97,1078,82,+0x52,1
JPN,15853,97,1078,148,+0x94,1
JPN,15853,97,1078,38,+0x26,1
JPN,15853,97,1078,26,+0x1A,1
JPN,15853,97,1078,20,+0x14,1
JPN,15853,97,1078,8,+0x8,1
JPN,15853,97,1078,66,+0x42,1
JPN,15853,97,1078,2712570,+0x2963FA,1
JPN,15853,97,1078,60,+0x3C,1
JPN,15853,97,1078,-26,-0x1A,1
JPN,15853,97,1078,-4,-0x4,1
JPN,15853,97,1078,52,+0x34,1
JPN,15853,97,1078,2714670,+0x296C2E,1
JPN,15853,97,1078,2839283,+0x2B52F3,1
JPN,15853,97,1078,-3022892,-0x2E202C,1
JPN,15853,97,1078,-3020600,-0x2E1738,1
JPN,15853,97,1078,-3021732,-0x2E1BA4,1
JPN,15853,97,1078,-3020498,-0x2E16D2,1
JPN,15853,97,1078,180,+0xB4,1
JPN,15853,97,1078,1114,+0x45A,1
