field,offset,jp_rev0,jp_rev1,us_rev0,us_rev1,fr,de,it,es
version,0x000,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004
language,0x004,0x00000001,0x00000001,0x00000002,0x00000002,0x00000003,0x00000005,0x00000004,0x00000007
game_name,0x008,pokemon red version,pokemon red version,pokemon red version,pokemon red version,pokemon red version,pokemon red version,pokemon red version,pokemon red version
mon_front_pics,0x028,0x081F4690,0x081EFEA8,0x082350AC,0x0823511C,0x0822F4B8,0x08234F7C,0x0822E150,0x08230818
mon_back_pics,0x02C,0x081F5B30,0x081F1348,0x0823654C,0x082365BC,0x08230958,0x0823641C,0x0822F5F0,0x08231CB8
mon_normal_palettes,0x030,0x081F68F0,0x081F2108,0x0823730C,0x0823737C,0x08231718,0x082371DC,0x082303B0,0x08232A78
mon_shiny_palettes,0x034,0x081F76B0,0x081F2EC8,0x082380CC,0x0823813C,0x082324D8,0x08237F9C,0x08231170,0x08233838
mon_icons,0x038,0x0839BCA8,0x08397468,0x083D37A0,0x083D3810,0x083CD5E0,0x083D30B4,0x083CC270,0x083CE958
mon_icon_palette_ids,0x03C,0x0839C388,0x08397B48,0x083D3E80,0x083D3EF0,0x083CDCC0,0x083D3794,0x083CC950,0x083CF038
mon_icon_palettes,0x040,0x0839C540,0x08397D00,0x083D4038,0x083D40A8,0x083CDE78,0x083D394C,0x083CCB08,0x083CF1F0
mon_species_names,0x044,0x08203CB8,0x081FF4D0,0x08245EE0,0x08245F50,0x082402EC,0x08245DB0,0x0823EF84,0x0824164C
move_names,0x048,0x08204660,0x081FFE78,0x08247094,0x08247104,0x082414A0,0x08246F64,0x08240138,0x08242800
decorations,0x04C,0x08415D74,0x084116A4,0x084556F8,0x08455758,0x0844EDA4,0x08456764,0x0844C840,0x0844FE70
flags_offset,0x050,0x00000EE0,0x00000EE0,0x00000EE0,0x00000EE0,0x00000EE0,0x00000EE0,0x00000EE0,0x00000EE0
vars_offset,0x054,0x00001000,0x00001000,0x00001000,0x00001000,0x00001000,0x00001000,0x00001000,0x00001000
pokedex_offset,0x058,0x00000018,0x00000018,0x00000018,0x00000018,0x00000018,0x00000018,0x00000018,0x00000018
seen1_offset,0x05C,0x000005F8,0x000005F8,0x000005F8,0x000005F8,0x000005F8,0x000005F8,0x000005F8,0x000005F8
seen2_offset,0x060,0x00003A18,0x00003A18,0x00003A18,0x00003A18,0x00003A18,0x00003A18,0x00003A18,0x00003A18
pokedex_var,0x064,0x0000003C,0x0000003C,0x0000003C,0x0000003C,0x0000003C,0x0000003C,0x0000003C,0x0000003C
pokedex_flag,0x068,0x00000838,0x00000838,0x00000838,0x00000838,0x00000838,0x00000838,0x00000838,0x00000838
mystery_gift_flag,0x06C,0x00000839,0x00000839,0x00000839,0x00000839,0x00000839,0x00000839,0x00000839,0x00000839
pokedex_count,0x070,0x00000182,0x00000182,0x00000182,0x00000182,0x00000182,0x00000182,0x00000182,0x00000182
player_name_length,0x074,7,7,7,7,7,7,7,7
field_075,0x075,5,5,10,10,10,10,10,10
pokemon_name_length_1,0x076,10,10,10,10,10,10,10,10
pokemon_name_length_2,0x077,5,5,10,10,10,10,10,10
field_078,0x078,7,7,12,12,12,12,12,12
field_079,0x079,8,8,12,12,12,12,12,12
field_07A,0x07A,6,6,6,6,6,6,6,6
field_07B,0x07B,7,7,12,12,12,12,12,12
field_07C,0x07C,4,4,6,6,6,6,6,6
field_07D,0x07D,10,10,16,16,16,16,16,16
field_07E,0x07E,18,18,18,18,18,18,18,18
field_07F,0x07F,10,10,12,12,12,12,12,12
field_080,0x080,10,10,15,15,15,15,15,15
field_081,0x081,5,5,11,11,11,11,11,11
field_082,0x082,1,1,1,1,1,1,1,1
field_083,0x083,3,3,8,8,8,8,8,8
field_084,0x084,7,7,12,12,12,12,12,12
save_block_2_size,0x088,0x00000F24,0x00000F24,0x00000F24,0x00000F24,0x00000F24,0x00000F24,0x00000F24,0x00000F24
save_block_1_size,0x08C,0x00003D40,0x00003D40,0x00003D68,0x00003D68,0x00003D68,0x00003D68,0x00003D68,0x00003D68
party_count_offset,0x090,0x00000034,0x00000034,0x00000034,0x00000034,0x00000034,0x00000034,0x00000034,0x00000034
party_offset,0x094,0x00000038,0x00000038,0x00000038,0x00000038,0x00000038,0x00000038,0x00000038,0x00000038
warp_flags_offset,0x098,0x00000009,0x00000009,0x00000009,0x00000009,0x00000009,0x00000009,0x00000009,0x00000009
trainer_id_offset,0x09C,0x0000000A,0x0000000A,0x0000000A,0x0000000A,0x0000000A,0x0000000A,0x0000000A,0x0000000A
player_name_offset,0x0A0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
player_gender_offset,0x0A4,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008
field_0A8,0x0A8,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD
field_0AC,0x0AC,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD,0x000000AD
external_event_flags_offset,0x0B0,0x000030BB,0x000030BB,0x000030BB,0x000030BB,0x000030BB,0x000030BB,0x000030BB,0x000030BB
external_event_data_offset,0x0B4,0x000030A7,0x000030A7,0x000030A7,0x000030A7,0x000030A7,0x000030A7,0x000030A7,0x000030A7
field_0B8,0x0B8,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
species_info,0x0BC,0x0821118C,0x0820C9A4,0x08254784,0x082547F4,0x0824EBD4,0x082546A8,0x0824D864,0x0824FF4C
ability_names,0x0C0,0x0820C274,0x08207A8C,0x0824FC40,0x0824FCB0,0x0824A090,0x0824FB64,0x08248D20,0x0824B408
ability_descriptions,0x0C4,0x0820C4E4,0x08207CFC,0x0824FB08,0x0824FB78,0x08249F58,0x0824FA2C,0x08248BE8,0x0824B2D0
items,0x0C8,0x083A06F8,0x0839BEB8,0x083DB028,0x083DB098,0x083D3324,0x083DA518,0x083D1EE8,0x083D4F50
moves,0x0CC,0x0820D60C,0x08208E24,0x08250C04,0x08250C74,0x0824B054,0x08250B28,0x08249CE4,0x0824C3CC
ball_gfx,0x0D0,0x0821CFE8,0x08218800,0x0826056C,0x082605DC,0x0825A9BC,0x08260490,0x0825964C,0x0825BD34
ball_palettes,0x0D4,0x0821D048,0x08218860,0x082605CC,0x0826063C,0x0825AA1C,0x082604F0,0x082596AC,0x0825BD94
gcn_link_flags_offset,0x0D8,0x000000A8,0x000000A8,0x000000A8,0x000000A8,0x000000A8,0x000000A8,0x000000A8,0x000000A8
game_clear_flag,0x0DC,0x0000082C,0x0000082C,0x0000082C,0x0000082C,0x0000082C,0x0000082C,0x0000082C,0x0000082C
ribbon_flag,0x0E0,0x0000083B,0x0000083B,0x0000083B,0x0000083B,0x0000083B,0x0000083B,0x0000083B,0x0000083B
bag_count_items,0x0E4,42,42,42,42,42,42,42,42
bag_count_key_items,0x0E5,30,30,30,30,30,30,30,30
bag_count_pokeballs,0x0E6,13,13,13,13,13,13,13,13
bag_count_tmhms,0x0E7,58,58,58,58,58,58,58,58
bag_count_berries,0x0E8,43,43,43,43,43,43,43,43
pc_items_count,0x0E9,30,30,30,30,30,30,30,30
pc_items_offset,0x0EC,0x00000298,0x00000298,0x00000298,0x00000298,0x00000298,0x00000298,0x00000298,0x00000298
