function,jp_rev0,jp_rev1,us_rev0,us_rev1,fr,de,it,es
InitGpuRegManager,0x08000968,0x08000964,0x08000968,0x0800097C,0x08000964,0x08000978,0x08000978,0x08000964
CopyBufferedValueToGpuReg,0x080009C0,0x080009BC,0x080009C0,0x080009D4,0x080009BC,0x080009D0,0x080009D0,0x080009BC
CopyBufferedValuesToGpuRegs,0x08000A04,0x08000A00,0x08000A04,0x08000A18,0x08000A00,0x08000A14,0x08000A14,0x08000A00
SetGpuReg,0x08000A38,0x08000A34,0x08000A38,0x08000A4C,0x08000A34,0x08000A48,0x08000A48,0x08000A34
GetGpuReg,0x08000AC4,0x08000AC0,0x08000AC4,0x08000AD8,0x08000AC0,0x08000AD4,0x08000AD4,0x08000AC0
SetGpuRegBits,0x08000AF4,0x08000AF0,0x08000AF4,0x08000B08,0x08000AF0,0x08000B04,0x08000B04,0x08000AF0
ClearGpuRegBits,0x08000B14,0x08000B10,0x08000B14,0x08000B28,0x08000B10,0x08000B24,0x08000B24,0x08000B10
SyncRegIE,0x08000B34,0x08000B30,0x08000B34,0x08000B48,0x08000B30,0x08000B44,0x08000B44,0x08000B30
EnableInterrupts,0x08000B68,0x08000B64,0x08000B68,0x08000B7C,0x08000B64,0x08000B78,0x08000B78,0x08000B64
DisableInterrupts,0x08000B94,0x08000B90,0x08000B94,0x08000BA8,0x08000B90,0x08000BA4,0x08000BA4,0x08000B90
UpdateRegDispstatIntrBits,0x08000BC0,0x08000BBC,0x08000BC0,0x08000BD4,0x08000BBC,0x08000BD0,0x08000BD0,0x08000BBC
__next_object_dma3_manager,0x08000BFC,0x08000BF8,0x08000BFC,0x08000C10,0x08000BF8,0x08000C0C,0x08000C0C,0x08000BF8
