function,jp_rev0,jp_rev1,us_rev0,us_rev1,fr,de,it,es
UpdateLinkAndCallCallbacks,0x080004B0,0x080004AC,0x080004B0,0x080004C4,0x080004AC,0x080004C0,0x080004C0,0x080004AC
InitMainCallbacks,0x080004C4,0x080004C0,0x080004C4,0x080004D8,0x080004C0,0x080004D4,0x080004D4,0x080004C0
CallCallbacks,0x08000510,0x0800050C,0x08000510,0x08000524,0x0800050C,0x08000520,0x08000520,0x0800050C
SetMainCallback2,0x08000540,0x0800053C,0x08000540,0x08000554,0x0800053C,0x08000550,0x08000550,0x0800053C
StartTimer1,0x08000554,0x08000550,0x08000554,0x08000568,0x08000550,0x08000564,0x08000564,0x08000550
SeedRngAndSetTrainerId,0x08000564,0x08000560,0x08000564,0x08000578,0x08000560,0x08000574,0x08000574,0x08000560
GetGeneratedTrainerIdLower,0x0800058C,0x08000588,0x0800058C,0x080005A0,0x08000588,0x0800059C,0x0800059C,0x08000588
EnableVCountIntrAtLine150,0x08000598,0x08000594,0x08000598,0x080005AC,0x08000594,0x080005A8,0x080005A8,0x08000594
InitKeys,0x080005C0,0x080005BC,0x080005C0,0x080005D4,0x080005BC,0x080005D0,0x080005D0,0x080005BC
ReadKeys,0x080005E8,0x080005E4,0x080005E8,0x080005FC,0x080005E4,0x080005F8,0x080005F8,0x080005E4
InitIntrHandlers,0x08000688,0x08000684,0x08000688,0x0800069C,0x08000684,0x08000698,0x08000698,0x08000684
SetVBlankCallback,0x080006F4,0x080006F0,0x080006F4,0x08000708,0x080006F0,0x08000704,0x08000704,0x080006F0
SetHBlankCallback,0x08000700,0x080006FC,0x08000700,0x08000714,0x080006FC,0x08000710,0x08000710,0x080006FC
SetVCountCallback,0x0800070C,0x08000708,0x0800070C,0x08000720,0x08000708,0x0800071C,0x0800071C,0x08000708
SetSerialCallback,0x08000718,0x08000714,0x08000718,0x0800072C,0x08000714,0x08000728,0x08000728,0x08000714
VBlankIntr,0x08000724,0x08000720,0x08000724,0x08000738,0x08000720,0x08000734,0x08000734,0x08000720
InitFlashTimer,0x080007C8,0x080007C4,0x080007C8,0x080007DC,0x080007C4,0x080007D8,0x080007D8,0x080007C4
HBlankIntr,0x080007DC,0x080007D8,0x080007DC,0x080007F0,0x080007D8,0x080007EC,0x080007EC,0x080007D8
VCountIntr,0x0800080C,0x08000808,0x0800080C,0x08000820,0x08000808,0x0800081C,0x0800081C,0x08000808
SerialIntr,0x08000844,0x08000840,0x08000844,0x08000858,0x08000840,0x08000854,0x08000854,0x08000840
RestoreSerialTimer3IntrHandlers,0x08000874,0x08000870,0x08000874,0x08000888,0x08000870,0x08000884,0x08000884,0x08000870
IntrDummy,0x0800088C,0x08000888,0x0800088C,0x080008A0,0x08000888,0x0800089C,0x0800089C,0x08000888
WaitForVBlank,0x08000890,0x0800088C,0x08000890,0x080008A4,0x0800088C,0x080008A0,0x080008A0,0x0800088C
SetVBlankCounter1Ptr,0x080008C0,0x080008BC,0x080008C0,0x080008D4,0x080008BC,0x080008D0,0x080008D0,0x080008BC
DisableVBlankCounter1,0x080008CC,0x080008C8,0x080008CC,0x080008E0,0x080008C8,0x080008DC,0x080008DC,0x080008C8
DoSoftReset,0x080008D8,0x080008D4,0x080008D8,0x080008EC,0x080008D4,0x080008E8,0x080008E8,0x080008D4
ClearPokemonCrySongs,0x08000944,0x08000940,0x08000944,0x08000958,0x08000940,0x08000954,0x08000954,0x08000940
__next_object_gpu_regs,0x08000968,0x08000964,0x08000968,0x0800097C,0x08000964,0x08000978,0x08000978,0x08000964
