baseline_a,baseline_b,same_blocks,total_blocks,same_bytes_aligned,same_percent
jp_rev0,jp_rev1,2199,4096,9007104,53.6865
jp_rev0,us_rev0,1364,4096,5586944,33.3008
jp_rev0,us_rev1,1364,4096,5586944,33.3008
jp_rev0,fr,1372,4096,5619712,33.4961
jp_rev0,de,1364,4096,5586944,33.3008
jp_rev0,it,1375,4096,5632000,33.5693
jp_rev0,es,1373,4096,5623808,33.5205
jp_rev1,us_rev0,1524,4096,6242304,37.2070
jp_rev1,us_rev1,1524,4096,6242304,37.2070
jp_rev1,fr,1532,4096,6275072,37.4023
jp_rev1,de,1524,4096,6242304,37.2070
jp_rev1,it,1535,4096,6287360,37.4756
jp_rev1,es,1532,4096,6275072,37.4023
us_rev0,us_rev1,2298,4096,9412608,56.1035
us_rev0,fr,2228,4096,9125888,54.3945
us_rev0,de,1891,4096,7745536,46.1670
us_rev0,it,1878,4096,7692288,45.8496
us_rev0,es,2227,4096,9121792,54.3701
us_rev1,fr,2228,4096,9125888,54.3945
us_rev1,de,1891,4096,7745536,46.1670
us_rev1,it,1878,4096,7692288,45.8496
us_rev1,es,2227,4096,9121792,54.3701
fr,de,1875,4096,7680000,45.7764
fr,it,1889,4096,7737344,46.1182
fr,es,2243,4096,9187328,54.7607
de,it,1883,4096,7712768,45.9717
de,es,1876,4096,7684096,45.8008
it,es,1882,4096,7708672,45.9473
