start,end_exclusive,size,jp_rev0,jp_rev1,us_rev0,us_rev1,fr,de,it,es,group_count
0x000000,0x1ED000,2019328,0,1,2,3,4,5,6,7,8
0x1ED000,0x1EE000,4096,0,1,2,3,4,5,6,0,7
0x1EE000,0x1F2000,16384,0,1,2,3,4,5,6,7,8
0x1F2000,0x1F3000,4096,0,1,2,3,4,5,4,6,7
0x1F3000,0x1F4000,4096,0,1,2,3,4,5,6,4,7
0x1F4000,0x1F8000,16384,0,1,2,3,4,5,6,7,8
0x1F8000,0x1F9000,4096,0,1,2,2,2,2,3,4,5
0x1F9000,0x1FA000,4096,0,1,2,2,3,2,4,2,5
0x1FA000,0x1FE000,16384,0,1,2,3,4,5,6,7,8
0x1FE000,0x1FF000,4096,0,1,2,2,2,2,2,3,4
0x1FF000,0x204000,20480,0,1,2,3,4,5,6,7,8
0x204000,0x205000,4096,0,1,2,2,3,2,4,5,6
0x205000,0x206000,4096,0,1,2,2,3,2,2,4,5
0x206000,0x208000,8192,0,1,2,3,4,5,4,6,7
0x208000,0x209000,4096,0,1,2,3,4,5,6,4,7
0x209000,0x20C000,12288,0,1,2,3,4,5,6,7,8
0x20C000,0x20D000,4096,0,1,2,2,3,2,4,5,6
0x20D000,0x20F000,8192,0,1,2,2,3,2,2,4,5
0x20F000,0x214000,20480,0,1,2,3,4,5,6,7,8
0x214000,0x215000,4096,0,1,2,2,3,2,4,5,6
0x215000,0x216000,4096,0,1,2,2,3,2,2,4,5
0x216000,0x217000,4096,0,1,2,3,4,5,6,7,8
0x217000,0x218000,4096,0,1,2,3,4,5,4,6,7
0x218000,0x219000,4096,0,1,2,3,4,5,6,4,7
0x219000,0x21C000,12288,0,1,2,3,4,5,6,7,8
0x21C000,0x21D000,4096,0,1,2,2,3,2,4,5,6
0x21D000,0x21F000,8192,0,1,2,2,3,2,2,4,5
0x21F000,0x220000,4096,0,1,2,3,4,5,6,7,8
0x220000,0x221000,4096,0,1,2,3,4,5,6,4,7
0x221000,0x224000,12288,0,1,2,3,4,5,6,7,8
0x224000,0x226000,8192,0,1,2,2,3,2,4,5,6
0x226000,0x227000,4096,0,1,2,3,4,5,6,7,8
0x227000,0x228000,4096,0,1,2,3,4,5,4,6,7
0x228000,0x229000,4096,0,1,2,3,4,5,6,4,7
0x229000,0x22D000,16384,0,1,2,3,4,5,6,7,8
0x22D000,0x22F000,8192,0,1,2,2,3,2,4,5,6
0x22F000,0x27E000,323584,0,1,2,3,4,5,6,7,8
0x27E000,0x27F000,4096,0,1,2,2,3,4,5,6,7
0x27F000,0x350000,856064,0,1,2,3,4,5,6,7,8
0x350000,0x351000,4096,0,1,2,3,4,5,4,6,7
0x351000,0x352000,4096,0,1,2,3,4,5,4,4,6
0x352000,0x353000,4096,0,1,2,3,4,5,6,4,7
0x353000,0x356000,12288,0,1,2,3,4,5,6,7,8
0x356000,0x359000,12288,0,1,2,2,3,2,4,5,6
0x359000,0x6C8000,3600384,0,1,2,3,4,5,6,7,8
0x6C8000,0x70E000,286720,0,0,1,2,3,4,5,6,7
0x70E000,0x711000,12288,0,0,1,2,3,4,0,5,6
0x711000,0x719000,32768,0,0,1,2,0,3,0,0,4
0x719000,0x71B000,8192,0,0,1,2,0,0,0,0,3
0x71B000,0xC00000,5132288,0,0,0,0,0,0,0,0,1
0xC00000,0xD11000,1118208,0,0,1,1,1,1,1,1,2
0xD11000,0xD13000,8192,0,0,1,1,2,3,4,5,6
0xD13000,0xD1F000,49152,0,0,1,1,1,1,1,1,2
0xD1F000,0xE82000,1454080,0,0,1,1,1,2,3,1,4
0xE82000,0xE84000,8192,0,0,1,1,2,3,4,5,6
0xE84000,0xE86000,8192,0,0,1,1,2,3,4,3,5
0xE86000,0xEA5000,126976,0,0,1,1,2,3,4,5,6
0xEA5000,0xEA8000,12288,0,0,1,1,2,3,3,4,5
0xEA8000,0xEB1000,36864,0,0,1,1,2,3,4,5,6
0xEB1000,0xEB3000,8192,0,0,0,0,1,2,3,4,5
0xEB3000,0xF00000,315392,0,0,0,0,0,0,0,0,1
0xF00000,0xF3F000,258048,0,0,1,1,1,1,1,1,2
0xF3F000,0xF40000,4096,0,1,2,2,2,2,2,2,3
0xF40000,0xFE0000,655360,0,1,1,1,1,1,1,1,2
0xFE0000,0x1000000,131072,0,0,0,0,0,0,0,0,1
