function,size,japan,usa,europe_rev1,germany,france,italy,spain
InitGpuRegManager,88,0x000968,0x000968,0x00097C,0x000978,0x000964,0x000978,0x000964
CopyBufferedValueToGpuReg,68,0x0009C0,0x0009C0,0x0009D4,0x0009D0,0x0009BC,0x0009D0,0x0009BC
CopyBufferedValuesToGpuRegs,52,0x000A04,0x000A04,0x000A18,0x000A14,0x000A00,0x000A14,0x000A00
SetGpuReg,140,0x000A38,0x000A38,0x000A4C,0x000A48,0x000A34,0x000A48,0x000A34
GetGpuReg,48,0x000AC4,0x000AC4,0x000AD8,0x000AD4,0x000AC0,0x000AD4,0x000AC0
SetGpuRegBits,32,0x000AF4,0x000AF4,0x000B08,0x000B04,0x000AF0,0x000B04,0x000AF0
ClearGpuRegBits,32,0x000B14,0x000B14,0x000B28,0x000B24,0x000B10,0x000B24,0x000B10
SyncRegIE,52,0x000B34,0x000B34,0x000B48,0x000B44,0x000B30,0x000B44,0x000B30
EnableInterrupts,44,0x000B68,0x000B68,0x000B7C,0x000B78,0x000B64,0x000B78,0x000B64
DisableInterrupts,44,0x000B94,0x000B94,0x000BA8,0x000BA4,0x000B90,0x000BA4,0x000B90
UpdateRegDispstatIntrBits,60,0x000BC0,0x000BC0,0x000BD4,0x000BD0,0x000BBC,0x000BD0,0x000BBC
