function,size,japan,usa,europe_rev1,germany,france,italy,spain
AgbMain,,0x0003A4,0x0003A4,0x0003A4,0x0003A4,0x0003A4,0x0003A4,0x0003A4
UpdateLinkAndCallCallbacks,20,0x0004B0,0x0004B0,0x0004C4,0x0004C0,0x0004AC,0x0004C0,0x0004AC
InitMainCallbacks,76,0x0004C4,0x0004C4,0x0004D8,0x0004D4,0x0004C0,0x0004D4,0x0004C0
CallCallbacks,52,0x000510,0x000510,0x000524,0x000520,0x00050C,0x000520,0x00050C
SetMainCallback2,20,0x000544,0x000544,0x000558,0x000554,0x000540,0x000554,0x000540
StartTimer1,12,0x000558,0x000558,0x00056C,0x000568,0x000554,0x000568,0x000554
SeedRngAndSetTrainerId,40,0x000564,0x000564,0x000578,0x000574,0x000560,0x000574,0x000560
GetGeneratedTrainerIdLower,12,0x00058C,0x00058C,0x0005A0,0x00059C,0x000588,0x00059C,0x000588
EnableVCountIntrAtLine150,40,0x000598,0x000598,0x0005AC,0x0005A8,0x000594,0x0005A8,0x000594
InitKeys,40,0x0005C0,0x0005C0,0x0005D4,0x0005D0,0x0005BC,0x0005D0,0x0005BC
ReadKeys,160,0x0005E8,0x0005E8,0x0005FC,0x0005F8,0x0005E4,0x0005F8,0x0005E4
InitIntrHandlers,108,0x000688,0x000688,0x00069C,0x000698,0x000684,0x000698,0x000684
SetVBlankCallback,12,0x0006F4,0x0006F4,0x000708,0x000704,0x0006F0,0x000704,0x0006F0
SetHBlankCallback,12,0x000700,0x000700,0x000714,0x000710,0x0006FC,0x000710,0x0006FC
SetVCountCallback,12,0x00070C,0x00070C,0x000720,0x00071C,0x000708,0x00071C,0x000708
SetSerialCallback,12,0x000718,0x000718,0x00072C,0x000728,0x000714,0x000728,0x000714
VBlankIntr,164,0x000724,0x000724,0x000738,0x000734,0x000720,0x000734,0x000720
InitFlashTimer,20,0x0007C8,0x0007C8,0x0007DC,0x0007D8,0x0007C4,0x0007D8,0x0007C4
HBlankIntr,48,0x0007DC,0x0007DC,0x0007F0,0x0007EC,0x0007D8,0x0007EC,0x0007D8
VCountIntr,56,0x00080C,0x00080C,0x000820,0x00081C,0x000808,0x00081C,0x000808
SerialIntr,48,0x000844,0x000844,0x000858,0x000854,0x000840,0x000854,0x000840
RestoreSerialTimer3IntrHandlers,24,0x000874,0x000874,0x000888,0x000884,0x000870,0x000884,0x000870
IntrDummy,4,0x00088C,0x00088C,0x0008A0,0x00089C,0x000888,0x00089C,0x000888
WaitForVBlank,48,0x000890,0x000890,0x0008A4,0x0008A0,0x00088C,0x0008A0,0x00088C
SetVBlankCounter1Ptr,12,0x0008C0,0x0008C0,0x0008D4,0x0008D0,0x0008BC,0x0008D0,0x0008BC
DisableVBlankCounter1,12,0x0008CC,0x0008CC,0x0008E0,0x0008DC,0x0008C8,0x0008DC,0x0008C8
DoSoftReset,108,0x0008D8,0x0008D8,0x0008EC,0x0008E8,0x0008D4,0x0008E8,0x0008D4
ClearPokemonCrySongs,36,0x000944,0x000944,0x000958,0x000954,0x000940,0x000954,0x000940
