symbol,relative,japan,usa,europe_rev1,germany,france,italy,spain
ResetBgs,0x0000,0x08001028,0x08001028,0x0800103C,0x08001038,0x08001024,0x08001038,0x08001024
SetBgModeInternal,0x0018,0x08001040,0x08001040,0x08001054,0x08001050,0x0800103C,0x08001050,0x0800103C
GetBgMode,0x0034,0x0800105C,0x0800105C,0x08001070,0x0800106C,0x08001058,0x0800106C,0x08001058
ResetBgControlStructs,0x0044,0x0800106C,0x0800106C,0x08001080,0x0800107C,0x08001068,0x0800107C,0x08001068
Unused_ResetBgControlStruct,0x0064,0x0800108C,0x0800108C,0x080010A0,0x0800109C,0x08001088,0x0800109C,0x08001088
SetBgControlAttributes,0x0090,0x080010B8,0x080010B8,0x080010CC,0x080010C8,0x080010B4,0x080010C8,0x080010B4
GetBgControlAttribute,0x01BC,0x080011E4,0x080011E4,0x080011F8,0x080011F4,0x080011E0,0x080011F4,0x080011E0
LoadBgVram,0x0270,0x08001298,0x08001298,0x080012AC,0x080012A8,0x08001294,0x080012A8,0x08001294
ShowBgInternal,0x02F8,0x08001320,0x08001320,0x08001334,0x08001330,0x0800131C,0x08001330,0x0800131C
HideBgInternal,0x0374,0x0800139C,0x0800139C,0x080013B0,0x080013AC,0x08001398,0x080013AC,0x08001398
SyncBgVisibilityAndMode,0x03A8,0x080013D0,0x080013D0,0x080013E4,0x080013E0,0x080013CC,0x080013E0,0x080013CC
SetTextModeAndHideBgs,0x03CC,0x080013F4,0x080013F4,0x08001408,0x08001404,0x080013F0,0x08001404,0x080013F0
SetBgAffineInternal,0x03E8,0x08001410,0x08001410,0x08001424,0x08001420,0x0800140C,0x08001420,0x0800140C
IsInvalidBg,0x04B4,0x080014DC,0x080014DC,0x080014F0,0x080014EC,0x080014D8,0x080014EC,0x080014D8
BgTileAllocOp,0x04C8,0x080014F0,0x080014F0,0x08001504,0x08001500,0x080014EC,0x08001500,0x080014EC
ResetBgsAndClearDma3BusyFlags,0x05F0,0x08001618,0x08001618,0x0800162C,0x08001628,0x08001614,0x08001628,0x08001614
InitBgsFromTemplates,0x0630,0x08001658,0x08001658,0x0800166C,0x08001668,0x08001654,0x08001668,0x08001654
InitBgFromTemplate,0x0710,0x08001738,0x08001738,0x0800174C,0x08001748,0x08001734,0x08001748,0x08001734
LoadBgTiles,0x07A8,0x080017D0,0x080017D0,0x080017E4,0x080017E0,0x080017CC,0x080017E0,0x080017CC
LoadBgTilemap,0x0860,0x08001888,0x08001888,0x0800189C,0x08001898,0x08001884,0x08001898,0x08001884
Unused_LoadBgPalette,0x08B0,0x080018D8,0x080018D8,0x080018EC,0x080018E8,0x080018D4,0x080018E8,0x080018D4
