release_id,candidate_count,min_declared_size,max_declared_size,total_declared_bytes
AXVD-HV0,4457,32,260355,150855192
AXVD-HV0-DEBUG,4457,32,260355,150855192
AXVD-HV1,4457,32,260355,150855192
AXVE-HV0,4415,32,258292,149029208
AXVE-HV1,4415,32,258292,149029208
AXVE-HV2,4415,32,258292,149029208
AXVF-HV0,4439,32,260355,150301599
AXVF-HV1,4439,32,260355,150301599
AXVI-HV0,4437,32,260867,151175098
AXVI-HV1,4437,32,260867,151175098
AXVJ-HV0,4266,32,258292,143362525
AXVS-HV0,4442,32,260355,150865185
AXVS-HV1,4442,32,260355,150865185
