symbol,japan_rev0,english_rev0,english_rev1,english_rev2,germany_rev0,germany_rev1,germany_debug_rev0
ResetSpriteData,05e5302da92084eb0df833445200b7f701376e66,5c9a7848a793f00851f6eb6849e90267415466ec,5c9a7848a793f00851f6eb6849e90267415466ec,5c9a7848a793f00851f6eb6849e90267415466ec,5c9a7848a793f00851f6eb6849e90267415466ec,5c9a7848a793f00851f6eb6849e90267415466ec,e21a20fc685a33b8a3f8b47acde927edd623d8d4
AnimateSprites,b19af4b04745ab75c1ba0603fada29936843c445,f2386413b7430e988a5e29a153fdbc2e21df2032,e0b574a3d4d72b563c79ec77d07428d07d2b9ddf,e0b574a3d4d72b563c79ec77d07428d07d2b9ddf,d1f1b920f9766196a8b177d11217e9201eb54495,d1f1b920f9766196a8b177d11217e9201eb54495,d5604a00e31a8a21b4856622390747e0eb067d43
BuildOamBuffer,9220a70e87e7be0e683e536da136e22b38d27437,3bf694b6334f1c70793ae858d710ba66e1eb430d,3bf694b6334f1c70793ae858d710ba66e1eb430d,3bf694b6334f1c70793ae858d710ba66e1eb430d,3bf694b6334f1c70793ae858d710ba66e1eb430d,3bf694b6334f1c70793ae858d710ba66e1eb430d,dffa8a504ffaae451a812fdd32ee65a2e09af412
UpdateOamCoords,325a1a8af1c668dadb15d21096e05a4586f91459,5a344438054437623c36d15cabd68b5ac707b64b,5a344438054437623c36d15cabd68b5ac707b64b,5a344438054437623c36d15cabd68b5ac707b64b,5a344438054437623c36d15cabd68b5ac707b64b,5a344438054437623c36d15cabd68b5ac707b64b,a0df0f2e22a1e4ce53ef7c9e978b67af69dc6a86
BuildSpritePriorities,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86,7c1a905bc52c33bd2dbcd91a2587c42f6f003b86
SortSprites,afce45a7841a033f3508ad3b88ae289cd1fa7b39,d9a430082498f4ec1eb94ca1fbfcecfdd8445f95,d9a430082498f4ec1eb94ca1fbfcecfdd8445f95,d9a430082498f4ec1eb94ca1fbfcecfdd8445f95,d9a430082498f4ec1eb94ca1fbfcecfdd8445f95,d9a430082498f4ec1eb94ca1fbfcecfdd8445f95,88732a0183e6f5e163971a5ae42408d68aade989
CopyMatricesToOamBuffer,038a133b1832069ee8caf937189f8f2ff3552413,24bb9c5a734de784e81a7747af84aab83accdd1e,24bb9c5a734de784e81a7747af84aab83accdd1e,24bb9c5a734de784e81a7747af84aab83accdd1e,24bb9c5a734de784e81a7747af84aab83accdd1e,24bb9c5a734de784e81a7747af84aab83accdd1e,aea1f6b0bdafff329d62aeb1b722b3977baf6421
AddSpritesToOamBuffer,1cf8f4d3b615c9ec280339314a6a10cfc0b277db,089ccb609dd8bf0728fffff06bc5e0fec439388f,c61d43d6f956dc976b73d910e55e640981b4e83c,c61d43d6f956dc976b73d910e55e640981b4e83c,1b0084b15a583dfa0255748bf048323d4c262234,1b0084b15a583dfa0255748bf048323d4c262234,cb9ee47ea945f148e0ba0f2829fd32d6f12f6738
CreateSprite,4e8c23062ad333e562515b93916203c08054892e,4e8c23062ad333e562515b93916203c08054892e,4e8c23062ad333e562515b93916203c08054892e,4e8c23062ad333e562515b93916203c08054892e,4e8c23062ad333e562515b93916203c08054892e,4e8c23062ad333e562515b93916203c08054892e,4e8c23062ad333e562515b93916203c08054892e
CreateSpriteAtEnd,6b2588a8a6a3006ffca0661fcfe40e5969052ed2,6b2588a8a6a3006ffca0661fcfe40e5969052ed2,6b2588a8a6a3006ffca0661fcfe40e5969052ed2,6b2588a8a6a3006ffca0661fcfe40e5969052ed2,6b2588a8a6a3006ffca0661fcfe40e5969052ed2,6b2588a8a6a3006ffca0661fcfe40e5969052ed2,6b2588a8a6a3006ffca0661fcfe40e5969052ed2
CreateInvisibleSprite,338b84abbe159ce3991f171f017b2a7d8ef77323,608c050ad12e194c6353e037c38f913ca37e7df1,ca6cb0218e22a075664552e2cc46849d828d8925,ca6cb0218e22a075664552e2cc46849d828d8925,5a20d9d0a2d8e5422ebd85706cc7002fae865e16,5a20d9d0a2d8e5422ebd85706cc7002fae865e16,e1a2a93d7e6e8ca19268888caab9529dafeb7b33
CreateSpriteAt,1849b98454d7041b16a341f3669d727ab6694151,adb1df4269dce1b9d6adf99754628a2c6857b91d,adb1df4269dce1b9d6adf99754628a2c6857b91d,adb1df4269dce1b9d6adf99754628a2c6857b91d,adb1df4269dce1b9d6adf99754628a2c6857b91d,adb1df4269dce1b9d6adf99754628a2c6857b91d,64c9f6d736dd2718e52e0a533905896d31f6e840
