target,part2_base_offset,mapped_end_offset,mapped_size,mapped_sha1
japan_rev0,0x15F0,0x2144,2900,6f968d34ec3381eab3a0c6bfc4b448111ef5fcc2
english_rev0,0x16D4,0x2228,2900,60043948dee2e897522325fe48cd0ef8cf8bb691
english_rev1,0x16D4,0x2228,2900,89026f42648d79ce5fcf1821cef7040cd9fc9db8
english_rev2,0x16D4,0x2228,2900,89026f42648d79ce5fcf1821cef7040cd9fc9db8
germany_rev0,0x1808,0x235C,2900,2af90c823640dfda1fc7c4f25d9febb872624f74
germany_rev1,0x1808,0x235C,2900,2af90c823640dfda1fc7c4f25d9febb872624f74
germany_debug_rev0,0x1820,0x2374,2900,7a5f5b08db2925ac0c675bb18f78784dd3bbb5d6
france_rev0,0x1808,0x235C,2900,c95c1d7bec07b0dcc7775c3ebe17e67dce5d24bb
france_rev1,0x1808,0x235C,2900,c95c1d7bec07b0dcc7775c3ebe17e67dce5d24bb
italy_rev0,0x1808,0x235C,2900,12f5f88bf2776f950ad755a23dbf37ce69d9935d
italy_rev1,0x1808,0x235C,2900,12f5f88bf2776f950ad755a23dbf37ce69d9935d
spain_rev0,0x1808,0x235C,2900,df6e199fabcf560d9ee49c10370c9c6f01836c71
spain_rev1,0x1808,0x235C,2900,df6e199fabcf560d9ee49c10370c9c6f01836c71
