layout,symbol,relative_offset,size
japanese,SetOamMatrixRotationScaling,0x0,128
japanese,LoadSpriteSheet,0x80,68
japanese,LoadSpriteSheets,0xC4,44
japanese,FreeSpriteTilesByTag,0xF0,120
japanese,FreeSpriteTileRanges,0x168,64
japanese,GetSpriteTileStartByTag,0x1A8,44
japanese,IndexOfSpriteTileTag,0x1D4,44
japanese,GetSpriteTileTagByTileStart,0x200,76
japanese,AllocSpriteTileRange,0x24C,72
japanese,FreeAllSpritePalettes,0x294,56
japanese,LoadSpritePalette,0x2CC,76
japanese,LoadSpritePalettes,0x318,44
japanese,DoLoadSpritePalette,0x344,24
japanese,AllocSpritePalette,0x35C,48
japanese,IndexOfSpritePaletteTag,0x38C,56
japanese,GetSpritePaletteTagByPaletteNum,0x3C4,16
japanese,FreeSpritePaletteByTag,0x3D4,40
international,SetOamMatrixRotationScaling,0x0,128
international,LoadSpriteSheet,0x80,68
international,LoadSpriteSheets,0xC4,44
international,AllocTilesForSpriteSheet,0xF0,44
international,AllocTilesForSpriteSheets,0x11C,44
international,LoadTilesForSpriteSheet,0x148,44
international,LoadTilesForSpriteSheets,0x174,44
international,FreeSpriteTilesByTag,0x1A0,120
international,FreeSpriteTileRanges,0x218,64
international,GetSpriteTileStartByTag,0x258,44
international,IndexOfSpriteTileTag,0x284,44
international,GetSpriteTileTagByTileStart,0x2B0,76
international,AllocSpriteTileRange,0x2FC,72
international,RequestSpriteSheetCopy,0x344,40
international,LoadSpriteSheetDeferred,0x36C,52
international,FreeAllSpritePalettes,0x3A0,56
international,LoadSpritePalette,0x3D8,76
international,LoadSpritePalettes,0x424,44
international,DoLoadSpritePalette,0x450,24
international,AllocSpritePalette,0x468,48
international,IndexOfSpritePaletteTag,0x498,56
international,GetSpritePaletteTagByPaletteNum,0x4D0,16
international,FreeSpritePaletteByTag,0x4E0,40
