target,layout,part3_base_offset,mapped_end_offset,mapped_size,mapped_sha1
japan_rev0,japanese,0x2144,0x2540,1020,d2f16b59011eb5c0d9ae85ac915fe3d300258ae3
english_rev0,international,0x2228,0x2730,1288,c6685ed77574691db70ff71fb52fc11f717997dd
english_rev1,international,0x2228,0x2730,1288,1f37ce805bf5dfdcc4f011e8c646f5ad0c670651
english_rev2,international,0x2228,0x2730,1288,1f37ce805bf5dfdcc4f011e8c646f5ad0c670651
germany_rev0,international,0x235C,0x2864,1288,a0704328b831838e7bbab49432f72a30ddc7524b
germany_rev1,international,0x235C,0x2864,1288,a0704328b831838e7bbab49432f72a30ddc7524b
germany_debug_rev0,international,0x2374,0x287C,1288,046f018f1815207684b36a4e5130fb38576a7b46
france_rev0,international,0x235C,0x2864,1288,7d2edf17b7051cd4774e12303b4af77140c95716
france_rev1,international,0x235C,0x2864,1288,7d2edf17b7051cd4774e12303b4af77140c95716
italy_rev0,international,0x235C,0x2864,1288,460bd1572fbb7df9b03352f99ffc0d4e62057820
italy_rev1,international,0x235C,0x2864,1288,460bd1572fbb7df9b03352f99ffc0d4e62057820
spain_rev0,international,0x235C,0x2864,1288,63e256c5b75721f1a3bddcc556cfbc0b895ec09e
spain_rev1,international,0x235C,0x2864,1288,63e256c5b75721f1a3bddcc556cfbc0b895ec09e
