target,symbol,address,file_offset
japan_rev0,Start,0x08000000,0x0
japan_rev0,Init,0x080000D0,0xD0
japan_rev0,IntrMain,0x0800010C,0x10C
japan_rev0,AgbMain,0x0800024D,0x24C
spain_rev1,Start,0x08000000,0x0
spain_rev1,Init,0x08000204,0x204
spain_rev1,IntrMain,0x08000240,0x240
spain_rev1,AgbMain,0x08000381,0x380
spain_rev0,Start,0x08000000,0x0
spain_rev0,Init,0x08000204,0x204
spain_rev0,IntrMain,0x08000240,0x240
spain_rev0,AgbMain,0x08000381,0x380
germany_debug_rev0,Start,0x08000000,0x0
germany_debug_rev0,Init,0x08000204,0x204
germany_debug_rev0,IntrMain,0x08000240,0x240
germany_debug_rev0,AgbMain,0x08000381,0x380
germany_rev1,Start,0x08000000,0x0
germany_rev1,Init,0x08000204,0x204
germany_rev1,IntrMain,0x08000240,0x240
germany_rev1,AgbMain,0x08000381,0x380
germany_rev0,Start,0x08000000,0x0
germany_rev0,Init,0x08000204,0x204
germany_rev0,IntrMain,0x08000240,0x240
germany_rev0,AgbMain,0x08000381,0x380
english_rev1,Start,0x08000000,0x0
english_rev1,Init,0x080000D0,0xD0
english_rev1,IntrMain,0x0800010C,0x10C
english_rev1,AgbMain,0x0800024D,0x24C
english_rev0,Start,0x08000000,0x0
english_rev0,Init,0x080000D0,0xD0
english_rev0,IntrMain,0x0800010C,0x10C
english_rev0,AgbMain,0x0800024D,0x24C
english_rev2,Start,0x08000000,0x0
english_rev2,Init,0x080000D0,0xD0
english_rev2,IntrMain,0x0800010C,0x10C
english_rev2,AgbMain,0x0800024D,0x24C
france_rev1,Start,0x08000000,0x0
france_rev1,Init,0x08000204,0x204
france_rev1,IntrMain,0x08000240,0x240
france_rev1,AgbMain,0x08000381,0x380
france_rev0,Start,0x08000000,0x0
france_rev0,Init,0x08000204,0x204
france_rev0,IntrMain,0x08000240,0x240
france_rev0,AgbMain,0x08000381,0x380
italy_rev1,Start,0x08000000,0x0
italy_rev1,Init,0x08000204,0x204
italy_rev1,IntrMain,0x08000240,0x240
italy_rev1,AgbMain,0x08000381,0x380
italy_rev0,Start,0x08000000,0x0
italy_rev0,Init,0x08000204,0x204
italy_rev0,IntrMain,0x08000240,0x240
italy_rev0,AgbMain,0x08000381,0x380
