target_id,family,function,runtime_address,size,sha256
DEU-AXPD-v1,ext,ResetSpriteData,0x0800087C,0x4C,a010a4104913a296eefd8fb51a144078a1a77be3d7608eaf309f36c714ad53cd
DEU-AXPD-v1,ext,AnimateSprites,0x080008C8,0x4C,2151cb66b77e968ee91386a990728a749699565facfcc391d08240d35d1344da
DEU-AXPD-v1,ext,BuildOamBuffer,0x08000914,0x4C,fb782b9a13205fa779020d18681d6c5d73c4ef2cf5a418db6426805f3f02c06d
DEU-AXPD-v1,ext,UpdateOamCoords,0x08000960,0xC4,1dcc0b8f20918e43c24b7a43cd4819f95227ca86500ff5c026ad6209659cb890
DEU-AXPD-v1,ext,BuildSpritePriorities,0x08000A24,0x40,ab271bd197145138d5516070c850d1d024d652147ca99e642bb978e49c4e01b0
DEU-AXPD-v1,ext,SortSprites,0x08000A64,0x1C0,db735d747d990613b6c679be0bd1767fe75997ceb817df0ebbde322faeebda45
DEU-AXPD-v1,ext,CopyMatricesToOamBuffer,0x08000C24,0x54,70f751e2787c886fc07f80d7ab0d5c7c37688d289119c4cadfae145d2d49eee0
DEU-AXPD-v1,ext,AddSpritesToOamBuffer,0x08000C78,0x98,3f22d2f91b0e0bf0d087bd1ff55cf8b0a1712943c4725c564fd959d63b94fa23
DEU-AXPD-v1,ext,CreateSprite,0x08000D10,0x54,6900a077d75677549f48f6f9807206b6e83f7715b2d07c48ed17c24d051eee38
DEU-AXPD-v1,ext,CreateSpriteAtEnd,0x08000D64,0x6C,5006cd7466bd71c1d455c0a28ccd66c703e019c80ab7f2b75df5863d812eb18a
DEU-AXPD-v1,ext,CreateInvisibleSprite,0x08000DD0,0x48,b909dd650d6607e4e800da83810760f592074338081173982a37097106a61de3
DEU-AXPD-v1,ext,CreateSpriteAt,0x08000E18,0x158,1c52c388daa6902614a7467f480888958b0647de4bd4a4f466e2472c72182e18
DEU-AXPD-v1,ext,CreateSpriteAndAnimate,0x08000F70,0x94,bceb3434df80bb6904d63c595103d7d28cbafc051d0c7b239d30ab419ddcb06e
DEU-AXPD-v1,ext,DestroySprite,0x08001004,0x68,3578d14729e0cbdeaf9e9a8f50fafcab5ec4047ced11c0268a4433b7ac7a1380
DEU-AXPD-v1,ext,ResetOamRange,0x0800106C,0x38,e088a8ad85dfa1feeee63c81fd504a2a49701bf2dea1a0e28a71e1de8687bce6
DEU-AXPD-v1,ext,LoadOam,0x080010A4,0x30,06a12dc6e6509e779a9c4e92880c1f76fddd2d5ce2cfbce63cc918e3c69b185c
DEU-AXPD-v1,ext,ClearSpriteCopyRequests,0x080010D4,0x40,6fdd58657a78be7803dda2fac9ec6beffe2e6164dd6d05764cbcd607c5d07085
DEU-AXPD-v1,ext,ResetOamMatrices,0x08001114,0x2C,16a835798c5f52ab300a54856f21ff2df919d053c1e171ff73501306658062e2
DEU-AXPD-v1,ext,SetOamMatrix,0x08001140,0x20,c89f7866b5fc1e818adedfd03d8acc555ea535c83d95c308d1210bf8e8322435
DEU-AXPD-v1,ext,ResetSprite,0x08001160,0x14,834efe93fda848471ebced0f9c2437045462781c8250578428e9e0ab476b8cef
DEU-AXPD-v1,ext,CalcCenterToCornerVec,0x08001174,0x44,4f3fc1793ee4837a8f016c808952583bae8f80453b7c27e2651e78adedb081ec
