target_id,family,function,runtime_address,size,sha256
JPN-AXPJ-v0,jp,ResetSpriteData,0x0800074C,0x4C,50a92c2e2d1961f4460b218d9c95b63719d0debdc9b066ffec3e83b89cad51b6
JPN-AXPJ-v0,jp,AnimateSprites,0x08000798,0x4C,ef4820617752d384d64239b38d7ab7798d34c9e6546b9198a500ab02cd00c309
JPN-AXPJ-v0,jp,BuildOamBuffer,0x080007E4,0x4C,38e8b33162a974be1d9a697351a157e1fc2e143f9073a4e7100135ecdfb0c59d
JPN-AXPJ-v0,jp,UpdateOamCoords,0x08000830,0xC4,3f319bb4d0a41f9ad458b11b4ec4c2854f3970fd33ed9424fee911bb14a1e209
JPN-AXPJ-v0,jp,BuildSpritePriorities,0x080008F4,0x40,ab271bd197145138d5516070c850d1d024d652147ca99e642bb978e49c4e01b0
JPN-AXPJ-v0,jp,SortSprites,0x08000934,0x1C0,6c4469b80c70c24e437f29a32b76047a60866b03b9f16a9efa14a0b146eb6f89
JPN-AXPJ-v0,jp,CopyMatricesToOamBuffer,0x08000AF4,0x4C,ab8bb4cb21330ffb9bb834fc75c000c8db7ceeb172adb17b95d7b3ab83ea2028
JPN-AXPJ-v0,jp,AddSpritesToOamBuffer,0x08000B40,0x8C,05f4dbacbbbd240e755d0a57ad6a9610caac8ae6e6079ea568b6c5dc294ed3ca
JPN-AXPJ-v0,jp,CreateSprite,0x08000BCC,0x54,6900a077d75677549f48f6f9807206b6e83f7715b2d07c48ed17c24d051eee38
JPN-AXPJ-v0,jp,CreateSpriteAtEnd,0x08000C20,0x6C,5006cd7466bd71c1d455c0a28ccd66c703e019c80ab7f2b75df5863d812eb18a
JPN-AXPJ-v0,jp,CreateInvisibleSprite,0x08000C8C,0x48,1be71c9250f74319e44956c79b21f3ea044deaedfbdca39f7de65417a133f419
JPN-AXPJ-v0,jp,CreateSpriteAt,0x08000CD4,0x158,ba6a7d611ba31ff12d4f466d87a36d041367ed57496f96b493f97377226587fd
JPN-AXPJ-v0,jp,CreateSpriteAndAnimate,0x08000E2C,0x94,7ea844662e6ffefc4a1ded86089eeba10dbcd292793df11f870cae9a0441faf0
JPN-AXPJ-v0,jp,DestroySprite,0x08000EC0,0x68,1c32092c43bef04a4a76bc9ec1927e00f462c0113fb713455a6823fdc88ce9b9
JPN-AXPJ-v0,jp,ResetOamRange,0x08000F28,0x38,496523d64435496db21c93441ec694fca4b5ba8e8c4ac508e03d4489a0463c8c
JPN-AXPJ-v0,jp,LoadOam,0x08000F60,0x30,b91dad50ad68dcf42edffa52d85ef13de4361badb8ec2de306e11baf60d44f2f
JPN-AXPJ-v0,jp,ClearSpriteCopyRequests,0x08000F90,0x40,987ba7d92adf6d6d1cc179262a87f8c02d1508ed1400273ce2cc2943dcddc95b
JPN-AXPJ-v0,jp,ResetOamMatrices,0x08000FD0,0x2C,bb1036a83f64f493b0c3c2f4a7dd4d746845cba65f0eaf4d01be84e896bd3a4f
JPN-AXPJ-v0,jp,SetOamMatrix,0x08000FFC,0x20,df5cefba11155c915a4d606f69f464f091d67ab9f09466a1f96cb774c9299194
JPN-AXPJ-v0,jp,ResetSprite,0x0800101C,0x14,3bd466388be5202550d250f29391b5b6d282ed4b13dc79899d0851d15b3a56cc
JPN-AXPJ-v0,jp,CalcCenterToCornerVec,0x08001030,0x44,a201b250a9f708d852b895d07495b5cec211fca5d7ff54ae39535ef54489a254
