target_id,family,function,runtime_address,size,sha256
USA-AXPE-v0,axpe,ResetSpriteData,0x08000748,0x4C,a010a4104913a296eefd8fb51a144078a1a77be3d7608eaf309f36c714ad53cd
USA-AXPE-v0,axpe,AnimateSprites,0x08000794,0x4C,f6bc898606b6a8169c5bac6b33fe15f739f7b4da3a050fe59530a41a13cc4d22
USA-AXPE-v0,axpe,BuildOamBuffer,0x080007E0,0x4C,fb782b9a13205fa779020d18681d6c5d73c4ef2cf5a418db6426805f3f02c06d
USA-AXPE-v0,axpe,UpdateOamCoords,0x0800082C,0xC4,1dcc0b8f20918e43c24b7a43cd4819f95227ca86500ff5c026ad6209659cb890
USA-AXPE-v0,axpe,BuildSpritePriorities,0x080008F0,0x40,ab271bd197145138d5516070c850d1d024d652147ca99e642bb978e49c4e01b0
USA-AXPE-v0,axpe,SortSprites,0x08000930,0x1C0,db735d747d990613b6c679be0bd1767fe75997ceb817df0ebbde322faeebda45
USA-AXPE-v0,axpe,CopyMatricesToOamBuffer,0x08000AF0,0x54,70f751e2787c886fc07f80d7ab0d5c7c37688d289119c4cadfae145d2d49eee0
USA-AXPE-v0,axpe,AddSpritesToOamBuffer,0x08000B44,0x98,e65c8cb9150ea527239adb022e39307ef43195e5759ca5566e2f29a84f4a9dc3
USA-AXPE-v0,axpe,CreateSprite,0x08000BDC,0x54,6900a077d75677549f48f6f9807206b6e83f7715b2d07c48ed17c24d051eee38
USA-AXPE-v0,axpe,CreateSpriteAtEnd,0x08000C30,0x6C,5006cd7466bd71c1d455c0a28ccd66c703e019c80ab7f2b75df5863d812eb18a
USA-AXPE-v0,axpe,CreateInvisibleSprite,0x08000C9C,0x48,6ad7e54e6b976a4855f2381e4be6cb99b2abc73a44cacdbb86bba8cfc7634c32
USA-AXPE-v0,axpe,CreateSpriteAt,0x08000CE4,0x158,1c52c388daa6902614a7467f480888958b0647de4bd4a4f466e2472c72182e18
USA-AXPE-v0,axpe,CreateSpriteAndAnimate,0x08000E3C,0x94,266e223ee07f51b6bd6c8526b76728f096bf01e136fdbb848e75542f998330bf
USA-AXPE-v0,axpe,DestroySprite,0x08000ED0,0x68,3578d14729e0cbdeaf9e9a8f50fafcab5ec4047ced11c0268a4433b7ac7a1380
USA-AXPE-v0,axpe,ResetOamRange,0x08000F38,0x38,8dfff83e53271cdbab7a0976e49d734dcb8abaa3240e4ae3ce622f1bcaca5d27
USA-AXPE-v0,axpe,LoadOam,0x08000F70,0x30,c991c74f7ec663eab2c799280feed58d4133896b66f812dd442edaa13f855c70
USA-AXPE-v0,axpe,ClearSpriteCopyRequests,0x08000FA0,0x40,6fdd58657a78be7803dda2fac9ec6beffe2e6164dd6d05764cbcd607c5d07085
USA-AXPE-v0,axpe,ResetOamMatrices,0x08000FE0,0x2C,16a835798c5f52ab300a54856f21ff2df919d053c1e171ff73501306658062e2
USA-AXPE-v0,axpe,SetOamMatrix,0x0800100C,0x20,c89f7866b5fc1e818adedfd03d8acc555ea535c83d95c308d1210bf8e8322435
USA-AXPE-v0,axpe,ResetSprite,0x0800102C,0x14,9c8b183a6e34718bdd79d2cbd0c6ca73eb251ae2bacf0a0db232cce63ed0978d
USA-AXPE-v0,axpe,CalcCenterToCornerVec,0x08001040,0x44,625c2b4c8658ee930ae126bad7b804495f23b1c72ea9c37628c4031c5626c95a
