target_id,family,function,runtime_address,size,sha256
USA-EUR-AXPE-v2,axpe,ResetSpriteData,0x08000748,0x4C,a010a4104913a296eefd8fb51a144078a1a77be3d7608eaf309f36c714ad53cd
USA-EUR-AXPE-v2,axpe,AnimateSprites,0x08000794,0x4C,e17d2cfc2539b6d28abc37df8b01acd31d0ef543db11ad08e8b1f1f034db3b9b
USA-EUR-AXPE-v2,axpe,BuildOamBuffer,0x080007E0,0x4C,fb782b9a13205fa779020d18681d6c5d73c4ef2cf5a418db6426805f3f02c06d
USA-EUR-AXPE-v2,axpe,UpdateOamCoords,0x0800082C,0xC4,1dcc0b8f20918e43c24b7a43cd4819f95227ca86500ff5c026ad6209659cb890
USA-EUR-AXPE-v2,axpe,BuildSpritePriorities,0x080008F0,0x40,ab271bd197145138d5516070c850d1d024d652147ca99e642bb978e49c4e01b0
USA-EUR-AXPE-v2,axpe,SortSprites,0x08000930,0x1C0,db735d747d990613b6c679be0bd1767fe75997ceb817df0ebbde322faeebda45
USA-EUR-AXPE-v2,axpe,CopyMatricesToOamBuffer,0x08000AF0,0x54,70f751e2787c886fc07f80d7ab0d5c7c37688d289119c4cadfae145d2d49eee0
USA-EUR-AXPE-v2,axpe,AddSpritesToOamBuffer,0x08000B44,0x98,95d22d7b3dae3c20956d107399bf5c401d108c30c61bf72f1f71c82e00f77a39
USA-EUR-AXPE-v2,axpe,CreateSprite,0x08000BDC,0x54,6900a077d75677549f48f6f9807206b6e83f7715b2d07c48ed17c24d051eee38
USA-EUR-AXPE-v2,axpe,CreateSpriteAtEnd,0x08000C30,0x6C,5006cd7466bd71c1d455c0a28ccd66c703e019c80ab7f2b75df5863d812eb18a
USA-EUR-AXPE-v2,axpe,CreateInvisibleSprite,0x08000C9C,0x48,5155133e8e6dcdaf9884cf3d73bfb8b2535cc0ae923fd96eb193df983f8be60e
USA-EUR-AXPE-v2,axpe,CreateSpriteAt,0x08000CE4,0x158,1c52c388daa6902614a7467f480888958b0647de4bd4a4f466e2472c72182e18
USA-EUR-AXPE-v2,axpe,CreateSpriteAndAnimate,0x08000E3C,0x94,749b80f574037a4f0418575708852f06db07f62ca40d61276920305bfde950b0
USA-EUR-AXPE-v2,axpe,DestroySprite,0x08000ED0,0x68,3578d14729e0cbdeaf9e9a8f50fafcab5ec4047ced11c0268a4433b7ac7a1380
USA-EUR-AXPE-v2,axpe,ResetOamRange,0x08000F38,0x38,814181bce4e4cb8d6534a0f6f87d24654af719862055a1ebf9f53a39341b668d
USA-EUR-AXPE-v2,axpe,LoadOam,0x08000F70,0x30,065bd2d152430237fbf5142c3dd6185f0f44bf4232741a49d9d24acb5ea235b9
USA-EUR-AXPE-v2,axpe,ClearSpriteCopyRequests,0x08000FA0,0x40,6fdd58657a78be7803dda2fac9ec6beffe2e6164dd6d05764cbcd607c5d07085
USA-EUR-AXPE-v2,axpe,ResetOamMatrices,0x08000FE0,0x2C,16a835798c5f52ab300a54856f21ff2df919d053c1e171ff73501306658062e2
USA-EUR-AXPE-v2,axpe,SetOamMatrix,0x0800100C,0x20,c89f7866b5fc1e818adedfd03d8acc555ea535c83d95c308d1210bf8e8322435
USA-EUR-AXPE-v2,axpe,ResetSprite,0x0800102C,0x14,015eefadab5c888476321c45e549a7c5d1ab77fd75a56cbc63bcaf40bc527672
USA-EUR-AXPE-v2,axpe,CalcCenterToCornerVec,0x08001040,0x44,e62388294d429494e6344dd217a0db8096c9a0c1faffd35cb49f6d0ffcfa48e6
