file,target_id,game_code,software_version,family,function,file_offset,runtime_address,size,sha256
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,ApplyAffineAnimFrameRelativeAndUpdateMatrix,0x00001F30,0x08001F30,152,c02fe23d82b76b9bcfd9d4f6fd6c83fb8ac1539725d29f6ec790f4ea74007734
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,ConvertScaleParam,0x00001FC8,0x08001FC8,24,0940f2609710121b47e845d75971dd6ce9ce9957fee41e497f925137c169410b
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,GetAffineAnimFrame,0x00001FE0,0x08001FE0,108,c8e50d5d51ddb30cfb53000cccf505cde70c60de47e7bacf4ac3eacb1f868318
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,ApplyAffineAnimFrame,0x0000204C,0x0800204C,64,59e932b8800e22f44a88a66592e58fc698b24e4563c8a557a5fab484dbbbf9a1
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,StartSpriteAnim,0x0000208C,0x0800208C,24,46b89df7230833df61fe6128b972a8a2e2c6fdcc35782bb66a0d5f5c04d93164
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,StartSpriteAnimIfDifferent,0x000020A4,0x080020A4,28,358c3ad09cd452c66f6f6adf4c69bca7038c6714b03d2ff0b6b2b298b95165f6
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,SeekSpriteAnim,0x000020C0,0x080020C0,124,7be27f3c3e2ed70427767378b2d9ec4fb2e44706d706e480214ccaacb6008f0f
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,StartSpriteAffineAnim,0x0000213C,0x0800213C,44,4c6ac7bdbb34e0b3b6484aeacf8400013183e101a66f59194e9c84ca9da575e2
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,StartSpriteAffineAnimIfDifferent,0x00002168,0x08002168,52,6dd8ff47633b4721397d2e0b830695d4865c44732c0101f5eccf84e661bce73b
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,ChangeSpriteAffineAnim,0x0000219C,0x0800219C,56,3849bcc2182e3691c82db90152ac0853148470755d7e3d47070edb1e7b42c928
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,ChangeSpriteAffineAnimIfDifferent,0x000021D4,0x080021D4,52,110cf3803363f66f7b892ce6b9cdba439964671997f43415a915e74e2db6ed39
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,SetSpriteSheetFrameTileNum,0x00002208,0x08002208,88,f0e001b3d7737d0e8208be8d62a957a90ff1c029d2918f1509979dd023a555ed
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,ResetAffineAnimData,0x00002260,0x08002260,52,7007d82cfdd58e7bc565ef5f84aa366d84ebc6023ef86611138a9270feb5664e
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,AllocOamMatrix,0x00002294,0x08002294,56,afa948544dc831af2b207c1d7c44ac2669e05116e71227099254d851c1c560d0
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,FreeOamMatrix,0x000022CC,0x080022CC,64,b17e141ad4295f864f71f6d5600eecab17e87d0d790de7ca022599f15c350ba7
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,InitSpriteAffineAnim,0x0000230C,0x0800230C,80,832715bcee1dfee75ab23cdf07b23a3860d49e40f4104e1180432393d944bc3b
Pokemon - Versione Zaffiro (Italy) (Rev 1).gba,ITA-AXPI-v1,AXPI,1,extended_european,SetOamMatrixRotationScaling,0x0000235C,0x0800235C,128,0fad6428acc8ee92dd8c4e706cb4ad985bb23c1eb59a54642bf3f173c2fd425a
