file,target_id,game_code,software_version,family,function,file_offset,runtime_address,size,sha256
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,ApplyAffineAnimFrameRelativeAndUpdateMatrix,0x00001D18,0x08001D18,152,dc74d1769c71709437fbc1de324086e5831a05a129b549117ebed47e749e6d1b
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,ConvertScaleParam,0x00001DB0,0x08001DB0,24,a232dae4197b212820a14fd28ab7a3093390f9c975602118b19c9b20ad9ec2a3
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,GetAffineAnimFrame,0x00001DC8,0x08001DC8,108,c8e50d5d51ddb30cfb53000cccf505cde70c60de47e7bacf4ac3eacb1f868318
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,ApplyAffineAnimFrame,0x00001E34,0x08001E34,64,59e932b8800e22f44a88a66592e58fc698b24e4563c8a557a5fab484dbbbf9a1
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,StartSpriteAnim,0x00001E74,0x08001E74,24,46b89df7230833df61fe6128b972a8a2e2c6fdcc35782bb66a0d5f5c04d93164
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,StartSpriteAnimIfDifferent,0x00001E8C,0x08001E8C,28,358c3ad09cd452c66f6f6adf4c69bca7038c6714b03d2ff0b6b2b298b95165f6
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,SeekSpriteAnim,0x00001EA8,0x08001EA8,124,7be27f3c3e2ed70427767378b2d9ec4fb2e44706d706e480214ccaacb6008f0f
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,StartSpriteAffineAnim,0x00001F24,0x08001F24,44,4c6ac7bdbb34e0b3b6484aeacf8400013183e101a66f59194e9c84ca9da575e2
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,StartSpriteAffineAnimIfDifferent,0x00001F50,0x08001F50,52,6dd8ff47633b4721397d2e0b830695d4865c44732c0101f5eccf84e661bce73b
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,ChangeSpriteAffineAnim,0x00001F84,0x08001F84,56,3849bcc2182e3691c82db90152ac0853148470755d7e3d47070edb1e7b42c928
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,ChangeSpriteAffineAnimIfDifferent,0x00001FBC,0x08001FBC,52,110cf3803363f66f7b892ce6b9cdba439964671997f43415a915e74e2db6ed39
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,SetSpriteSheetFrameTileNum,0x00001FF0,0x08001FF0,88,f0e001b3d7737d0e8208be8d62a957a90ff1c029d2918f1509979dd023a555ed
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,ResetAffineAnimData,0x00002048,0x08002048,52,40c09f61cf0275f4eb2c1c21e9c3a0d4ece1ac3f9c5712ab8ca5487887ffca09
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,AllocOamMatrix,0x0000207C,0x0800207C,56,6daa7bb3a2560898bb54778241f7f00834461aec3684d4b968f7bf5d28211376
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,FreeOamMatrix,0x000020B4,0x080020B4,64,2a686c126103a0ae0b5afedaacb2da420ae40c8d3da87adf89d52b193fe561e7
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,InitSpriteAffineAnim,0x000020F4,0x080020F4,80,f7b4a71fae0e54fb3c71cb39a0bc225ce95e8d3b085291c1a8e9cd48ab6b6a79
Pocket Monsters - Sapphire (Japan).gba,JPN-AXPJ-v0,AXPJ,0,jp,SetOamMatrixRotationScaling,0x00002144,0x08002144,128,cc01d91a7dda5e84fba34cb0f0ea5edbedcda4f0f01cd8c1b257fe5979a83c4c
