function,address,size,sha256
BeginAffineAnim,0x0800194C,0x7C,2620b4189636f4146b66cdc400ccd376c214a85ecce16cc5a2142944d8b4e1f1
ContinueAffineAnim,0x080019C8,0x98,d75b703f122a3564f18f6ed1bcce81bbc88b5eba1325073ab4271b1f7255075e
AffineAnimDelay,0x08001A60,0x34,257b99b41a0f9894674b55191f98db436a73743eabad0ae9f3b556a518bf95a0
AffineAnimCmd_loop,0x08001A94,0x34,f02a14f7c23f6771b87c306b20d722b8893eb24f23dc236bf00d59635f149826
BeginAffineAnimLoop,0x08001AC8,0x3C,8b848088576b5c66346bef674a20ec54fe3e529f66dcdf10e63da1b2254a6e54
ContinueAffineAnimLoop,0x08001B04,0x30,e52b0fc68e3e714a032dbd737d7a7a2bec7b79af7027feab8041a40c76c20cb6
JumpToTopOfAffineAnimLoop,0x08001B34,0x6C,2ac53b115e3778a44c834fc4dc7896b2c12649e7442c17cb0a66a944154c023e
AffineAnimCmd_jump,0x08001BA0,0x4C,9e7959f967fab74b77000e458c19eaeb69c619f628329daf1c308c339ba1242d
AffineAnimCmd_end,0x08001BEC,0x3C,73798e67d406485eac7c07f4c6fd632f1471ef7631ebccc76f42dd5e7de72a43
AffineAnimCmd_frame,0x08001C28,0x38,edca183079c93315b82ac607609ff1f07f36e38677eaa0b8c4100a5749a71269
CopyOamMatrix,0x08001C60,0x20,73d3a293d05e92cb75ff0cf06343380dc075e42fad8c4e7c138e557c6cb86da3
GetSpriteMatrixNum,0x08001C80,0x20,42de03d2d938f46110444ed41aba1838b23c151f5f103f6eb25f1ab471ea555e
SetSpriteOamFlipBits,0x08001CA0,0x74,e6948f1615d30f4992f5db0194189e211e5b89c0043dd9538c693389f4da51d1
AffineAnimStateRestartAnim,0x08001D14,0x1C,34f66f95b6662e4f55557af5d00321de1048dfb71d2d1726eafc76b1db7891d1
AffineAnimStateStartAnim,0x08001D30,0x28,43688935438113e3e7ac93c3ecc553ed8f580a1ef87bcd71b4625152a5d59734
AffineAnimStateReset,0x08001D58,0x28,9a5465df82d2fcac902355059b0e40a5b029dc445931957c1ba34859bd2aa32f
ApplyAffineAnimFrameAbsolute,0x08001D80,0x24,9f6e2f908ebcd75e2f516f30b822f197ff0a3d0f181f84c330bec27931fd958b
DecrementAnimDelayCounter,0x08001DA4,0x28,5a7a737462b21a7b1cef46d7ee48c2f57019da90f241a3ad93e10b7fa0c32f01
DecrementAffineAnimDelayCounter,0x08001DCC,0x30,5cd91890b8e4df9de4a1b2eb1516bd0a550b8804cbf9e27dc7bfae18c949b627
