function,address,size,sha256
AnimateSprite,0x08001418,0x48,b303193ae8292260e58da4c73549be126d67049fbfad0e1b8e2c732839514901
BeginAnim,0x08001460,0xF0,544aa95b4160433f74918b5f308d71654c8b3bb691ede4686424e9f7b81e9462
ContinueAnim,0x08001550,0xA0,bdeb93ce2f7943dc07739819f928d471861df790d40fae1e9278f8e78bba04f8
AnimCmd_frame,0x080015F0,0xAC,db34f0a6141882f4829129f39b6b40c1df30864e107ef83c71979578c31ec557
AnimCmd_end,0x0800169C,0x18,ecadb750f79ab57d245cd522ee7ddd7ea49e4a4ca522c850f5ffb269d9ffd2af
AnimCmd_jump,0x080016B4,0xC8,540b75bc3a73e30996e891b049b807335020ea4b1d2f48f97ca5184316de890a
AnimCmd_loop,0x0800177C,0x20,3509bf06c916a108dfcd5acd21df81bad2ad23fccf2711954b3c4545c8e1adbf
BeginAnimLoop,0x0800179C,0x38,69b2381714fe5f8379792d08170a62325d6261fdaa264bac9ab88b2086c5b95c
ContinueAnimLoop,0x080017D4,0x20,c919e7373e97d3afd6f5f731b1492feb5c4736571e8df6035a51cf3321d6b404
JumpToTopOfAnimLoop,0x080017F4,0x74,14a18e711e40a11e9fd2f3ca0730cbaaa3c0f2ffe0d603c923a47fa2e995ce43
