file,target_id,game_code,software_version,family,function,file_offset,runtime_address,size,sha256
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,LoadSpriteSheet,0x000022A8,0x080022A8,68,f9b72d2e76cde37cb343772312f512774133066c839e65c4c49c2b3471768372
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,LoadSpriteSheets,0x000022EC,0x080022EC,44,866cfe00e26e4bb203a8f860b2413ef85aa061a02edbf31372872e8b39e2119c
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,AllocTilesForSpriteSheet,0x00002318,0x08002318,44,b65d4a00f805c063df42b48cf2111a990aab11312ef8e79059baa1875af4d020
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,AllocTilesForSpriteSheets,0x00002344,0x08002344,44,3183ab35fd9ab682856fcf10d812e3e039bfccd07ce6dcbed71feb3fce44d4e4
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,LoadTilesForSpriteSheet,0x00002370,0x08002370,44,8263652fe27d8de148c906678c5775826ef3eb18dc6451e3ef833fce1b3b3449
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,LoadTilesForSpriteSheets,0x0000239C,0x0800239C,44,3183ab35fd9ab682856fcf10d812e3e039bfccd07ce6dcbed71feb3fce44d4e4
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,FreeSpriteTilesByTag,0x000023C8,0x080023C8,120,8ab9dc93c8cdbcc1a33ae81dc2f4c3c481c72173d5e400e56fb207b51eeeb118
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,FreeSpriteTileRanges,0x00002440,0x08002440,64,50140b8f146dedb2bb52b6200c9ef924e78397a3ad85b945d153df2d20c310dc
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,GetSpriteTileStartByTag,0x00002480,0x08002480,44,f8c69a43b842b80ba4cbb56a1fdc2c461467cac4f29ecf1e534145da933ba9c2
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,IndexOfSpriteTileTag,0x000024AC,0x080024AC,44,f0a7987e830eb803f35b0fc0287c0a51baa3c702d4b816e2e5f52ea311977aff
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,GetSpriteTileTagByTileStart,0x000024D8,0x080024D8,76,d524558da72bbeb1a4aa6c886dd3ed120e007757d3cd20abcc7b4a72ba8dcb82
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,AllocSpriteTileRange,0x00002524,0x08002524,72,26b74ff28ae35d59c219a58b02c02e9c171c19ddf170a7a8e566ceab934cec2b
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,RequestSpriteSheetCopy,0x0000256C,0x0800256C,40,bdeddaae006692a00b8ba839e34b1e02f3f1482bc3561276c028ecd5264a27da
Pokemon - Sapphire Version (Europe) (Rev 1).gba,EUR-AXPE-v1,AXPE,1,axpe,LoadSpriteSheetDeferred,0x00002594,0x08002594,52,5d5e1bc65a836eadd34b03cabba6d573971df9563ab13479685f4b26f2ee0965
