archive_sha256,atlas,atlas_sha256,file_id,glyph_bytes,glyph_height_tiles,glyph_width_tiles,header_size,label,max_height,max_width,member,member_sha256,member_size,nitrofs_path,num_glyphs,rom,tail_after_prefix_bytes,tail_bytes,tail_prefix_hex,width_table_offset
97b5d1de58b7e625daf6b5894635bc139dab283ff060976c8dfe8fe4e6c41d6a,member_00_atlas.png,5238541c20f06f33621b770554edbaf018333c7d27c0bca0ad7d6b313506aa24,340,64,2,2,16,platinum_font_narc,16,16,0,50192f2c1dc15e47105cda32be0f004d887c8c8ee62c6dbd90321a1b1fbe9cf5,220717,graphic/font.narc,3440,포켓몬스터Pt 기라티나.nds,509,541,1902000003000000fd01ffff1c0000000004000000000000700d0b0000000000,220176
97b5d1de58b7e625daf6b5894635bc139dab283ff060976c8dfe8fe4e6c41d6a,member_01_atlas.png,20050263258d630b5cb96d8fb42183d315a0e7b2b9e8fa539695afc0d465ef10,340,64,2,2,16,platinum_font_narc,16,16,1,64c9e82f70551142ed75a1ccadee312a945843406db38dcd7607bfbe1e5e5075,220717,graphic/font.narc,3440,포켓몬스터Pt 기라티나.nds,509,541,1902000003000000fd01ffff1c0000000004000000000000700d0c0000000000,220176
97b5d1de58b7e625daf6b5894635bc139dab283ff060976c8dfe8fe4e6c41d6a,member_02_atlas.png,5e77409acd430c5a0229ca28bc43a8b816702bb7091b2815e069eb79814cb71c,340,64,2,2,16,platinum_font_narc,16,16,2,e046932b2c8bc3b042b04f147e67fedc278ebd18d2080d0b3bd10524b89ec70a,220717,graphic/font.narc,3440,포켓몬스터Pt 기라티나.nds,509,541,1902000003000000fd01ffff1c0000000004000000000000700d0d0000000000,220176
97b5d1de58b7e625daf6b5894635bc139dab283ff060976c8dfe8fe4e6c41d6a,member_03_atlas.png,ab33e7b429f1930110270734ef1740889f5f5b8c62e5ca5214f01d7c7b816737,340,64,2,2,16,platinum_font_narc,16,16,3,40e9bdb43aa9e2d53955081a22b697f4db712740f75e03444aad3fbf62cc3161,33117,graphic/font.narc,509,포켓몬스터Pt 기라티나.nds,493,525,0902000001000000fd01ffff0c00000007000000000000000000000000000000,32592
f6434c57cf00f1a4febb78e2820a111e10410e8a2117500910530bffa6269725,member_00_atlas.png,b3c3bce0b32ed33c8a9197d3f9312c05959fd53c175ee5a0e7c6ba6cbe91dae7,352,64,2,2,16,platinum_pl_font_narc,16,16,0,5380562d9d5a3a5baa03de17f4be13c7ae7f2fa3e3cb7187f73ae5deabb9cfda,220717,graphic/pl_font.narc,3440,포켓몬스터Pt 기라티나.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0b0000000000,220176
f6434c57cf00f1a4febb78e2820a111e10410e8a2117500910530bffa6269725,member_01_atlas.png,6b3d145df720dbac5c2b872ed49c8c0f5aee3d0b2c5b8cefa433d54cd405d983,352,64,2,2,16,platinum_pl_font_narc,16,16,1,8410176bf0039a9bf43d31d4246465b107abfacf2c06922bbc8549d6950e7d64,220717,graphic/pl_font.narc,3440,포켓몬스터Pt 기라티나.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0c0000000000,220176
f6434c57cf00f1a4febb78e2820a111e10410e8a2117500910530bffa6269725,member_02_atlas.png,fce103039617fabad7847332db334201237ebba4da7e43ed8a2961c14b865f43,352,64,2,2,16,platinum_pl_font_narc,16,16,2,ad0e6f08fe8a6d4cddfc3ce88fddc1af6a0606b671da9ebe55154ad5c2f4e402,220717,graphic/pl_font.narc,3440,포켓몬스터Pt 기라티나.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0d0000000000,220176
f6434c57cf00f1a4febb78e2820a111e10411e8a2117500910530bffa6269725,member_03_atlas.png,ab33e7b429f1930110270734ef1740889f5f5b8c62e5ca5214f01d7c7b816737,352,64,2,2,16,platinum_pl_font_narc,16,16,3,40e9bdb43aa9e2d53955081a22b697f4db712740f75e03444aad3fbf62cc3161,33117,graphic/pl_font.narc,509,포켓몬스터Pt 기라티나.nds,493,525,0902000001000000fd01ffff0c00000007000000000000000000000000000000,32592
58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,member_00_atlas.png,b3c2d31647fb840d619858837e8198a0eb38f53592fdda142833cb6d1c906e81,145,64,2,2,16,soulsilver_a_0_1_6,16,16,0,6d536a2b7424ea56a509a73c58a4e174860b75f105cf36c94ee59f24875152b4,220717,a/0/1/6,3440,포켓몬스터 소울실버.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0b0000000000,220176
58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,member_01_atlas.png,f6a3834732d6157a3d49c41e825f88abedfac0add5427c48a12edac1ebd0a1a0,145,64,2,2,16,soulsilver_a_0_1_6,16,16,1,d2a15c00c619309813f0a13d9b728fbd3a2fe3dcf5c4a93f9ab80cf050f09f06,220717,a/0/1/6,3440,포켓몬스터 소울실버.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0c0000000000,220176
58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,member_02_atlas.png,61e6baa3a282e45f1e498153ef9b599454d460dbc05a877e003968e96be718a8,145,64,2,2,16,soulsilver_a_0_1_6,16,16,2,53b23fd62c59a38e18b938b1eab57ba09159256a42f9933f6d6c96287b19d6a2,220717,a/0/1/6,3440,포켓몬스터 소울실버.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0d0000000000,220176
58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,member_03_atlas.png,ab33e7b429f1930110270734ef1740889f5f5b8c62e5ca5214f01d7c7b816737,145,64,2,2,16,soulsilver_a_0_1_6,16,16,3,40e9bdb43aa9e2d53955081a22b697f4db712740f75e03444aad3fbf62cc3161,33117,a/0/1/6,509,포켓몬스터 소울실버.nds,493,525,0902000001000000fd01ffff0c00000007000000000000000000000000000000,32592
58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,member_04_atlas.png,d76e955f7e943075be782478064fdbbc747b396a3b03635793e56b24a6b7ec66,145,64,2,2,16,soulsilver_a_0_1_6,16,16,4,6063e7757ccef2f20908cffe7547bc8b3952fcc09695ae27cab87cf01090b484,220717,a/0/1/6,3440,포켓몬스터 소울실버.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0c0000000000,220176
58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,member_10_atlas.png,f7d07c603962692b8e242bfd09b5b03ac963a0fd1c14d371b8976217c8cac38b,145,64,2,2,16,soulsilver_a_0_1_6,16,16,10,67681b392ccbb2bb80e3a370ff43927e34a2b5498af45d67a931f0ae8aac9c65,220717,a/0/1/6,3440,포켓몬스터 소울실버.nds,509,541,1902000003000000fd01ffff1c0000000004feff00000000700d0b0000000000,220176
