arm7_entry,arm7_offset,arm7_ram,arm7_size,arm9_entry,arm9_offset,arm9_ram,arm9_size,banner_offset,cartridge_type,cgb_flag,coverage_status,crc32,device_capacity_code,fat_offset,fat_size,file,fixed_value,fnt_offset,fnt_size,game,game_code,global_checksum_calculated,global_checksum_stored,global_checksum_valid,header_checksum_calculated,header_checksum_stored,header_checksum_valid,header_crc_calculated,header_crc_stored,header_crc_valid,header_size,implementation_status,internal_title,language_region,logo_crc_calculated,logo_crc_stored,logo_crc_valid,maker_code,md5,nitrofs_file_count,overlay7_offset,overlay7_size,overlay9_offset,overlay9_size,platform,preservation_policy,project_role,project_side,ram_size_code,region_code,release_id,revision,rom_size_code,rom_size_header,sgb_flag,sha1,sha256,size_bytes,source_priority,unit_code
37224448,3198976,37224448,168732,33556480,16384,33554432,1079076,3376640,,,attached-and-header-verified,e2d87ebf,9,3373568,2848,01-Pokemon_Pearl_USA_NDS-LGC.nds,,3367936,5529,Pokémon Pearl,APAE,,,,,,,a80c,a80c,True,16384,not-applicable,POKEMON P,USA/English,cf56,cf56,True,01,e5da92c8cfabedd0d037ff33a2f2b6ba,356,0,0,1095680,2784,NDS,read-only,GEN-IV-OFFICIAL-RESEARCH-SOURCE,generation-iv-source,,E,NDS-APAE,5,,61169344,,99083bf15ec7c6b81b4ba241ee10abd9e80999ac,2dcc471033d1757ee572415f5773a77af67b350ad59e2aeb3fc28c1402c3a84c,67108864,equal,0
37224448,3198976,37224448,168732,33556480,16384,33554432,1079076,3376640,,,attached-and-header-verified,84427823,9,3373568,2848,02-Pokemon_Diamond_USA_NDS-LGC.nds,,3367936,5503,Pokémon Diamond,ADAE,,,,,,,ca37,ca37,True,16384,not-applicable,POKEMON D,USA/English,cf56,cf56,True,01,02a1af2a677d101394b1d99164a8c249,356,0,0,1095680,2784,NDS,read-only,GEN-IV-OFFICIAL-RESEARCH-SOURCE,generation-iv-source,,E,NDS-ADAE,5,,61169344,,a46233d8b79a69ea87aa295a0efad5237d02841e,e29bc6ebe431d7a6b238267b6b1521fec4a3bc14f2fa348798062f870c738454,67108864,equal,0
37224448,3111424,37224448,161496,33556480,16384,33554432,765208,3280384,,,attached-and-header-verified,ce5cb206,10,3276288,4088,03-nds,,3273216,2884,Pokémon SoulSilver,IPGK,,,,,,,d817,d817,True,16384,not-applicable,POKEMON SS,Korea/Korean,cf56,cf56,True,01,4e36e0c8c693d7cf52753f8601db5bbf,511,0,0,781824,4128,NDS,read-only,GEN-IV-OFFICIAL-RESEARCH-SOURCE,generation-iv-source,,K,NDS-IPGK,0,,124639804,,0330e6449306606114a92bdbb3f9d3d51d392b96,8e1c82d2f718fa404f0b13df1666c70cdfaa75cb67e0adcbdcfb6c002f4d8b55,134217728,equal,0
37224448,3111424,37224448,161496,33556480,16384,33554432,765204,3280384,,,attached-and-header-verified,650745ad,10,3276288,4088,04-nds,,3273216,2884,Pokémon HeartGold,IPKK,,,,,,,c645,c645,True,16384,not-applicable,POKEMON HG,Korea/Korean,cf56,cf56,True,01,81de94bae7a9033fe077cc885addcfe4,511,0,0,781824,4128,NDS,read-only,GEN-IV-OFFICIAL-RESEARCH-SOURCE,generation-iv-source,,K,NDS-IPKK,0,,124639804,,5834fb3a2d751c48501d47d6a56898d7af6ccf9e,659f20ca1d4f43b8b675d3c47217bb875a4f14c62438b08fa42f60467e2bed43,134217728,equal,0
37224448,4237312,37224448,161788,33556480,16384,33554432,1061624,4410880,,,attached-and-header-verified,26f01598,10,4406784,3688,05-Pt-.nds,,4399104,7427,Pokémon Platinum,CPUK,,,,,,,260f,260f,True,16384,not-applicable,POKEMON PL,Korea/Korean,cf56,cf56,True,01,e28b4ba15f1810ce26087a66cbb411ff,461,0,0,1078272,3904,NDS,read-only,GEN-IV-OFFICIAL-RESEARCH-SOURCE,generation-iv-source,,K,NDS-CPUK,0,,102630460,,f811d9c7ab5262f593012da794c2fa81dbcdbcc1,51050f65776f402f86b8b2b2d3b84ab5bbe80dbec75129c86f8bd9b447f11d7b,134217728,equal,0
,,,,,,,,,,,attached-and-header-verified,fd1eeb78,,,,06-Pocket-Monsters-Sapphire-Japan-.gba,96,,,Pocket Monsters Sapphire,AXPJ,,,,50,50,True,,,,,target-candidate-unselected,POKEMON SAPP,Japan/Japanese,,,,01,5323f95f70f5d4f21bed6ec000332bda,,,,,,GBA,read-only,TARGET-POCKET-MONSTERS-OFFICIAL-SOURCE,pocket-monsters-target,,J,AGB-AXPJ,0,,,,3233342c2f3087e6ffe6c1791cd5867db07df842,6a5ff7656531ab41d1ea9cd8f2d045ab6228405b43f3ee09ea3ff5077c0f60c9,8388608,equal,
,,,,,,,,,,,attached-and-header-verified,4881f3f8,,,,07-Pocket-Monsters-Emerald-Japan-.gba,96,,,Pocket Monsters Emerald,BPEJ,,,,6d,6d,True,,,,,target-candidate-unselected,POKEMON EMER,Japan/Japanese,,,,01,92eecf93f1ab828bdf2a83daddacf3e5,,,,,,GBA,read-only,TARGET-POCKET-MONSTERS-OFFICIAL-SOURCE,pocket-monsters-target,,J,AGB-BPEJ,0,,,,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,16777216,equal,
,,,,,,,,,,,attached-and-header-verified,daffecec,,,,08-Pokemon-Leaf-Green-Version-Europe-Rev-1-.gba,96,,,Pokémon LeafGreen,BPGE,,,,80,80,True,,,,,target-candidate-unselected,POKEMON LEAF,English,,,,01,9d33a02159e018d09073e700e1fd10fd,,,,,,GBA,read-only,TARGET-POCKET-MONSTERS-OFFICIAL-SOURCE,pocket-monsters-target,,E,AGB-BPGE,1,,,,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,2f978f635b9593f6ca26ec42481c53a6b39f6cddd894ad5c062c1419fac58825,16777216,equal,
,,,,,,,,,,,attached-and-header-verified,1f1c08fb,,,,09-Pokemon-Emerald-Version-USA-Europe-.gba,96,,,Pokémon Emerald,BPEE,,,,72,72,True,,,,,target-candidate-unselected,POKEMON EMER,English,,,,01,605b89b67018abcea91e693a4dd25be3,,,,,,GBA,read-only,TARGET-POCKET-MONSTERS-OFFICIAL-SOURCE,pocket-monsters-target,,E,AGB-BPEE,0,,,,f3ae088181bf583e55daf962a92bb46f4f1d07b7,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,16777216,equal,
,,,,,,,,,,,attached-and-header-verified,0a48556b,,,,10-Pocket-Monsters-Leaf-Green-Japan-.gba,96,,,Pocket Monsters LeafGreen,BPGJ,,,,7c,7c,True,,,,,target-candidate-unselected,POKEMON LEAF,Japan/Japanese,,,,01,138a71a5be83f3f3d7af3d31916a5fc7,,,,,,GBA,read-only,TARGET-POCKET-MONSTERS-OFFICIAL-SOURCE,pocket-monsters-target,,J,AGB-BPGJ,0,,,,5946f1b59e8d71cc61249661464d864185c92a5f,2957b392dc09fc8df45a660af5493368d7bd378d299862f4cc115998e9da0bf2,16777216,equal,
