bank_dec,bank_hex,western_role,JP_role,EN_source_free,JP_AO_sha1,JP_AO_trailing00,DE_sha1,DE_trailing00,EN_sha1,EN_trailing00,ES_sha1,ES_trailing00,FR_sha1,FR_trailing00,IT_sha1,IT_trailing00
32,20,Text 1,,5457,,,454d36e4265a95f5e8deeea5a112b1403d2bc4a5,2688,70f5deb41463196850f48b40b5abfb73f7d77c74,5457,7fd1abfa206cc5c41ca6ed5185643316b63f748a,3992,82194da47eef3dc2e804c376c4eb6569aa80fa33,4316,94e8874a1f4fcc423d152b74f6fd18992d143166,4549
33,21,Text 2,,4959,,,5936c9b04d3bf372af7421f90993bee0e795fc3c,2510,f5b7fc7c0ebbb1273d8e4bf7139554fbfbaee945,4959,4585444e6b9ecdc6232255dbb27fa5553024ed33,3769,e1d00f780806bcb490fe9fda880c200214db0124,4904,5bf86561479d469773c69be49f9c6449b494023d,4445
34,22,Text 3,,4871,,,bfd69463d3c7fbcbc4115829e9b5cc9d73c86af7,2435,aea5695ed3feb651b6e0e4be2db91f7b5d4fefc0,4871,9cc234379011ec2ed6fbdef0c307066c29271711,3520,b4289bcfd814688e47e19cf60114793d109f74a9,4073,0ef572ebb71f5be6a35ff96a40ceb33e4de49273,4269
35,23,Text 4,,5111,,,90e2fcc228fe88a6032d29bf9c426793cf7025a3,2477,b383ef3b379addd94260d7fecaf2f07d0481f4e9,5111,d1dea0c45e405f33435fcca4c37d5afc232a6936,4537,ed84e0cacb81ddd93630961e8c4e4e87a96d7970,4853,e791f149e8d7b6e4fa30f3b58fcdbcb482a932de,4860
36,24,Text 5,,5885,,,f8cb1bca47d2b380ed59c203c9dd93825fb737d1,2640,514f38957a9a3dd624283a8ea95246b7eb671edf,5885,ee0ff5024250c45bac58aa7c82340383fc8c233c,4929,65b99a5d4b3c039eef55dcd6f76faaf20c8b97f5,4800,7ca863e541b9209b8f9f7409449361933cedaeb8,5315
37,25,Text 6,,5576,,,e992207ee0fb9cf49f18fefff2a4a2ee9a3f74eb,3040,5aa43e94937c8f44ad4f32f2ba406440e3cdcca6,5576,5729c6456c76ebde376a6d293624f75b7c815949,4990,56f9c294427745eec539678e8b89d23c515399b5,4900,7e6889b9a7687e946166b51f993dc717115e8b77,4701
38,26,Text 7,,5253,,,92cd815779dd5665b4de6b0a86215caeec85317f,2800,2a8101ae6956c7fbd0c424d20e018e99ffde158f,5253,319311a62d01454d3d324855e5a214b055d1daea,4510,15044936ee5292ed78c65362a5a8a1f27f2fa523,3987,108504088e4418b7db8b882679e4f01e72858984,5202
39,27,Text 8,,5468,,,c08490f6c39037989fb65a0dea3650593d147599,3657,85218e42077884c662a82190e7dfc37aff52904f,5468,5e2df8955915268c919f7e0e6ca22d3a3019296f,4540,92755c85e84a569d03a6b3348b42745b12f6b8d6,5013,d17da2d8f4e13628e0d127e984e96ce808e3b81f,5073
40,28,Text 9,,5577,,,fc27300abf2b5ebcff1dedd587c9b86b1712c1c6,3399,533dcbb39001ec732873c889df17cf2d04ca4f36,5577,b67ac584c106a5a6738a46839db4d21782f12795,4669,79c263b04a51b0ce4c0f03d5f63965d7476ca3fd,4166,e8e8689975989c10ce99659ba96ad55bbe5a0905,5416
41,29,Text 10,,5228,,,9110b2bf2c2ed85950f2d12ce9a1aa7c7f6629b5,3230,c705f9c027307755d13a7f8411c95ea11835feaf,5228,396146e50bd5c6e8f306eb66178bcef38b7e06cf,4010,482c024a208e3a8d9e4cf54776b8fe80b714f141,4916,9af0f598774f32cff8979e97413bfcbfc2b5b0b0,4652
