rom,bank_dec,bank_hex,file_start,file_end,role,sha1,entropy,zero_bytes,ff_bytes,trailing_00,trailing_ff,longest_00_start,longest_00_len,longest_ff_start,longest_ff_len,same_position_vs_EN_pct,western_all5_same_pct,EN_source_free_bytes
JP_AO,0,00,000000,003FFF,ROM0 / interrupts / header / home engine + garbage padding,3f3c27f7b8960211fc903af906610c34d98e7a84,7.170967,385,170,0,1,0001,7,00DE,3,,,
JP_AO,1,01,004000,007FFF,system engine / menus / naming / marts / Pokédex display + garbage,658e0b402cfcfb73b348e28ea211f8f5d71617c8,7.269861,587,81,0,1,06DC,87,026F,8,,,
JP_AO,2,02,008000,00BFFF,audio 1 + garbage,ab1c569e0bef1f2a1430410e031248df70047316,6.979873,386,255,1,0,0504,3,0000,3,,,
JP_AO,3,03,00C000,00FFFF,overworld core / items / hidden-event dispatch + garbage,6bd8547d7892b51a977325d69ec9bd3bd9a92e62,7.336372,398,254,0,1,31B6,8,304E,6,,,
JP_AO,4,04,010000,013FFF,move names + NPC sprites 1 + font + battle engine 1 + garbage,58dc26595a4912d4e9b982d542b53d5bfb06bddc,6.799314,2161,301,0,0,1C7F,283,19F9,16,,,
JP_AO,5,05,014000,017FFF,NPC sprites 2 + battle engine 2 + garbage,c79c041b521451e5850bc3b54f8f0c05b8da440b,6.306250,800,179,0,1,3779,11,2CA8,4,,,
JP_AO,6,06,018000,01BFFF,maps 1-2 + play time + doors/ledges + garbage,b32c6b738774849da75a7c4bb47bd90356986507,7.256267,368,157,1,0,1CCE,6,02E2,2,,,
JP_AO,7,07,01C000,01FFFF,maps 3-4 + clear save + hidden events 1 + garbage,633525341119f61b6f91b2160ff8a3bf730b252d,7.180663,373,228,0,1,08A5,5,3FEF,3,,,
JP_AO,8,08,020000,023FFF,audio 2,ecc410117d05472d5face73eb53470407812765b,7.061910,313,284,0,0,0429,3,0000,3,,,
JP_AO,9,09,024000,027FFF,Pokémon pics 1 + battle engine 3 + garbage,badae8ebbc4298561e4b73ecbe064a9bf6e5784b,7.823547,28,259,0,1,0C5F,1,2906,4,,,
JP_AO,10,0A,028000,02BFFF,Pokémon pics 2 + battle engine 4 + garbage,e2228c5b805beee48b2e1489c7c1282c96d6fda2,7.821027,41,314,0,1,02FF,1,0572,3,,,
JP_AO,11,0B,02C000,02FFFF,Pokémon pics 3 + battle engine 5 + garbage,df2da00a2535ea70186f90f7792eb2c55c0bd3b9,7.810269,224,370,0,1,3D24,14,08A2,3,,,
JP_AO,12,0C,030000,033FFF,Pokémon pics 4 + battle engine 6 + garbage,646b718c30c60121331f2db4fc244b1d48ed8ca9,7.815353,31,306,0,1,0BC7,1,09CD,3,,,
JP_AO,13,0D,034000,037FFF,Pokémon pics 5 + slots + garbage,3aba8b2bc8369e347cf275af8f0a924fe7cb2a1e,7.804504,300,441,0,1,3C1B,16,11E2,5,,,
JP_AO,14,0E,038000,03BFFF,battle engine 7 incl. Pokémon names/data + garbage,69e954f1cfdb580b7233c7da806428546aa7971e,7.139959,2021,373,0,1,2E71,26,2E17,8,,,
JP_AO,15,0F,03C000,03FFFF,battle core,d3a40caff3d0863fa573190be730c62310a093f1,7.083385,295,65,0,1,348F,4,0010,1,,,
JP_AO,16,10,040000,043FFF,Pokédex/trade/intro + garbage,4e39c442afc4b87b3bf4e183e08869205e10b27e,6.926023,1473,428,0,0,3866,163,373B,17,,,
JP_AO,17,11,044000,047FFF,maps 5-6 + rating + hidden core + garbage,b51b49dd69864efe1d2b3147c8e08bae3acc2ae3,7.211063,354,337,0,0,001C,2,0064,2,,,
JP_AO,18,12,048000,04BFFF,maps 7-8 + screen effects + garbage,61df00cf006290c81d0474cbea485b593045816f,7.126985,401,216,0,0,00D0,2,0596,2,,,
JP_AO,19,13,04C000,04FFFF,trainer pics + maps 9 + predefs + garbage,fad644712faccf84abda5aee8846dabeb9f7546a,7.836431,35,327,0,1,3D52,2,2BE7,4,,,
JP_AO,20,14,050000,053FFF,maps 10 + battle engine 8 + hidden 2 + garbage,ad3e5ea5db776f005b70582e2f595ebb80349f4e,7.290576,339,166,0,1,1511,6,0030,2,,,
JP_AO,21,15,054000,057FFF,maps 11-12 + battle engine 9 + diploma/trainer sight + garbage,04730d346be6a74f4b0b0546fedbbc99de61443d,7.154434,400,129,0,1,06A2,2,0047,2,,,
JP_AO,22,16,058000,05BFFF,maps 13-14 + battle engine 10 + Saffron guards + garbage,c948152db434eb6bf106dc101eb0d159fd2192e2,7.173252,385,135,1,0,10B9,3,06F5,2,,,
JP_AO,23,17,05C000,05FFFF,maps 15-16 + starter dex + hidden 3 + garbage,0fac544bd6f5dfd7ed736d9d61c935391b7555a3,7.100665,376,199,0,1,004F,5,04FB,2,,,
JP_AO,24,18,060000,063FFF,maps 17-18 + Cinnabar lab + hidden 4 + garbage,406068f3e1530dc4332e8511ef98de7edba8718e,7.046184,385,187,0,1,136F,6,050A,2,,,
JP_AO,25,19,064000,067FFF,tilesets 1 + garbage,2ff9dfdcc4e131f90f816058e1815f27f2e36bd0,6.506266,1501,1594,0,0,0229,23,2BD0,17,,,
JP_AO,26,1A,068000,06BFFF,battle engine 11 + version gfx + tilesets 2 + garbage,56036658f41b5e1b2a1582ddade0c19b010b4fc4,6.371368,1037,1294,0,1,29EE,17,351F,18,,,
