bank_dec,bank_hex,role,all5_same_bytes,all5_same_pct,used_union_len,all5_same_pct_used_union,used_common_len,all5_same_pct_used_common,shared_runs_ge32,shared_runs_ge32_bytes,longest_shared_run,DE_BLUE_vs_EN_pct,DE_BLUE_trailing_00,EN_BLUE_vs_EN_pct,EN_BLUE_trailing_00,ES_BLUE_vs_EN_pct,ES_BLUE_trailing_00,FR_BLUE_vs_EN_pct,FR_BLUE_trailing_00,IT_BLUE_vs_EN_pct,IT_BLUE_trailing_00
0,00,ROM0 / interrupts / header / home engine,4842,29.553223,16325,29.298622,16294,29.354364,23,1433,237,62.536621,64,100.000000,90,38.348389,59,31.762695,61,62.396240,66
1,01,system engine / menus / naming / marts / Pokédex display,2328,14.208984,15546,9.584459,15431,9.655887,8,1676,838,17.663574,953,100.000000,951,17.773438,868,15.979004,838,16.809082,930
2,02,audio headers + SFX + audio engine 1 + music 1,16370,99.914551,16372,99.914488,16372,99.914488,3,16249,9319,99.951172,12,100.000000,12,99.914551,12,99.914551,12,99.951172,12
3,03,overworld core / items / hidden-event dispatch / field logic,7428,45.336914,15436,41.979788,15418,42.028798,15,5269,1769,46.917725,957,100.000000,950,47.222900,948,52.807617,966,47.393799,956
4,04,NPC sprites 1 + font + battle engine 1,10135,61.859131,15060,58.505976,15008,58.708689,9,9660,7138,63.201904,1362,100.000000,1376,62.597656,1329,63.134766,1359,62.597656,1324
5,05,NPC sprites 2 + battle engine 2,15881,96.929932,16223,96.899464,16208,96.989141,8,15591,14401,96.978760,176,100.000000,161,96.966553,176,96.929932,176,96.978760,176
6,06,maps 1-2 + play time + doors/ledges,11769,71.832275,10013,53.909917,10008,53.936851,6,9963,6371,72.015381,6371,100.000000,6376,71.929932,6371,72.216797,6371,72.229004,6371
7,07,maps 3-4 + Pokémon names + hidden events 1,9629,58.770752,11458,41.045558,11455,41.056307,21,6436,4926,89.270020,4929,100.000000,4926,66.064453,4926,60.644531,4926,66.369629,4927
8,08,audio headers + SFX + audio engine 2 + music 2,5361,32.720947,16221,32.044880,16209,32.062434,7,5131,4211,38.214111,163,100.000000,174,37.548828,169,45.043945,170,35.021973,175
9,09,Pokémon pics 1 + battle engine 3,15867,96.844482,16342,96.836373,16300,97.085890,2,15766,15724,97.302246,77,100.000000,72,97.058105,55,97.119141,84,96.984863,42
10,0A,Pokémon pics 2 + battle engine 4,16368,99.902344,16124,99.900769,16124,99.900769,2,16304,16042,99.902344,260,100.000000,260,99.902344,260,99.902344,260,99.902344,260
11,0B,Pokémon pics 3 + battle engine 5,16355,99.822998,16188,99.820855,16188,99.820855,4,16201,15228,99.822998,196,100.000000,196,99.822998,196,99.822998,196,99.822998,196
12,0C,Pokémon pics 4 + battle engine 6,16364,99.877930,16272,99.877089,16272,99.877089,2,16286,16172,99.877930,112,100.000000,112,99.877930,112,99.877930,112,99.877930,112
13,0D,Pokémon pics 5 + slot machines,13692,83.569336,16020,83.196005,16008,83.258371,2,13379,13015,98.992920,376,100.000000,376,99.078369,376,83.581543,364,83.605957,364
14,0E,battle engine 7 + move/base-stat/cry/evolution data,7614,46.472168,15392,43.022349,15334,43.185079,5,7198,5764,51.025391,1042,100.000000,1050,49.597168,1037,50.640869,1047,48.852539,992
15,0F,battle core + battle effects,4452,27.172852,15325,22.140294,15303,22.172123,14,1722,1059,29.016113,1081,100.000000,1080,35.559082,1059,28.875732,1073,29.827881,1065
16,10,Pokédex menu + trade/intro movies,7028,42.895508,10227,8.516672,10085,8.636589,4,6370,6157,46.887207,6299,100.000000,6157,47.796631,6269,46.960449,6279,47.772217,6267
