file,bank,offset_start,offset_end,sha1,entropy,zero_bytes,ff_bytes,all_zero,all_ff,unique_byte_values
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0,0,16383,bf5661ca44cdee2e1827016ef556aa36e17108cc,7.118842,537,159,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,1,16384,32767,18e2ff1ec7781f862bb0992bdc2a9dc791bb03fd,7.014147,1496,84,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,2,32768,49151,798122e37bba533e8814747f105ad37117986a06,6.978258,396,255,False,False,254
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,3,49152,65535,ccee9b6b5b6ec513ff27eb6bc45f5b22dc010025,7.135723,1301,264,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,4,65536,81919,09f7fc7b6cd92d2ac10e4ef757dd3c6cda104518,6.238121,3805,369,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,5,81920,98303,1031cbe0426a95e76bd18b519bcde126209e7e9b,6.244994,978,177,False,False,253
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,6,98304,114687,b2a22d6798088c6ae633a9034f7f60933d7bd15f,5.195565,6554,147,False,False,254
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,7,114688,131071,82eb3afbf415e16abd3bdeac198befe77f3e68a8,5.694355,5117,218,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,8,131072,147455,af6ac20e70c189535140727b75a536563229a79f,7.027123,458,284,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,9,147456,163839,f9f9d123ed48dfe0366c43192bd7ad105be030fd,7.817177,88,233,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,10,163840,180223,adc20a64213648943b2bfeb82c5bfa53b0147c4b,7.809071,270,255,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,11,180224,196607,1e9c6f9b6af6d91a196bcc795b4b23fdfff59c55,7.746934,638,331,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,12,196608,212991,e4674f6718c051310376275dd11609411739b498,7.815409,123,280,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,13,212992,229375,12cd5f0c9d22fdb916cdb615878d08de0c1aa81f,7.748914,622,399,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,14,229376,245759,d1f451c3e75dacd7826147e41d386b6a400e8a81,6.790958,3053,368,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,15,245760,262143,3aff39922f22d26a3e4ed106261333a3bf185ded,6.870752,1298,54,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,16,262144,278527,9a5690d5d644d4b7bac665749d2f0b1cb2ae8749,4.760896,7773,430,False,False,256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,17,278528,294911,6c589d675fcb3b03e211c6260fe7a78bb3e706e9,6.02038,4122,326,False,False,254
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,18,294912,311295,ff9a68088f8649b88a66e48c3d08d234e33f62f6,4.774817,7446,202,False,False,255
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,19,311296,327679,af89cd758dd741ea937d86334fcd43b93be29210,7.832048,119,327,False,False,256
