file,bank,offset_start,offset_end,sha1,entropy,zero_bytes,ff_bytes,all_zero,all_ff,unique_byte_values
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0,0,16383,cf785a689639826f7a9ae2eda88e8d6cdeebc54e,7.129822,573,161,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1,16384,32767,f39c9737b3d36c15782666a05ab0ac3691a77eb3,7.035003,1485,85,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",2,32768,49151,466a84098c3df3e7a767b2a18846cbec9e98550d,6.978287,396,255,False,False,254
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",3,49152,65535,37ce99e1cc36b56c41a604337a057b30cf3fba0c,7.139818,1309,253,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",4,65536,81919,46e2b9663e3ea9fa6703ef58d6d7c29dcabfc5ab,6.180473,3979,359,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",5,81920,98303,efe18ca8e07ece64f76cfc4780e4413a27e38926,6.247522,963,177,False,False,251
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",6,98304,114687,d5c3b6f8a853fc321dbaef95d547cc66d1764ead,5.187322,6559,149,False,False,252
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",7,114688,131071,521af681a3e4c9d45521d2e3921d008fffa1a436,5.711933,5113,217,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",8,131072,147455,2b77916418ed61d8787ad77029f9ea08e158e12f,7.018691,468,285,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",9,147456,163839,7e54fcda332d9d3767042fb4c18ca4bdd5eda2a9,7.814898,84,233,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",10,163840,180223,8190a9213c0244043ce018c6e494531913f6ee00,7.808805,270,255,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",11,180224,196607,01277e001ed9ac257d8afb678528b70cd34c6bac,7.747118,638,331,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",12,196608,212991,b98c55406c15bfa81968914f33076c826e01383c,7.815457,121,280,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",13,212992,229375,04d47d67f8c7ca0ed2420162d34597ab655d276d,7.749646,622,399,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",14,229376,245759,c2df217d01e65752b20bd53b5e566913169c48f4,6.784958,3059,367,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",15,245760,262143,bf8b2db73ffd9e2aad3b0a1850afd436c27bab05,6.875013,1295,45,False,False,255
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",16,262144,278527,0262bd539db613059fab8f80909b5256ce9d3fb8,4.825175,7628,426,False,False,255
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",17,278528,294911,0ead61a0b929368d14c8fcf557952f8d3d0ddde5,6.020109,4122,326,False,False,253
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",18,294912,311295,e174e5deda87b69be86d25bb54e99da601c39c4b,4.763599,7446,204,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",19,311296,327679,6ae5df7f883014e15f50e214837f48acc94dfb4b,7.832796,118,326,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",20,327680,344063,9af2fa9944e431e0d8f9885916213c5f65f5e2ee,5.546807,5699,162,False,False,254
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",21,344064,360447,f9e0e10fa88d678f485523241cb3524b6f9f183b,5.462869,5684,128,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",22,360448,376831,3efd9b0faba5c087c3989052ed52661bb5870faf,5.090369,6834,127,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",23,376832,393215,2808151e38cce83885ad9bc7c00cae66481bd39f,4.329554,8598,187,False,False,252
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",24,393216,409599,36b907a9783ae00ef1eea92357cb88c45284ef7b,4.815504,7031,185,False,False,254
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",25,409600,425983,41d0ea917b41d3f8796b549fd0ef63427fbd1ab1,6.498429,1531,1591,False,False,255
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",26,425984,442367,ac5aa0c95bcae04d82fc0a4d2a44fdcc5de908dd,6.368331,1051,1294,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",27,442368,458751,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428,1420,1810,False,False,255
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",28,458752,475135,ef6a86911a346e202c3a180ff4f376e13a590972,6.466403,3406,360,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",29,475136,491519,67815554da087e1129e16ba369348e365b33da50,5.433299,6160,208,False,False,255
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",30,491520,507903,48af43ba8782a67364f10e686ac79fa54e1afb32,6.791057,2253,599,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",31,507904,524287,b42fad01373c0ac759b78f738e0f5dbeb1984f8f,7.06525,409,286,False,False,256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",32,524288,540671,70f5deb41463196850f48b40b5abfb73f7d77c74,4.333143,5737,6,False,False,95
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",33,540672,557055,f5b7fc7c0ebbb1273d8e4bf7139554fbfbaee945,4.473673,5164,0,False,False,89
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",34,557056,573439,aea5695ed3feb651b6e0e4be2db91f7b5d4fefc0,4.583159,5235,4,False,False,122
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",35,573440,589823,b383ef3b379addd94260d7fecaf2f07d0481f4e9,4.427596,5382,3,False,False,87
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",36,589824,606207,514f38957a9a3dd624283a8ea95246b7eb671edf,4.204826,6197,1,False,False,91
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",37,606208,622591,5aa43e94937c8f44ad4f32f2ba406440e3cdcca6,4.328017,5838,4,False,False,101
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",38,622592,638975,2a8101ae6956c7fbd0c424d20e018e99ffde158f,4.39829,5438,0,False,False,90
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",39,638976,655359,85218e42077884c662a82190e7dfc37aff52904f,4.392017,5679,2,False,False,86
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",40,655360,671743,533dcbb39001ec732873c889df17cf2d04ca4f36,4.330999,5803,3,False,False,96
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",41,671744,688127,c705f9c027307755d13a7f8411c95ea11835feaf,4.512995,5463,0,False,False,92
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",42,688128,704511,1a7e39fee5d9b8029045dcb807eeb63f717a40f8,0.510864,15616,0,False,False,57
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",43,704512,720895,a9965d84d7e03bcf467d90912bb0150178deab80,4.629839,2143,0,False,False,71
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",44,720896,737279,ef9429bfefb02cfac0e04046d6df0966df3906f9,0.869819,14833,0,False,False,30
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",45,737280,753663,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",46,753664,770047,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",47,770048,786431,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",48,786432,802815,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",49,802816,819199,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",50,819200,835583,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",51,835584,851967,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",52,851968,868351,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",53,868352,884735,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",54,884736,901119,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",55,901120,917503,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",56,917504,933887,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",57,933888,950271,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",58,950272,966655,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",59,966656,983039,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",60,983040,999423,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",61,999424,1015807,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",62,1015808,1032191,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",63,1032192,1048575,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
