file,bank,offset_start,offset_end,sha1,entropy,zero_bytes,ff_bytes,all_zero,all_ff,unique_byte_values
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,0,0,16383,3f3c27f7b8960211fc903af906610c34d98e7a84,7.170967,385,170,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,1,16384,32767,658e0b402cfcfb73b348e28ea211f8f5d71617c8,7.269861,587,81,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,2,32768,49151,ab1c569e0bef1f2a1430410e031248df70047316,6.979873,386,255,False,False,254
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,3,49152,65535,6bd8547d7892b51a977325d69ec9bd3bd9a92e62,7.336372,398,254,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,4,65536,81919,58dc26595a4912d4e9b982d542b53d5bfb06bddc,6.799314,2161,301,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,5,81920,98303,c79c041b521451e5850bc3b54f8f0c05b8da440b,6.30625,800,179,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,6,98304,114687,b32c6b738774849da75a7c4bb47bd90356986507,7.256267,368,157,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,7,114688,131071,633525341119f61b6f91b2160ff8a3bf730b252d,7.180663,373,228,False,False,253
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,8,131072,147455,ecc410117d05472d5face73eb53470407812765b,7.06191,313,284,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,9,147456,163839,badae8ebbc4298561e4b73ecbe064a9bf6e5784b,7.823547,28,259,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,10,163840,180223,e2228c5b805beee48b2e1489c7c1282c96d6fda2,7.821027,41,314,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,11,180224,196607,df2da00a2535ea70186f90f7792eb2c55c0bd3b9,7.810269,224,370,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,12,196608,212991,646b718c30c60121331f2db4fc244b1d48ed8ca9,7.815353,31,306,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,13,212992,229375,3aba8b2bc8369e347cf275af8f0a924fe7cb2a1e,7.804504,300,441,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,14,229376,245759,69e954f1cfdb580b7233c7da806428546aa7971e,7.139959,2021,373,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,15,245760,262143,d3a40caff3d0863fa573190be730c62310a093f1,7.083385,295,65,False,False,255
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,16,262144,278527,4e39c442afc4b87b3bf4e183e08869205e10b27e,6.926023,1473,428,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,17,278528,294911,b51b49dd69864efe1d2b3147c8e08bae3acc2ae3,7.211063,354,337,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,18,294912,311295,61df00cf006290c81d0474cbea485b593045816f,7.126985,401,216,False,False,255
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,19,311296,327679,fad644712faccf84abda5aee8846dabeb9f7546a,7.836431,35,327,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,20,327680,344063,ad3e5ea5db776f005b70582e2f595ebb80349f4e,7.290576,339,166,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,21,344064,360447,04730d346be6a74f4b0b0546fedbbc99de61443d,7.154434,400,129,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,22,360448,376831,c948152db434eb6bf106dc101eb0d159fd2192e2,7.173252,385,135,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,23,376832,393215,0fac544bd6f5dfd7ed736d9d61c935391b7555a3,7.100665,376,199,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,24,393216,409599,406068f3e1530dc4332e8511ef98de7edba8718e,7.046184,385,187,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,25,409600,425983,2ff9dfdcc4e131f90f816058e1815f27f2e36bd0,6.506266,1501,1594,False,False,255
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,26,425984,442367,56036658f41b5e1b2a1582ddade0c19b010b4fc4,6.371368,1037,1294,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,27,442368,458751,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428,1420,1810,False,False,255
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,28,458752,475135,7b6e17254e6b33add162f0b050e9e0dacba7eed4,6.884681,2213,395,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,29,475136,491519,ca13e04be321fdacb465d795cf6e34a7781b597b,7.084328,320,175,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,30,491520,507903,b4f66792c3927068d94b1f18b5788e7922aa99ff,6.802547,2185,599,False,False,256
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,31,507904,524287,e6f56f437aa0818bbca734936d91644434ff803c,7.066824,404,286,False,False,256
