move_id,identifier,field,rom_offset,old_raw,new_raw,old_display,new_display
13,razor-wind,accuracy,0x396A4,191,255,75,100
14,swords-dance,pp,0x396AB,30,20,30,20
17,wing-attack,power,0x396BA,35,60,35,60
19,fly,power,0x396C6,70,90,70,90
20,bind,accuracy,0x396CE,191,216,75,85
22,vine-whip,power,0x396D8,35,45,35,45
22,vine-whip,pp,0x396DB,10,25,10,25
26,jump-kick,power,0x396F0,70,100,70,100
26,jump-kick,pp,0x396F3,25,10,25,10
33,tackle,power,0x3971A,35,40,35,40
33,tackle,accuracy,0x3971C,242,255,95,100
35,wrap,accuracy,0x39728,216,229,85,90
37,thrash,power,0x39732,90,120,90,120
37,thrash,pp,0x39735,20,10,20,10
38,double-edge,power,0x39738,100,120,100,120
42,pin-missile,power,0x39750,14,25,14,25
42,pin-missile,accuracy,0x39752,216,242,85,95
50,disable,accuracy,0x39782,140,255,55,100
53,flamethrower,power,0x39792,95,90,95,90
56,hydro-pump,power,0x397A4,120,110,120,110
57,surf,power,0x397AA,95,90,95,90
58,ice-beam,power,0x397B0,95,90,95,90
59,blizzard,power,0x397B6,120,110,120,110
59,blizzard,accuracy,0x397B8,229,178,90,70
66,submission,pp,0x397E3,25,20,25,20
67,low-kick,accuracy,0x397E8,229,255,90,100
71,absorb,pp,0x39801,20,25,20,25
72,mega-drain,pp,0x39807,10,15,10,15
74,growth,pp,0x39813,40,20,40,20
80,petal-dance,power,0x39834,70,120,70,120
80,petal-dance,pp,0x39837,20,10,20,10
83,fire-spin,power,0x39846,15,35,15,35
83,fire-spin,accuracy,0x39848,178,216,70,85
85,thunderbolt,power,0x39852,95,90,95,90
86,thunder-wave,accuracy,0x3985A,255,229,100,90
87,thunder,power,0x3985E,120,110,120,110
88,rock-throw,accuracy,0x39866,165,229,65,90
91,dig,power,0x39876,100,80,100,80
92,toxic,accuracy,0x3987E,216,229,85,90
105,recover,pp,0x398CD,20,5,20,5
107,minimize,pp,0x398D9,20,10,20,10
112,barrier,pp,0x398F7,30,20,30,20
120,self-destruct,power,0x39924,130,200,130,200
122,lick,power,0x39930,20,30,20,30
123,smog,power,0x39936,20,30,20,30
126,fire-blast,power,0x39948,120,110,120,110
128,clamp,pp,0x39957,10,15,10,15
128,clamp,accuracy,0x39956,191,216,75,85
130,skull-bash,power,0x39960,100,130,100,130
130,skull-bash,pp,0x39963,15,10,15,10
136,high-jump-kick,power,0x39984,85,130,85,130
136,high-jump-kick,pp,0x39987,20,10,20,10
137,glare,accuracy,0x3998C,191,255,75,100
139,poison-gas,accuracy,0x39998,140,229,55,90
141,leech-life,power,0x399A2,20,80,20,80
141,leech-life,pp,0x399A5,15,10,15,10
145,bubble,power,0x399BA,20,40,20,40
148,flash,accuracy,0x399CE,178,255,70,100
149,psywave,accuracy,0x399D4,204,255,80,100
151,acid-armor,pp,0x399E1,40,20,40,20
152,crabhammer,power,0x399E4,90,100,90,100
152,crabhammer,accuracy,0x399E6,216,229,85,90
153,explosion,power,0x399EA,170,250,170,250
165,struggle,pp,0x39A35,10,1,10,1
