move_id,identifier,domain,status,rom_offset,old,new,notes
13,razor-wind,accuracy,implemented,0x396A4,75,100,direct move-table field
14,swords-dance,pp,implemented,0x396AB,30,20,direct move-table field
16,gust,effect/effect_chance,deferred-engine-extension,,,current,Fly-target interaction requires effect extension
17,wing-attack,power,implemented,0x396BA,35,60,direct move-table field
18,whirlwind,priority,implemented-generalized-order,Rev0 0x3C31C / RevA 0x3C31E,legacy/hard-coded,-6,6-entry priority table; equal priority uses original speed/tie semantics
19,fly,power,implemented,0x396C6,70,90,direct move-table field
20,bind,accuracy,implemented,0x396CE,75,85,direct move-table field
22,vine-whip,power,implemented,0x396D8,35,45,direct move-table field
22,vine-whip,pp,implemented,0x396DB,10,25,direct move-table field
26,jump-kick,power,implemented,0x396F0,70,100,direct move-table field
26,jump-kick,pp,implemented,0x396F3,25,10,direct move-table field
33,tackle,accuracy,implemented,0x3971C,95,100,direct move-table field
33,tackle,power,implemented,0x3971A,35,40,direct move-table field
35,wrap,accuracy,implemented,0x39728,85,90,direct move-table field
37,thrash,power,implemented,0x39732,90,120,direct move-table field
37,thrash,pp,implemented,0x39735,20,10,direct move-table field
38,double-edge,effect/effect_chance,deferred-engine-extension,,,current,modern recoil fraction requires recoil-engine semantics change
38,double-edge,power,implemented,0x39738,100,120,direct move-table field
40,poison-sting,effect/effect_chance,deferred-engine-extension,,,current,30% poison needs third poison probability; original 20% code is also used by Twineedle
42,pin-missile,accuracy,implemented,0x39752,85,95,direct move-table field
42,pin-missile,power,implemented,0x39750,14,25,direct move-table field
44,bite,effect_code,implemented,0x3975B,0x1F,0x25,flinch chance 10% -> 30%
46,roar,priority,implemented-generalized-order,Rev0 0x3C31C / RevA 0x3C31E,legacy/hard-coded,-6,6-entry priority table; equal priority uses original speed/tie semantics
50,disable,accuracy,implemented,0x39782,55,100,direct move-table field
51,acid,effect_chance,implemented-global-handler,Rev0 0x3F8C8 / RevA 0x3F8CD,33.2%,10%,shared stat-lowering side-effect handler
53,flamethrower,power,implemented,0x39792,95,90,direct move-table field
56,hydro-pump,power,implemented,0x397A4,120,110,direct move-table field
57,surf,power,implemented,0x397AA,95,90,direct move-table field
58,ice-beam,power,implemented,0x397B0,95,90,direct move-table field
59,blizzard,accuracy,implemented,0x397B8,90,70,direct move-table field
59,blizzard,effect_code,implemented,0x397B5,0x23,0x05,freeze chance 30% (JP Green) -> 10%
59,blizzard,power,implemented,0x397B6,120,110,direct move-table field
61,bubble-beam,effect_chance,implemented-global-handler,Rev0 0x3F8C8 / RevA 0x3F8CD,33.2%,10%,shared stat-lowering side-effect handler
62,aurora-beam,effect_chance,implemented-global-handler,Rev0 0x3F8C8 / RevA 0x3F8CD,33.2%,10%,shared stat-lowering side-effect handler
66,submission,pp,implemented,0x397E3,25,20,direct move-table field
67,low-kick,accuracy,implemented,0x397E8,90,100,direct move-table field
67,low-kick,effect/effect_chance,deferred-engine-extension,,,current,obsolete flinch removed; weight-based variable power still requires engine extension
67,low-kick,effect_code,implemented,0x397E5,0x25,0x00,remove obsolete 30% flinch; weight-based power remains deferred
68,counter,priority,implemented-generalized-order,Rev0 0x3C31C / RevA 0x3C31E,legacy/hard-coded,-5,6-entry priority table; equal priority uses original speed/tie semantics
