revision,dex,name_en,rom_offset,gen1_hp,gen1_attack,gen1_defense,gen1_speed,gen1_special,current_hp,current_attack,current_defense,current_sp_attack,current_sp_defense,current_speed,explicit_later_change_generation,explicit_later_change,green_record_hex
REV-0,12,Butterfree,0x38134,60,45,50,70,80,60,45,50,90,80,70,Gen VI,Sp. Atk 80→90,0c3c2d32465007022da077734ab74c5d000000002a4338f043280200
REV-0,15,Beedrill,0x38188,65,80,40,75,45,65,90,40,45,80,75,Gen VI,Attack 80→90,0f4150284b2d07032d9f77f076e0781f00000000244318c0c3080600
REV-0,18,Pidgeot,0x381DC,83,80,75,91,70,83,80,75,70,70,101,Gen VI,Speed 91→101,1253504b5b4600022dac772f78567a101c6200032a4308c0430c0a00
REV-0,24,Arbok,0x38284,60,85,69,80,65,60,95,69,65,79,80,Gen VII,Attack 85→95,183c5545504103035a9377a457bc59232b280000a04318ce82882200
REV-0,25,Pikachu,0x382A0,35,55,30,90,50,35,55,40,50,50,90,Gen VI,Defense 30→40; Sp. Def 40→50,1923371e5a321717be5255c54cce4d542d000000b1838dc1c3184200
REV-0,26,Raichu,0x382BC,60,90,55,100,90,60,90,55,90,80,110,Gen VI,Speed 100→110,1a3c5a37645a17174b7a77464e2050542d560000b1c38dc1c3184200
REV-0,31,Nidoqueen,0x38348,90,82,87,76,75,90,92,87,75,85,76,Gen VI,Attack 82→92,1f5a52574c4b03042dc277545e6160210a272203f1ff8fc7a3883200
REV-0,34,Nidoking,0x3839C,81,92,77,85,75,81,102,77,85,75,85,Gen VI,Attack 92→102,22515c4d554b03042dc277545e6160210a272203f1ff8fc7a3883200
REV-0,36,Clefable,0x383D4,95,70,73,60,85,95,70,73,95,90,60,Gen VI,Sp. Atk 85→95,245f46493c5500001981667766a3672f036b7604b17faff1a7386300
REV-0,40,Wigglytuff,0x38444,140,70,45,45,50,140,70,45,85,50,45,Gen VI,Sp. Atk 75→85,288c462d2d320000326d664162be632f326f0304b17faff1a3386300
REV-0,45,Vileplume,0x384D0,75,80,85,50,100,75,80,85,110,90,50,Gen VI,Sp. Atk 100→110,2d4b5055326416032db877776c316e4e4f335003a44338c003080600
REV-0,51,Dugtrio,0x38578,35,80,50,120,70,35,100,50,50,70,120,Gen VII,Attack 80→100,33235032784604043299665f42fe430a2d5b0000a04308ce02880200
REV-0,62,Poliwrath,0x386AC,90,85,95,70,70,90,95,95,70,90,70,Gen VI,Attack 85→95,3e5a555f464615012db9770873ad745f37032203b17f0fd686283200
REV-0,65,Alakazam,0x38700,55,50,45,120,135,55,50,45,135,95,120,Gen VI,Sp. Def 85→95,4137322d7887181832ba7758738d75645d320003b1430ff887384300
REV-0,71,Victreebel,0x387A8,80,105,65,70,100,80,105,65,100,70,70,Gen VI,Sp. Def 60→70,47506941466416032dbf7785711c734f4e334b03a44338c003080600
REV-0,76,Golem,0x38834,80,110,130,45,55,80,120,130,55,65,45,Gen VI,Attack 110→120,4c506e822d3705042db166b45f5f61216f000003b1430fce2ec82200
REV-0,83,Farfetch'd,0x388F8,52,65,55,60,58,52,90,55,58,62,60,Gen VII,Attack 65→90,533441373c3a00022d5e66a1711973401c000000ae0308c0c3080e00
REV-0,85,Dodrio,0x38930,60,110,70,100,60,60,110,70,60,60,110,Gen VII,Speed 100→110,553c6e46643c00022d9e774879517b402d1f0000a84308c0830c0b00
REV-0,101,Electrode,0x38AF0,60,50,70,140,80,60,50,70,80,80,150,Gen VII,Speed 140→150,653c32468c5017173c9653d6512662167310000204188e1cb584200
REV-0,103,Exeggutor,0x38B28,95,95,85,55,125,95,95,85,125,75,55,Gen VII,Sp. Def 65→75,675f5f55377d16182dd477b35100548c5f000005204338f01b682200
REV-A,12,Butterfree,0x38134,60,45,50,70,80,60,45,50,90,80,70,Gen VI,Sp. Atk 80→90,0c3c2d32465007022da077734ab74c5d000000002a4338f043280200
REV-A,15,Beedrill,0x38188,65,80,40,75,45,65,90,40,45,80,75,Gen VI,Attack 80→90,0f4150284b2d07032d9f77f076e0781f00000000244318c0c3080600
REV-A,18,Pidgeot,0x381DC,83,80,75,91,70,83,80,75,70,70,101,Gen VI,Speed 91→101,1253504b5b4600022dac772f78567a101c6200032a4308c0430c0a00
REV-A,24,Arbok,0x38284,60,85,69,80,65,60,95,69,65,79,80,Gen VII,Attack 85→95,183c5545504103035a9377a457bc59232b280000a04318ce82882200
REV-A,25,Pikachu,0x382A0,35,55,30,90,50,35,55,40,50,50,90,Gen VI,Defense 30→40; Sp. Def 40→50,1923371e5a321717be5255c54cce4d542d000000b1838dc1c3184200
