bank_hex,bank_dec,file_start_hex,file_end_hex,sha1,sha256,entropy_bits_per_byte,ff_bytes,ff_percent,zero_bytes,zero_percent,longest_ff_run,longest_zero_run
00,0,000000,003FFF,ea4e846d437aeda413b99a9351058c4078e138e4,8a76064d73a67d28ee674f93ed1c7d897615eaaec81ea2a30da5a9b0f11f4c79,7.153624,200,1.2207,368,2.2461,3,7
01,1,004000,007FFF,684a549d7dafd4085856ca30473be2864c62b4e8,733b3b90429cc2366000c4da111618317281666291cab5368fdbe0ba3db4d00d,7.255463,102,0.6226,581,3.5461,8,87
02,2,008000,00BFFF,b0aa7e34c8e5c4f2c1191ea7f9505704a1bc93c7,f7800640200368d660701f1b43689f2bb92d3335f27f112935a324c15bfa4f42,6.977057,258,1.5747,380,2.3193,3,3
03,3,00C000,00FFFF,90955297368490ccadb0b20a6ba6493788147f24,5172ddc07d8459603df0086fe5b121b4313daa87478d590840e1ea53efe1ad07,7.354959,267,1.6296,394,2.4048,6,8
04,4,010000,013FFF,243f329b7054e3657158ab97fa8519393afb3d34,1e93ad1cd0934d00f486996f7703e3d46883241ab3ca82cafcd44a129f5eff46,6.780313,311,1.8982,2173,13.2629,16,283
05,5,014000,017FFF,db0b85deeeb98ae32f8e391fdb983dce390b5d39,5fb6466d542055cdcf9f4e9e829a61ae92841ed2831d13d50d7d147bdb9b1e3c,6.298147,191,1.1658,810,4.9438,4,11
06,6,018000,01BFFF,c89c789bbf7d34e698156919d598ef7112d3b95c,61674fd3246d2990ecbf2a17a895d30362b5bad7efd39d7023e146d402cb16aa,7.241052,174,1.0620,375,2.2888,2,6
07,7,01C000,01FFFF,3defa14e68c8957db302a734860f449cb5119374,dc9359cea78181f434660f396be5e0ced9ab083a65a4d8769af26c837b497c85,7.174936,234,1.4282,378,2.3071,2,5
08,8,020000,023FFF,4f562b7171ee7900e5fa8500bdf5530ee505fb04,a8be2124fb91a90310a7b852020dbffa6d54c5ada7e8ef7d0e6dc200e12dbfbe,7.060186,287,1.7517,309,1.8860,3,3
09,9,024000,027FFF,c78d296a1573526c10af4b42842cb8ea062b02c3,92f26eab1015a9579e43f48803fd418ee4798b7f92d5218e7b48e1e762b5cfc8,7.807699,299,1.8250,16,0.0977,4,1
0A,10,028000,02BFFF,0b3bdecdbeb2792a478acbc9c0dfa28a7a1ecf9d,2db55460431594ee855e9603102f13c31faae88c1f043dce03ac30f5b90573ca,7.840425,284,1.7334,12,0.0732,5,1
0B,11,02C000,02FFFF,84dc6698c5aec1dabec371204d905f09c87a754b,c5fb1d70772169363d8a66541a1e38cdb70a7ca3da6ff1f7a0007c76328b240f,7.836648,299,1.8250,203,1.2390,3,14
0C,12,030000,033FFF,ae4366bcc8d4956a64cd6f6fc019e98af0ca298a,929ac90ea76ad841d288fc4648596559d5c0839ddf42707b4485815bb7cd8d96,7.819104,338,2.0630,12,0.0732,4,1
0D,13,034000,037FFF,623f710d726377b21627ac3c50f3aa2b0e5a210f,1cf6ec7003245e91e6a2f46a24c430df19491020f6bfaee4de64a4fd42426c2f,7.804546,549,3.3508,250,1.5259,4,17
0E,14,038000,03BFFF,0980662be6b58f1c63a62b2124273d1f16072b01,522698c4367cdc4d239446e686192d0274cf5c13d5502a9a0718e0e51083da13,7.145709,373,2.2766,2018,12.3169,8,26
0F,15,03C000,03FFFF,9c9807f0249461f981a1ddc4bd4ceb18350dc7b9,de0efb0a0221227d5527fb56d1753c40a22e08d238ba8e5581c8958bfcb7c8a6,7.065423,70,0.4272,290,1.7700,1,4
10,16,040000,043FFF,636d5f380ef191017bf457f0284c5245fb77e262,502dbc723396017316a081b172b1fb2b9b5557abb95c2baf2726f44206caca56,6.965785,438,2.6733,1259,7.6843,17,126
11,17,044000,047FFF,3c6ece3ee092846179085187ddfc1bd8a51b7a5a,0c9ec263f051e4ee94fba3ff0d19e98a17840aea638ad209cecbd372a1a7a934,7.189089,347,2.1179,361,2.2034,2,2
12,18,048000,04BFFF,af1896b2f6cef12f4205781681e5aeae190d2fdd,1965e392b9ed784402b2304d0570d187a5bc36fbb8390c4a6147f058189fe4e2,7.116142,221,1.3489,407,2.4841,2,2
13,19,04C000,04FFFF,c1abe23353d3ea4db69f05b29a3d8f09eae4fdb3,932b8d92b072f450dbb5e8dc4855220f9a05b27332f4d6d1c91e11ca856c6869,7.835600,326,1.9897,35,0.2136,4,2
14,20,050000,053FFF,601d7efd2510eb5763c874428886866dd0ea69ef,a251e9451f378dd754f181dcaa3750ef300189dbaf1a7c229ee6f33c85d52b99,7.280832,171,1.0437,341,2.0813,2,6
15,21,054000,057FFF,717d98a7614353fc6c94202021eb335c74992120,2062c3c8e34fee51714f5f972d4ecf84b97a23f66a5210ad55bc978c445d068b,7.131844,128,0.7812,405,2.4719,2,2
