bank,file_offset_start,file_offset_end,cpu_window,entropy,zero_bytes,ff_bytes,crc32,sha1,sha256
00,0x00000,0x03FFF,0000-3FFF,7.148893,364,260,82c42150,5c50c205d61da12784a5aa0fa9014e0318517326,979077c1267386064f5a3fa42b7d3a8e668d2df0c3e06c6bae26fdb1247c6be7
01,0x04000,0x07FFF,4000-7FFF,7.254003,583,82,12cd5de9,34690d3cfb7abacfd770c52d76dd3955c082a4f5,c4247538d76f301363728e4a7f89190700432132451f33d89937ece3617c03c9
02,0x08000,0x0BFFF,4000-7FFF,6.978919,379,257,04b15066,d348c7b86ddd36c2d45fef78a5fae97367df865d,533b5a6c7533f6f3f40b5fc1d17ffba84b5b7583cada723fc1e3d42577692c55
03,0x0C000,0x0FFFF,4000-7FFF,7.349282,395,262,57e882e2,6deff8266de605d8562cbdbf67b8921f2cb4e029,dfd68c0a8bc77fb0e16f1d079a38324d9b23623f5c3c7cbfadac8150026683de
04,0x10000,0x13FFF,4000-7FFF,6.778047,2173,310,ef982e54,d99683eb102a738e08163e11c4bf7bd444a49550,f77b18e01e1397725a57bc688231a5c52ed8dd628300dfa77764086b92f4c86a
05,0x14000,0x17FFF,4000-7FFF,6.302340,804,178,3143bf5f,ac4181a6e38c3372d9842c338d86ea74694a4305,dc051279962d56f656e9806f91b4607e9989c2a9cf7839a89e9a9f07816c8d35
06,0x18000,0x1BFFF,4000-7FFF,7.250023,367,166,d42146e4,01b06cb8ccb9110b631543af06ffc727a82035e4,2c2edb33e8e53d73c432225f1901aba7298086afd1468a87e51454555d366cf1
07,0x1C000,0x1FFFF,4000-7FFF,7.184923,370,217,f31d1405,f201f3741860acac72069bd9e27d18a0b1b12eda,3f7b33a64a54438d98db710ffa313171927eda4d30f4c75b17cce22a15e77268
08,0x20000,0x23FFF,4000-7FFF,7.059168,309,287,e5b2dce2,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1,946c2e747f7735488c86982d3e6fa15c887240e80b0e84c25858b285d28779a1
09,0x24000,0x27FFF,4000-7FFF,7.808880,13,288,7c0f7a13,314b4e40615342e72ace9e1d44878cce518070e2,73b926764a8fab48eee70990edf41cce53b112705bdb3d97014f96a6bfa002bf
0A,0x28000,0x2BFFF,4000-7FFF,7.840146,11,283,e7a8657f,5370045e0ff523d9102dae4753a4e1135657172f,bb56ce96522f1ced9056016e80fe4599a5e829ab181f29ac1009c755c75a2715
0B,0x2C000,0x2FFFF,4000-7FFF,7.836844,203,299,b64de9bb,07efe0e7a4b5df67fbd877d9a23265b56f840169,3b8ed6da57fb5894d08a755023d5eb12c70c8d879bba218a10c56d3b73476bf1
0C,0x30000,0x33FFF,4000-7FFF,7.819980,10,334,97355b69,26eadb4795517d29936489d446962e23d0ffa437,4d82057e843087d79f709150091cb8b19e2c902ecd1da390fc7c51e8a4447cc5
0D,0x34000,0x37FFF,4000-7FFF,7.803008,250,549,37dbc25b,1225b1bb261614c8dfffc27611148b57471ed4de,6d8d3c6832aff619ddd8bc59d9252d4ebd4b85bd48ac25690f40935d522ceee7
0E,0x38000,0x3BFFF,4000-7FFF,7.145405,2018,372,65262b0d,6f9a7d65eef81c77d8344056ac265a806fc9e597,e123cd79f6387866078e6471c52bd9a088ab3d2be7316214f3d26c520941aba9
0F,0x3C000,0x3FFFF,4000-7FFF,7.080828,292,68,a8b08d84,29766acd4191e6ce6f1467513168cd847bff8ccd,988c890788bdf774f0baed30276f1970185ea85f98c5857dfb707affe967f7ea
10,0x40000,0x43FFF,4000-7FFF,6.969505,1260,436,3b348bd9,d6880c1bfde1eb5543a9deaa333648a3c2331636,1c8b1b57ca1c9e1d1932aa8499b6557fb32845d07d8ddc89576903f1704ce8b8
11,0x44000,0x47FFF,4000-7FFF,7.196892,356,333,57391b6c,e27bf15c20ac626b708a622f3a970920b38f3766,9eed2ef183b200d827c755800be557c8886f0bd5fa438e7b104c83f04d313b4b
12,0x48000,0x4BFFF,4000-7FFF,7.127930,397,209,5f89f739,e8faafcf931045513e2210b0565435e1f7f96d8f,ecabb17585af9324b3c66f92f9f1d9cdd7c735d26c8615e44a6f774a611637aa
13,0x4C000,0x4FFFF,4000-7FFF,7.835871,35,325,3b3ebcbf,a39b3e680a40e3b74d37c1692fa847bdbce19d21,1c28fca1605d7362b5ca320489d7b56d0e931f4ec66c4445f6a92be2e89e2ba8
14,0x50000,0x53FFF,4000-7FFF,7.294475,349,169,11c31167,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9,768a410484a8a94059fe693444f8fbff99026b032fbb3e448e50822ab004f033
15,0x54000,0x57FFF,4000-7FFF,7.139841,408,127,a6f711e6,ef7edd451a6eeee4b6e41f6f932ae9990864663c,a3e0bc466c6e1b4a4dee1e8794e27270ddf6aa1b1089ae09553bed60816af4da
16,0x58000,0x5BFFF,4000-7FFF,7.160632,403,130,8e69e493,50b3d96ef2acc522863c3cfba9c8055bbc5ade04,66884ce4cbf9e30d7d611598b51c89287de9a03701a339d4a489456baf16934c
17,0x5C000,0x5FFFF,4000-7FFF,7.101634,399,189,0e259613,7cc73d86eec3d2371f13bac2869f8c365060bab6,013e19b8fc13aab1f0ea4deb897b3df6e4ab2101fb05e14effcbb3eb6c1d3d7a
18,0x60000,0x63FFF,4000-7FFF,7.049474,382,184,b64d1778,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6,11ae2cc508fb6950a9dc72621ad9eb9c06914c909c7d00f5a1aa8d3eda4a3c60
19,0x64000,0x67FFF,4000-7FFF,6.508050,1473,1584,edbca08a,b72b68391c735f3c2723fc31b02f13106cdef09f,595f12b1ecf57c7e6ae430b9ee5cf256a939ab192ce2baa3d3b30cdb4e4f7619
1A,0x68000,0x6BFFF,4000-7FFF,6.371074,1044,1292,7fc7b165,a266c160f6ace3bf3c3d40aab9c24823ff965ed2,fb25a0f866b5b96aa53087b75ff96546f82ba36ddaab0fc2f9869468deb916d3
1B,0x6C000,0x6FFFF,4000-7FFF,6.201428,1420,1810,f2272186,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e
1C,0x70000,0x73FFF,4000-7FFF,6.873593,2113,431,79587db0,4249ab5133841889a9b90b21d30edf0d62624a60,3a8b03bbb91f27f63768d1a2d466cafba4df59613d4c38852b4c177a435142a8
1D,0x74000,0x77FFF,4000-7FFF,7.091263,324,170,a552c41f,9dae16e0708e97de2af1f24f58db67bfc176974c,1122f5f5833e1473d2cd5c5d2fff68f250b8c069a08e3977ae4c7c7c91a5da63
1E,0x78000,0x7BFFF,4000-7FFF,6.782914,2202,608,484b7860,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b,7e919b57c4e8fad1fe14dc0315522fd91c6eb8845eedc13c37146a85183217ca
1F,0x7C000,0x7FFFF,4000-7FFF,7.072184,404,288,8fb1d9cf,ff43de20c18860e296b7ed16e5de19d2a298aa88,9038582544e60af0b53deef13d3994a98019551b0fd89065f7db6f139fe2a2c9
