bank,file_offset_start,file_offset_end,cpu_window,entropy,zero_bytes,ff_bytes,crc32,sha1,sha256
00,0x00000,0x03FFF,0000-3FFF,7.153624,368,200,077e23e3,ea4e846d437aeda413b99a9351058c4078e138e4,8a76064d73a67d28ee674f93ed1c7d897615eaaec81ea2a30da5a9b0f11f4c79
01,0x04000,0x07FFF,4000-7FFF,7.255463,581,102,79a02a29,684a549d7dafd4085856ca30473be2864c62b4e8,733b3b90429cc2366000c4da111618317281666291cab5368fdbe0ba3db4d00d
02,0x08000,0x0BFFF,4000-7FFF,6.977057,380,258,a5460a6a,b0aa7e34c8e5c4f2c1191ea7f9505704a1bc93c7,f7800640200368d660701f1b43689f2bb92d3335f27f112935a324c15bfa4f42
03,0x0C000,0x0FFFF,4000-7FFF,7.354959,394,267,8556b7c7,90955297368490ccadb0b20a6ba6493788147f24,5172ddc07d8459603df0086fe5b121b4313daa87478d590840e1ea53efe1ad07
04,0x10000,0x13FFF,4000-7FFF,6.780313,2173,311,a19f9fef,243f329b7054e3657158ab97fa8519393afb3d34,1e93ad1cd0934d00f486996f7703e3d46883241ab3ca82cafcd44a129f5eff46
05,0x14000,0x17FFF,4000-7FFF,6.298147,810,191,008f4c64,db0b85deeeb98ae32f8e391fdb983dce390b5d39,5fb6466d542055cdcf9f4e9e829a61ae92841ed2831d13d50d7d147bdb9b1e3c
06,0x18000,0x1BFFF,4000-7FFF,7.241052,375,174,915a4e9e,c89c789bbf7d34e698156919d598ef7112d3b95c,61674fd3246d2990ecbf2a17a895d30362b5bad7efd39d7023e146d402cb16aa
07,0x1C000,0x1FFFF,4000-7FFF,7.174936,378,234,3ecd5b01,3defa14e68c8957db302a734860f449cb5119374,dc9359cea78181f434660f396be5e0ced9ab083a65a4d8769af26c837b497c85
08,0x20000,0x23FFF,4000-7FFF,7.060186,309,287,f26a37d1,4f562b7171ee7900e5fa8500bdf5530ee505fb04,a8be2124fb91a90310a7b852020dbffa6d54c5ada7e8ef7d0e6dc200e12dbfbe
09,0x24000,0x27FFF,4000-7FFF,7.807699,16,299,2f09ba09,c78d296a1573526c10af4b42842cb8ea062b02c3,92f26eab1015a9579e43f48803fd418ee4798b7f92d5218e7b48e1e762b5cfc8
0A,0x28000,0x2BFFF,4000-7FFF,7.840425,12,284,17b3cc50,0b3bdecdbeb2792a478acbc9c0dfa28a7a1ecf9d,2db55460431594ee855e9603102f13c31faae88c1f043dce03ac30f5b90573ca
0B,0x2C000,0x2FFFF,4000-7FFF,7.836648,203,299,0404eb21,84dc6698c5aec1dabec371204d905f09c87a754b,c5fb1d70772169363d8a66541a1e38cdb70a7ca3da6ff1f7a0007c76328b240f
0C,0x30000,0x33FFF,4000-7FFF,7.819104,12,338,cec50ad9,ae4366bcc8d4956a64cd6f6fc019e98af0ca298a,929ac90ea76ad841d288fc4648596559d5c0839ddf42707b4485815bb7cd8d96
0D,0x34000,0x37FFF,4000-7FFF,7.804546,250,549,89c57a53,623f710d726377b21627ac3c50f3aa2b0e5a210f,1cf6ec7003245e91e6a2f46a24c430df19491020f6bfaee4de64a4fd42426c2f
0E,0x38000,0x3BFFF,4000-7FFF,7.145709,2018,373,53351e15,0980662be6b58f1c63a62b2124273d1f16072b01,522698c4367cdc4d239446e686192d0274cf5c13d5502a9a0718e0e51083da13
0F,0x3C000,0x3FFFF,4000-7FFF,7.065423,290,70,81b65c69,9c9807f0249461f981a1ddc4bd4ceb18350dc7b9,de0efb0a0221227d5527fb56d1753c40a22e08d238ba8e5581c8958bfcb7c8a6
10,0x40000,0x43FFF,4000-7FFF,6.965785,1259,438,a0742332,636d5f380ef191017bf457f0284c5245fb77e262,502dbc723396017316a081b172b1fb2b9b5557abb95c2baf2726f44206caca56
11,0x44000,0x47FFF,4000-7FFF,7.189089,361,347,18000a02,3c6ece3ee092846179085187ddfc1bd8a51b7a5a,0c9ec263f051e4ee94fba3ff0d19e98a17840aea638ad209cecbd372a1a7a934
12,0x48000,0x4BFFF,4000-7FFF,7.116142,407,221,d9f6991b,af1896b2f6cef12f4205781681e5aeae190d2fdd,1965e392b9ed784402b2304d0570d187a5bc36fbb8390c4a6147f058189fe4e2
13,0x4C000,0x4FFFF,4000-7FFF,7.835600,35,326,42fb698b,c1abe23353d3ea4db69f05b29a3d8f09eae4fdb3,932b8d92b072f450dbb5e8dc4855220f9a05b27332f4d6d1c91e11ca856c6869
14,0x50000,0x53FFF,4000-7FFF,7.280832,341,171,ae282400,601d7efd2510eb5763c874428886866dd0ea69ef,a251e9451f378dd754f181dcaa3750ef300189dbaf1a7c229ee6f33c85d52b99
15,0x54000,0x57FFF,4000-7FFF,7.131844,405,128,5076d6c2,717d98a7614353fc6c94202021eb335c74992120,2062c3c8e34fee51714f5f972d4ecf84b97a23f66a5210ad55bc978c445d068b
16,0x58000,0x5BFFF,4000-7FFF,7.151137,384,133,074ae3fb,b0940397d70235a1192c6a440af6be89c9a55db0,2b1bcc7bcfd7f56698b9f6503360d056922adb2e0ab2cf66aafc886f4cfffd53
17,0x5C000,0x5FFFF,4000-7FFF,7.093362,371,193,924bb650,9a0d7997c1c885d3b2fc518e5276010648eb6b64,68e54137caea1030df088a28d9e4f785e2f14c8a60e09ce0d8790da471c67af9
18,0x60000,0x63FFF,4000-7FFF,7.033718,382,188,aed7b190,e6d9783d74055b6b2400872cbc0b138966aeeeb9,fccda21285bc732fb2a4b0c5b8b3ac77ab4022cd7060edf887e8015343515300
19,0x64000,0x67FFF,4000-7FFF,6.504074,1475,1588,95017ef1,35c5fa205c031e2ea47b43740a33cadc320bffef,d03c7a0645db4318562a3de2448ce3ebcf452609ccb06bace97c9879f64a5856
1A,0x68000,0x6BFFF,4000-7FFF,6.370778,1043,1293,93a6e1fe,59ed004f46ec877f512faad982d51e8c427d8c19,119217cfeb2a38c8660bc7748e7b38cee68a86d34677d0dbc05293b003d981f7
1B,0x6C000,0x6FFFF,4000-7FFF,6.201428,1420,1810,f2272186,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e
1C,0x70000,0x73FFF,4000-7FFF,6.879579,2107,431,2ec1b573,02237adf7b392abe694f0a5ad7b435d9fda01ebf,12d4d346459554b142530490bf033bc963c326a6c74707020b1d1af67df38760
1D,0x74000,0x77FFF,4000-7FFF,7.083362,323,178,3a91c0f5,3b7cc2fa3a82a2b76fb9b481bd3a01f7b52fa47f,fd3d05338382f18686eb270f6a6012bb1cb4e9be67f6b0083810d04790e31f0b
1E,0x78000,0x7BFFF,4000-7FFF,6.785580,2200,613,198a5d4d,82b68e0ed9c8765fa36645f1ea15f122ca7e7d9a,bdbc0d8e76ce30b2ac82cb4f989379b98a24bc95c6e6566880a842bf4addd637
1F,0x7C000,0x7FFFF,4000-7FFF,7.071512,402,290,927d39bc,ac511d8b454da83f87cc82c3425e56fd62f8aa1f,e7808a019a81954f64389f2f29c4c6b77fc663b1428dcb55a79db66c66dfeca2
