bank,different_bytes,identical_bytes,different_percent,rev0_sha1,reva_sha1,identical
00,13109,3275,80.010986,5c50c205d61da12784a5aa0fa9014e0318517326,ea4e846d437aeda413b99a9351058c4078e138e4,False
01,11803,4581,72.039795,34690d3cfb7abacfd770c52d76dd3955c082a4f5,684a549d7dafd4085856ca30473be2864c62b4e8,False
02,18,16366,0.109863,d348c7b86ddd36c2d45fef78a5fae97367df865d,b0aa7e34c8e5c4f2c1191ea7f9505704a1bc93c7,False
03,366,16018,2.233887,6deff8266de605d8562cbdbf67b8921f2cb4e029,90955297368490ccadb0b20a6ba6493788147f24,False
04,233,16151,1.422119,d99683eb102a738e08163e11c4bf7bd444a49550,243f329b7054e3657158ab97fa8519393afb3d34,False
05,83,16301,0.506592,ac4181a6e38c3372d9842c338d86ea74694a4305,db0b85deeeb98ae32f8e391fdb983dce390b5d39,False
06,348,16036,2.124023,01b06cb8ccb9110b631543af06ffc727a82035e4,c89c789bbf7d34e698156919d598ef7112d3b95c,False
07,560,15824,3.417969,f201f3741860acac72069bd9e27d18a0b1b12eda,3defa14e68c8957db302a734860f449cb5119374,False
08,60,16324,0.366211,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1,4f562b7171ee7900e5fa8500bdf5530ee505fb04,False
09,519,15865,3.167725,314b4e40615342e72ace9e1d44878cce518070e2,c78d296a1573526c10af4b42842cb8ea062b02c3,False
0A,14,16370,0.085449,5370045e0ff523d9102dae4753a4e1135657172f,0b3bdecdbeb2792a478acbc9c0dfa28a7a1ecf9d,False
0B,13,16371,0.079346,07efe0e7a4b5df67fbd877d9a23265b56f840169,84dc6698c5aec1dabec371204d905f09c87a754b,False
0C,32,16352,0.195312,26eadb4795517d29936489d446962e23d0ffa437,ae4366bcc8d4956a64cd6f6fc019e98af0ca298a,False
0D,65,16319,0.396729,1225b1bb261614c8dfffc27611148b57471ed4de,623f710d726377b21627ac3c50f3aa2b0e5a210f,False
0E,79,16305,0.482178,6f9a7d65eef81c77d8344056ac265a806fc9e597,0980662be6b58f1c63a62b2124273d1f16072b01,False
0F,15403,981,94.012451,29766acd4191e6ce6f1467513168cd847bff8ccd,9c9807f0249461f981a1ddc4bd4ceb18350dc7b9,False
10,135,16249,0.823975,d6880c1bfde1eb5543a9deaa333648a3c2331636,636d5f380ef191017bf457f0284c5245fb77e262,False
11,307,16077,1.873779,e27bf15c20ac626b708a622f3a970920b38f3766,3c6ece3ee092846179085187ddfc1bd8a51b7a5a,False
12,406,15978,2.478027,e8faafcf931045513e2210b0565435e1f7f96d8f,af1896b2f6cef12f4205781681e5aeae190d2fdd,False
13,36,16348,0.219727,a39b3e680a40e3b74d37c1692fa847bdbce19d21,c1abe23353d3ea4db69f05b29a3d8f09eae4fdb3,False
14,379,16005,2.313232,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9,601d7efd2510eb5763c874428886866dd0ea69ef,False
15,313,16071,1.910400,ef7edd451a6eeee4b6e41f6f932ae9990864663c,717d98a7614353fc6c94202021eb335c74992120,False
16,330,16054,2.014160,50b3d96ef2acc522863c3cfba9c8055bbc5ade04,b0940397d70235a1192c6a440af6be89c9a55db0,False
17,397,15987,2.423096,7cc73d86eec3d2371f13bac2869f8c365060bab6,9a0d7997c1c885d3b2fc518e5276010648eb6b64,False
18,359,16025,2.191162,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6,e6d9783d74055b6b2400872cbc0b138966aeeeb9,False
19,32,16352,0.195312,b72b68391c735f3c2723fc31b02f13106cdef09f,35c5fa205c031e2ea47b43740a33cadc320bffef,False
1A,2,16382,0.012207,a266c160f6ace3bf3c3d40aab9c24823ff965ed2,59ed004f46ec877f512faad982d51e8c427d8c19,False
1B,0,16384,0.000000,682b94550690d2e4c4103fe93753ed74ab38fc72,682b94550690d2e4c4103fe93753ed74ab38fc72,True
1C,203,16181,1.239014,4249ab5133841889a9b90b21d30edf0d62624a60,02237adf7b392abe694f0a5ad7b435d9fda01ebf,False
1D,425,15959,2.593994,9dae16e0708e97de2af1f24f58db67bfc176974c,3b7cc2fa3a82a2b76fb9b481bd3a01f7b52fa47f,False
1E,132,16252,0.805664,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b,82b68e0ed9c8765fa36645f1ea15f122ca7e7d9a,False
1F,7,16377,0.042725,ff43de20c18860e296b7ed16e5de19d2a298aa88,ac511d8b454da83f87cc82c3425e56fd62f8aa1f,False
