bank_hex,start_hex,end_hex,pointer_count,first_target_hex,last_target_hex
08,022B63,022B68,3,60C0,60C0
08,022B6D,022B78,6,40C0,40C0
09,027E4A,027E61,12,7EA8,7E70
10,040480,04048B,6,49B1,4ACD
10,04048E,040493,3,4B39,4BA9
10,0404C6,0404CB,3,5094,5104
10,0404DC,0404E1,3,521F,5291
10,0404F0,0404F9,5,53B7,5498
10,040520,040527,4,576D,5811
10,04052C,040533,4,58AE,595F
10,04055E,040565,4,5D6F,5E1C
10,040578,04057F,4,5F65,6015
10,040582,040587,3,6051,60C3
10,0405AA,0405AF,3,6394,6409
10,0405CE,0405D9,6,6609,672D
1C,070282,0702C1,32,42DB,43F2
1C,0702C4,0702CF,6,4402,442E
