internal_id,class,current_use,reclaim_policy
0x1F,missingno_hole,none,reuse_directly
0x20,missingno_hole,none,reuse_directly
0x32,missingno_hole,none,reuse_directly
0x34,missingno_hole,none,reuse_directly
0x38,missingno_hole,none,reuse_directly
0x3D,missingno_hole,none,reuse_directly
0x3E,missingno_hole,none,reuse_directly
0x3F,missingno_hole,none,reuse_directly
0x43,missingno_hole,none,reuse_directly
0x44,missingno_hole,none,reuse_directly
0x45,missingno_hole,none,reuse_directly
0x4F,missingno_hole,none,reuse_directly
0x50,missingno_hole,none,reuse_directly
0x51,missingno_hole,none,reuse_directly
0x56,missingno_hole,none,reuse_directly
0x57,missingno_hole,none,reuse_directly
0x5E,missingno_hole,none,reuse_directly
0x5F,missingno_hole,none,reuse_directly
0x73,missingno_hole,none,reuse_directly
0x79,missingno_hole,none,reuse_directly
0x7A,missingno_hole,none,reuse_directly
0x7F,missingno_hole,none,reuse_directly
0x86,missingno_hole,none,reuse_directly
0x87,missingno_hole,none,reuse_directly
0x89,missingno_hole,none,reuse_directly
0x8C,missingno_hole,none,reuse_directly
0x92,missingno_hole,none,reuse_directly
0x9C,missingno_hole,none,reuse_directly
0x9F,missingno_hole,none,reuse_directly
0xA0,missingno_hole,none,reuse_directly
0xA1,missingno_hole,none,reuse_directly
0xA2,missingno_hole,none,reuse_directly
0xAC,missingno_hole,none,reuse_directly
0xAE,missingno_hole,none,reuse_directly
0xAF,missingno_hole,none,reuse_directly
0xB5,missingno_hole,none,reuse_directly
0xB6,pseudo_species,FOSSIL_KABUTOPS,move_special_graphics_off_species_id_then_reuse
0xB7,pseudo_species,FOSSIL_AERODACTYL,move_special_graphics_off_species_id_then_reuse
0xB8,pseudo_species,MON_GHOST,move_special_graphics_off_species_id_then_reuse
0xBF,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC0,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC1,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC2,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC3,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC4,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC5,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC6,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC7,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC8,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xC9,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xCA,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xCB,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xCC,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
0xCD,upper_undefined,outside_current_species_tables,extend_tables_then_reuse
