expanded_johto_dex,identifier,name_ko,national_dex,insert_after,internal_id_hex,storage_species_byte_hex,ext_selector
48,TOGEKISS,토게키스,468,TOGETIC,0x10A,0xFC,10
122,MAGNEZONE,자포코일,462,MAGNETON,0x104,0xFC,4
156,MAGMORTAR,마그마번,467,MAGMAR,0x109,0xFC,9
161,ELECTIVIRE,에레키블,466,ELECTABUZZ,0x108,0xFC,8
194,LEAFEON,리피아,470,UMBREON,0x10C,0xFC,12
195,GLACEON,글레이시아,471,LEAFEON,0x10D,0xFC,13
200,GLISCOR,글라이온,472,GLIGAR,0x10E,0xFC,14
220,RHYPERIOR,거대코뿌리,464,RHYDON,0x106,0xFC,6
222,HONCHKROW,돈크로우,430,MURKROW,0x102,0xFC,2
228,WEAVILE,포푸니라,461,SNEASEL,0x103,0xFC,3
230,MISMAGIUS,무우마직,429,MISDREAVUS,0x101,0xFC,1
233,PORYGON_Z,폴리곤Z,474,PORYGON2,0x110,0xFC,16
