johto_dex,national_dex,identifier,type1,type2,legacy_green_internal_id,required_for_hgss_completion,generation_source
1,152,CHIKORITA,GRASS,GRASS,,True,2
2,153,BAYLEEF,GRASS,GRASS,,True,2
3,154,MEGANIUM,GRASS,GRASS,,True,2
4,155,CYNDAQUIL,FIRE,FIRE,,True,2
5,156,QUILAVA,FIRE,FIRE,,True,2
6,157,TYPHLOSION,FIRE,FIRE,,True,2
7,158,TOTODILE,WATER,WATER,,True,2
8,159,CROCONAW,WATER,WATER,,True,2
9,160,FERALIGATR,WATER,WATER,,True,2
10,16,PIDGEY,NORMAL,FLYING,36,True,1
11,17,PIDGEOTTO,NORMAL,FLYING,150,True,1
12,18,PIDGEOT,NORMAL,FLYING,151,True,1
13,21,SPEAROW,NORMAL,FLYING,5,True,1
14,22,FEAROW,NORMAL,FLYING,35,True,1
15,163,HOOTHOOT,NORMAL,FLYING,,True,2
16,164,NOCTOWL,NORMAL,FLYING,,True,2
17,19,RATTATA,NORMAL,NORMAL,165,True,1
18,20,RATICATE,NORMAL,NORMAL,166,True,1
19,161,SENTRET,NORMAL,NORMAL,,True,2
20,162,FURRET,NORMAL,NORMAL,,True,2
21,172,PICHU,ELECTRIC,ELECTRIC,,True,2
22,25,PIKACHU,ELECTRIC,ELECTRIC,84,True,1
23,26,RAICHU,ELECTRIC,ELECTRIC,85,True,1
24,10,CATERPIE,BUG,BUG,123,True,1
25,11,METAPOD,BUG,BUG,124,True,1
26,12,BUTTERFREE,BUG,FLYING,125,True,1
27,13,WEEDLE,BUG,POISON,112,True,1
28,14,KAKUNA,BUG,POISON,113,True,1
29,15,BEEDRILL,BUG,POISON,114,True,1
30,165,LEDYBA,BUG,FLYING,,True,2
31,166,LEDIAN,BUG,FLYING,,True,2
32,167,SPINARAK,BUG,POISON,,True,2
33,168,ARIADOS,BUG,POISON,,True,2
34,74,GEODUDE,ROCK,GROUND,169,True,1
35,75,GRAVELER,ROCK,GROUND,39,True,1
36,76,GOLEM,ROCK,GROUND,49,True,1
37,41,ZUBAT,POISON,FLYING,107,True,1
38,42,GOLBAT,POISON,FLYING,130,True,1
39,169,CROBAT,POISON,FLYING,,True,2
40,173,CLEFFA,NORMAL,NORMAL,,True,2
41,35,CLEFAIRY,NORMAL,NORMAL,4,True,1
42,36,CLEFABLE,NORMAL,NORMAL,142,True,1
43,174,IGGLYBUFF,NORMAL,NORMAL,,True,2
44,39,JIGGLYPUFF,NORMAL,NORMAL,100,True,1
45,40,WIGGLYTUFF,NORMAL,NORMAL,101,True,1
46,175,TOGEPI,NORMAL,NORMAL,,True,2
47,176,TOGETIC,NORMAL,FLYING,,True,2
48,27,SANDSHREW,GROUND,GROUND,96,True,1
49,28,SANDSLASH,GROUND,GROUND,97,True,1
50,23,EKANS,POISON,POISON,108,True,1
51,24,ARBOK,POISON,POISON,45,True,1
52,206,DUNSPARCE,NORMAL,NORMAL,,True,2
53,179,MAREEP,ELECTRIC,ELECTRIC,,True,2
54,180,FLAAFFY,ELECTRIC,ELECTRIC,,True,2
55,181,AMPHAROS,ELECTRIC,ELECTRIC,,True,2
56,194,WOOPER,WATER,GROUND,,True,2
57,195,QUAGSIRE,WATER,GROUND,,True,2
58,92,GASTLY,GHOST,POISON,25,True,1
59,93,HAUNTER,GHOST,POISON,147,True,1
60,94,GENGAR,GHOST,POISON,14,True,1
61,201,UNOWN,PSYCHIC,PSYCHIC,,True,2
62,95,ONIX,ROCK,GROUND,34,True,1
63,208,STEELIX,STEEL,GROUND,,True,2
64,69,BELLSPROUT,GRASS,POISON,188,True,1
65,70,WEEPINBELL,GRASS,POISON,189,True,1
66,71,VICTREEBEL,GRASS,POISON,190,True,1
67,187,HOPPIP,GRASS,FLYING,,True,2
68,188,SKIPLOOM,GRASS,FLYING,,True,2
69,189,JUMPLUFF,GRASS,FLYING,,True,2
70,46,PARAS,BUG,GRASS,109,True,1
71,47,PARASECT,BUG,GRASS,46,True,1
72,60,POLIWAG,WATER,WATER,71,True,1
73,61,POLIWHIRL,WATER,WATER,110,True,1
74,62,POLIWRATH,WATER,FIGHTING,111,True,1
75,186,POLITOED,WATER,WATER,,True,2
76,129,MAGIKARP,WATER,WATER,133,True,1
77,130,GYARADOS,WATER,FLYING,22,True,1
78,118,GOLDEEN,WATER,WATER,157,True,1
79,119,SEAKING,WATER,WATER,158,True,1
80,79,SLOWPOKE,WATER,PSYCHIC,37,True,1
81,80,SLOWBRO,WATER,PSYCHIC,8,True,1
82,199,SLOWKING,WATER,PSYCHIC,,True,2
83,43,ODDISH,GRASS,POISON,185,True,1
84,44,GLOOM,GRASS,POISON,186,True,1
85,45,VILEPLUME,GRASS,POISON,187,True,1
86,182,BELLOSSOM,GRASS,GRASS,,True,2
87,96,DROWZEE,PSYCHIC,PSYCHIC,48,True,1
88,97,HYPNO,PSYCHIC,PSYCHIC,129,True,1
89,63,ABRA,PSYCHIC,PSYCHIC,148,True,1
90,64,KADABRA,PSYCHIC,PSYCHIC,38,True,1
91,65,ALAKAZAM,PSYCHIC,PSYCHIC,149,True,1
92,132,DITTO,NORMAL,NORMAL,76,True,1
93,204,PINECO,BUG,BUG,,True,2
94,205,FORRETRESS,BUG,STEEL,,True,2
95,29,NIDORAN_F,POISON,POISON,15,True,1
96,30,NIDORINA,POISON,POISON,168,True,1
97,31,NIDOQUEEN,POISON,GROUND,16,True,1
98,32,NIDORAN_M,POISON,POISON,3,True,1
99,33,NIDORINO,POISON,POISON,167,True,1
100,34,NIDOKING,POISON,GROUND,7,True,1
101,193,YANMA,BUG,FLYING,,True,2
102,469,YANMEGA,BUG,FLYING,,True,4
103,191,SUNKERN,GRASS,GRASS,,True,2
104,192,SUNFLORA,GRASS,GRASS,,True,2
105,102,EXEGGCUTE,GRASS,PSYCHIC,12,True,1
106,103,EXEGGUTOR,GRASS,PSYCHIC,10,True,1
107,185,SUDOWOODO,ROCK,ROCK,,True,2
108,202,WOBBUFFET,PSYCHIC,PSYCHIC,,True,2
109,48,VENONAT,BUG,POISON,65,True,1
110,49,VENOMOTH,BUG,POISON,119,True,1
111,123,SCYTHER,BUG,FLYING,26,True,1
112,212,SCIZOR,BUG,STEEL,,True,2
113,127,PINSIR,BUG,BUG,29,True,1
114,214,HERACROSS,BUG,FIGHTING,,True,2
115,109,KOFFING,POISON,POISON,55,True,1
116,110,WEEZING,POISON,POISON,143,True,1
117,88,GRIMER,POISON,POISON,13,True,1
118,89,MUK,POISON,POISON,136,True,1
119,81,MAGNEMITE,ELECTRIC,STEEL,173,True,1
120,82,MAGNETON,ELECTRIC,STEEL,54,True,1
121,100,VOLTORB,ELECTRIC,ELECTRIC,6,True,1
122,101,ELECTRODE,ELECTRIC,ELECTRIC,141,True,1
123,190,AIPOM,NORMAL,NORMAL,,True,2
124,424,AMBIPOM,NORMAL,NORMAL,,True,4
125,209,SNUBBULL,NORMAL,NORMAL,,True,2
126,210,GRANBULL,NORMAL,NORMAL,,True,2
127,37,VULPIX,FIRE,FIRE,82,True,1
128,38,NINETALES,FIRE,FIRE,83,True,1
129,58,GROWLITHE,FIRE,FIRE,33,True,1
130,59,ARCANINE,FIRE,FIRE,20,True,1
131,234,STANTLER,NORMAL,NORMAL,,True,2
132,183,MARILL,WATER,WATER,,True,2
133,184,AZUMARILL,WATER,WATER,,True,2
134,50,DIGLETT,GROUND,GROUND,59,True,1
135,51,DUGTRIO,GROUND,GROUND,118,True,1
136,56,MANKEY,FIGHTING,FIGHTING,57,True,1
137,57,PRIMEAPE,FIGHTING,FIGHTING,117,True,1
138,52,MEOWTH,NORMAL,NORMAL,77,True,1
139,53,PERSIAN,NORMAL,NORMAL,144,True,1
140,54,PSYDUCK,WATER,WATER,47,True,1
141,55,GOLDUCK,WATER,WATER,128,True,1
142,66,MACHOP,FIGHTING,FIGHTING,106,True,1
143,67,MACHOKE,FIGHTING,FIGHTING,41,True,1
144,68,MACHAMP,FIGHTING,FIGHTING,126,True,1
145,236,TYROGUE,FIGHTING,FIGHTING,,True,2
146,106,HITMONLEE,FIGHTING,FIGHTING,43,True,1
147,107,HITMONCHAN,FIGHTING,FIGHTING,44,True,1
148,237,HITMONTOP,FIGHTING,FIGHTING,,True,2
149,203,GIRAFARIG,NORMAL,PSYCHIC,,True,2
150,128,TAUROS,NORMAL,NORMAL,60,True,1
151,241,MILTANK,NORMAL,NORMAL,,True,2
152,240,MAGBY,FIRE,FIRE,,True,2
153,126,MAGMAR,FIRE,FIRE,51,True,1
154,238,SMOOCHUM,ICE,PSYCHIC,,True,2
155,124,JYNX,ICE,PSYCHIC,72,True,1
156,239,ELEKID,ELECTRIC,ELECTRIC,,True,2
157,125,ELECTABUZZ,ELECTRIC,ELECTRIC,53,True,1
158,122,MR_MIME,PSYCHIC,PSYCHIC,42,True,1
159,235,SMEARGLE,NORMAL,NORMAL,,True,2
160,83,FARFETCHD,NORMAL,FLYING,64,True,1
161,177,NATU,PSYCHIC,FLYING,,True,2
162,178,XATU,PSYCHIC,FLYING,,True,2
163,211,QWILFISH,WATER,POISON,,True,2
164,72,TENTACOOL,WATER,POISON,24,True,1
165,73,TENTACRUEL,WATER,POISON,155,True,1
166,98,KRABBY,WATER,WATER,78,True,1
167,99,KINGLER,WATER,WATER,138,True,1
168,213,SHUCKLE,BUG,ROCK,,True,2
169,120,STARYU,WATER,WATER,27,True,1
170,121,STARMIE,WATER,PSYCHIC,152,True,1
171,90,SHELLDER,WATER,WATER,23,True,1
172,91,CLOYSTER,WATER,ICE,139,True,1
173,222,CORSOLA,WATER,ROCK,,True,2
174,223,REMORAID,WATER,WATER,,True,2
175,224,OCTILLERY,WATER,WATER,,True,2
176,170,CHINCHOU,WATER,ELECTRIC,,True,2
177,171,LANTURN,WATER,ELECTRIC,,True,2
178,86,SEEL,WATER,WATER,58,True,1
179,87,DEWGONG,WATER,ICE,120,True,1
180,108,LICKITUNG,NORMAL,NORMAL,11,True,1
181,463,LICKILICKY,NORMAL,NORMAL,,True,4
182,114,TANGELA,GRASS,GRASS,30,True,1
183,465,TANGROWTH,GRASS,GRASS,,True,4
184,133,EEVEE,NORMAL,NORMAL,102,True,1
185,134,VAPOREON,WATER,WATER,105,True,1
186,135,JOLTEON,ELECTRIC,ELECTRIC,104,True,1
187,136,FLAREON,FIRE,FIRE,103,True,1
188,196,ESPEON,PSYCHIC,PSYCHIC,,True,2
189,197,UMBREON,DARK,DARK,,True,2
190,116,HORSEA,WATER,WATER,92,True,1
191,117,SEADRA,WATER,WATER,93,True,1
192,230,KINGDRA,WATER,DRAGON,,True,2
193,207,GLIGAR,GROUND,FLYING,,True,2
194,225,DELIBIRD,ICE,FLYING,,True,2
195,220,SWINUB,ICE,GROUND,,True,2
196,221,PILOSWINE,ICE,GROUND,,True,2
197,473,MAMOSWINE,ICE,GROUND,,True,4
198,216,TEDDIURSA,NORMAL,NORMAL,,True,2
199,217,URSARING,NORMAL,NORMAL,,True,2
200,231,PHANPY,GROUND,GROUND,,True,2
201,232,DONPHAN,GROUND,GROUND,,True,2
202,226,MANTINE,WATER,FLYING,,True,2
203,227,SKARMORY,STEEL,FLYING,,True,2
204,84,DODUO,NORMAL,FLYING,70,True,1
205,85,DODRIO,NORMAL,FLYING,116,True,1
206,77,PONYTA,FIRE,FIRE,163,True,1
207,78,RAPIDASH,FIRE,FIRE,164,True,1
208,104,CUBONE,GROUND,GROUND,17,True,1
209,105,MAROWAK,GROUND,GROUND,145,True,1
210,115,KANGASKHAN,NORMAL,NORMAL,2,True,1
211,111,RHYHORN,GROUND,ROCK,18,True,1
212,112,RHYDON,GROUND,ROCK,1,True,1
213,198,MURKROW,DARK,FLYING,,True,2
214,228,HOUNDOUR,DARK,FIRE,,True,2
215,229,HOUNDOOM,DARK,FIRE,,True,2
216,218,SLUGMA,FIRE,FIRE,,True,2
217,219,MAGCARGO,FIRE,ROCK,,True,2
218,215,SNEASEL,DARK,ICE,,True,2
219,200,MISDREAVUS,GHOST,GHOST,,True,2
220,137,PORYGON,NORMAL,NORMAL,170,True,1
221,233,PORYGON2,NORMAL,NORMAL,,True,2
222,113,CHANSEY,NORMAL,NORMAL,40,True,1
223,242,BLISSEY,NORMAL,NORMAL,,True,2
224,131,LAPRAS,WATER,ICE,19,True,1
225,138,OMANYTE,ROCK,WATER,98,True,1
226,139,OMASTAR,ROCK,WATER,99,True,1
227,140,KABUTO,ROCK,WATER,90,True,1
228,141,KABUTOPS,ROCK,WATER,91,True,1
229,142,AERODACTYL,ROCK,FLYING,171,True,1
230,143,SNORLAX,NORMAL,NORMAL,132,True,1
231,1,BULBASAUR,GRASS,POISON,153,True,1
232,2,IVYSAUR,GRASS,POISON,9,True,1
233,3,VENUSAUR,GRASS,POISON,154,True,1
234,4,CHARMANDER,FIRE,FIRE,176,True,1
235,5,CHARMELEON,FIRE,FIRE,178,True,1
236,6,CHARIZARD,FIRE,FLYING,180,True,1
237,7,SQUIRTLE,WATER,WATER,177,True,1
238,8,WARTORTLE,WATER,WATER,179,True,1
239,9,BLASTOISE,WATER,WATER,28,True,1
240,144,ARTICUNO,ICE,FLYING,74,True,1
241,145,ZAPDOS,ELECTRIC,FLYING,75,True,1
242,146,MOLTRES,FIRE,FLYING,73,True,1
243,243,RAIKOU,ELECTRIC,ELECTRIC,,True,2
244,244,ENTEI,FIRE,FIRE,,True,2
245,245,SUICUNE,WATER,WATER,,True,2
246,147,DRATINI,DRAGON,DRAGON,88,True,1
247,148,DRAGONAIR,DRAGON,DRAGON,89,True,1
248,149,DRAGONITE,DRAGON,FLYING,66,True,1
249,246,LARVITAR,ROCK,GROUND,,True,2
250,247,PUPITAR,ROCK,GROUND,,True,2
251,248,TYRANITAR,ROCK,DARK,,True,2
252,249,LUGIA,PSYCHIC,FLYING,,True,2
253,250,HO_OH,FIRE,FLYING,,True,2
254,150,MEWTWO,PSYCHIC,PSYCHIC,131,True,1
255,151,MEW,PSYCHIC,PSYCHIC,21,False,1
