flag_number,token,byte_index,bit_index
1,DYNAMICPUNCH,0,0
2,HEADBUTT,0,1
3,CURSE,0,2
4,ROLLOUT,0,3
5,ROAR,0,4
6,TOXIC,0,5
7,ZAP_CANNON,0,6
8,ROCK_SMASH,0,7
9,PSYCH_UP,1,0
10,HIDDEN_POWER,1,1
11,SUNNY_DAY,1,2
12,SWEET_SCENT,1,3
13,SNORE,1,4
14,BLIZZARD,1,5
15,HYPER_BEAM,1,6
16,ICY_WIND,1,7
17,PROTECT,2,0
18,RAIN_DANCE,2,1
19,GIGA_DRAIN,2,2
20,ENDURE,2,3
21,FRUSTRATION,2,4
22,SOLARBEAM,2,5
23,IRON_TAIL,2,6
24,DRAGONBREATH,2,7
25,THUNDER,3,0
26,EARTHQUAKE,3,1
27,RETURN,3,2
28,DIG,3,3
29,PSYCHIC_M,3,4
30,SHADOW_BALL,3,5
31,MUD_SLAP,3,6
32,DOUBLE_TEAM,3,7
33,ICE_PUNCH,4,0
34,SWAGGER,4,1
35,SLEEP_TALK,4,2
36,SLUDGE_BOMB,4,3
37,SANDSTORM,4,4
38,FIRE_BLAST,4,5
39,SWIFT,4,6
40,DEFENSE_CURL,4,7
41,THUNDERPUNCH,5,0
42,DREAM_EATER,5,1
43,DETECT,5,2
44,REST,5,3
45,ATTRACT,5,4
46,THIEF,5,5
47,STEEL_WING,5,6
48,FIRE_PUNCH,5,7
49,FURY_CUTTER,6,0
50,NIGHTMARE,6,1
51,CUT,6,2
52,FLY,6,3
53,SURF,6,4
54,STRENGTH,6,5
55,FLASH,6,6
56,WHIRLPOOL,6,7
57,WATERFALL,7,0
58,FLAMETHROWER,7,1
59,THUNDERBOLT,7,2
60,ICE_BEAM,7,3
