nature_id,identifier,up_stat,down_stat,source_token,generation
0,hardy,,,NATURE_HARDY,3
1,lonely,attack,defense,NATURE_LONELY,3
2,brave,attack,speed,NATURE_BRAVE,3
3,adamant,attack,sp_attack,NATURE_ADAMANT,3
4,naughty,attack,sp_defense,NATURE_NAUGHTY,3
5,bold,defense,attack,NATURE_BOLD,3
6,docile,,,NATURE_DOCILE,3
7,relaxed,defense,speed,NATURE_RELAXED,3
8,impish,defense,sp_attack,NATURE_IMPISH,3
9,lax,defense,sp_defense,NATURE_LAX,3
10,timid,speed,attack,NATURE_TIMID,3
11,hasty,speed,defense,NATURE_HASTY,3
12,serious,,,NATURE_SERIOUS,3
13,jolly,speed,sp_attack,NATURE_JOLLY,3
14,naive,speed,sp_defense,NATURE_NAIVE,3
15,modest,sp_attack,attack,NATURE_MODEST,3
16,mild,sp_attack,defense,NATURE_MILD,3
17,quiet,sp_attack,speed,NATURE_QUIET,3
18,bashful,,,NATURE_BASHFUL,3
19,rash,sp_attack,sp_defense,NATURE_RASH,3
20,calm,sp_defense,attack,NATURE_CALM,3
21,gentle,sp_defense,defense,NATURE_GENTLE,3
22,sassy,sp_defense,speed,NATURE_SASSY,3
23,careful,sp_defense,sp_attack,NATURE_CAREFUL,3
24,quirky,,,NATURE_QUIRKY,3
